~+aghtugh-	to V repeatedly	marginally productive or non-productive; iighaghtughtuq ‘he hid from his enemies’ (from iigh- ‘to hide’); iniightughtuq ‘he is hanging things’ (from ini- ‘to hang to dry’); payangitaghtughtuq ‘the Chukotkans are repeatedly visiting’ (from payangite- ‘for Chukotkans to visit’); peggaghtughtuq ‘he stayed up late’ (from pegge- ‘to stay awake all night’)	-аҳтуӷ-	
?aq	one that has been V-ed	marginally productive if not non-productive; tuqutaq ‘a killed thing’ (from tuqute- ‘to kill’); ulimaaq ‘made thing, ivory carving, product’ (from ulima- ‘to make’); aantat ‘dump, midden’ (from aante- ‘to put out(side))’; qiipaq ‘sewing thread’ (from qiipe- ‘to twist’); uumgaq ‘small box’ (from umeg- ‘to close’); cf. -kaq1	-ақ	
-aqe-	to be currently V-ing; to V now and then (with the subordinative); to always V (with particle quunpeng)	see ~+(g)aqe-		
~+(at)aghagh-	to be V-er; to V more; to be more V	the at used with all bases except those that end in te; umaataghaghtuq ‘it is thicker’ (from umu- ‘to be thick’); taakataghaghtuq ‘it is longer’ (from taake- ‘to be long’); aangataghaghtuq ‘it is bigger’ (from aange- ‘to be big’); pinighataghaghtuq ‘it is better’ (from pinigh- ‘to be good’); uglaghataghaghtut ‘they are more numerous’ (from uglagh- ‘to be many’); sukataghaghtuq ‘it is faster’ (from sukate- ‘to go or be fast’); nighughaghaghtuq ‘it got brighter’ (from nighughte- ‘to get bright’); akingitaghaghtuq ‘it is cheaper’ (from akingite- ‘to be cheap’; used with a noun in the ablative-modalis case to make comparisons: mangteghaqa aangataghaghtuq manghteghaghpeneng ‘my house is bigger than your house’; una pinighataghaghtuq taameng ‘this is better than that’	-(ат)аӷаӷ-	
?ate-	to lack N	non-productive variant of  ~:(ng)ite- (q.v.); kayaatuq ‘he is weak’ (from kayu- ‘to be strong’)	-аты-	
%(e)nkuk / %(e)nkut	N and partner; N and associate(s); N and family	concerning the dual form, -(e)nkuk: generally used on both nouns of a pair (the second of which may also have the enclitic -llu);  meteghllugenkut amaankutlu ‘the raven and the wolf’ (from meteghlluk ‘raven’ and amaa ‘wolf’) yuggaankuk mayeraaghpagenkuklu ‘the little man and the giant’ (from yuggaq* ‘little man’ and mayeraaghpak ‘giant’); Taanata ungipaghaq tawatelnguq, Kiyaghneghenkuk Satan-enkuk. ‘That’s the story. God and Satan.’ (from Kiyaghneq ‘God’) (SIVUQ. NANGAGH. 2:252); Taana Tutmatelek Aqulagenkuk Qaaqwaankuk avaqutaqaak. ‘That Tutmatelek is the son of Aqulak and Qaaqwaq.’ (SIVUQ. NANGAGH. 3:10); however, if the postbase -lghiik is used, the present postbase need not occur on two nouns: Kiyaghsimalghiik yugenkuk nulighqullghiik. ‘There lived a man and wife.’ (UNGIPAGHAGH. 113); concerning the plural form, -(e)nkut: Patankut esghapagiit. ‘Pata and his friends watched.’ (PIYAA. 13); Pangeghtellemnni tawani Muumetaankut taglaataqngamteki tespamavek Ungazimun. ‘When we went to Chukotka at that time we took back Muumetaq and associates there to New Chaplino.’ (PANGEGH. 1)	-(ы)нкук - -(ы)нкут	
~f–laghate-	to have already V-ed together; to V as a group	itelaghatut ‘they came in together, as a group’ (from itegh- ‘to come in’); aanlaghatut ‘they went out together’ (from aane- ‘to go out’); tagilaghatut ‘they all came’ (from tagi- ‘to come’); Entaqun apeghiighluteng esgha taam kingunganeng mulugpenateng, qavameggnenguq tuqulaghatkaagut. 'I think it was not long afterwards that they had all died in their sleep.' (from tuqu- ‘to die’) (SIVUQ. NANGAGH. 3:88); Aghnaghaghhaq nayaggiinaat unegtuq, anengii iflalaghatut qamaghlluteng. ‘The little girl, their sister, only she, was left, as her brothers all were lost, all of them.’ (from ifla- ‘to get lost’) (UNGAZ. UNGIP. 11); apparently not used with bases ending in te	-ляӷаты-	
@~f–nasiigh-	to put off V-ing; to stall at V-ing; to V angrily	teghtughnasiightuq ‘he woke up angry’ (from teghtugh- ‘to wake up’); neghnasiightuq ‘he put off eating’ (from negh<e>- ‘to eat’); qepghanasiightuq ‘he put off working’ (from qepghagh- ‘to work’)	-насӣӷ-	
@~f–neghllug-, @~f–neghllugte-	to V wrongly or with difficulty	pineghllugtuq ‘to be obstinate’ (from pi- ‘to do, say, act, go’); tusaqneghllugtuq ‘he misunderstood’ (from tusaqe- ‘to hear’)	-ныҳльюг-, -ныҳльюхты-	
@~f–neghlluk	something that is difficult or hard to V; one who hardly needs to V	neneghlluk ‘something that is hard to eat; someone who can go for long periods without eating’ (from negh<e>- ‘to eat’); aaghhneghlluk ‘someone who is difficult to convince’ (from aaghte- ‘to convince’); ineghneghlliquq ‘he is disobedient’ (from ineghte- ‘to admonish’, with the postbase in question followed by -iqe- ‘to be troubled with --’)	-ныҳльюк	
@~f–neghsigh-	to wait for (it) to V; to wait for (it) to be V or to become V	Tawaani kenileghni aghuliighluteng utaqiigaqut siqineq piinneghsighaqaat. ‘They stopped then and waited for the sun to come up.’ (from piite- ‘to come up (of sun)’) (SIVUQ. NANGAGH. 1:206)	-ныҳсиӷ-	
@~f–neghtu-	to V habitually; to V frequently	yughaneghtuuq ‘he prays often’ (from yughagh- ‘to pray’); nuqenneghtuuq ‘he is a patient person’ (from nuqete- ‘to practice self-restraint’)	-ныҳту-	
@~f–neq1	the act of V-ing; the activity of V-ing; the state of being V	qiyaneq ‘the act of crying’ (from qiya- ‘to cry’); kumlanneq ‘the state of being cold’ (from kumlate- ‘to be cold’); ikighhneq ‘the act of opening’ (from ikighte- ‘to open’); qavaneq ‘the act of sleeping’ (from qavagh- ‘to sleep’); aveneq ‘the act of dividing in two’ (from aveg- ‘to divide in two’); neneq ‘the act of eating’ (from negh<e>- ‘to eat’); this postbase keeps e with “short” bases  that end in e  (not preceded by t)(i.e. bases of the form (C1)VVC2e- where C2 ≠ t), but drops e from longer bases: kuuveneq ‘the act of spilling’ (from kuuve- ‘to spill’); this postbase may be used with an ablative-modalis ending together with verbs taaqe- ‘to finish’, aghtugh- ‘to not manage’, uutgute- ‘to go back’, etc.: neneghmeng taaqluni aanuq ‘having finished (the act of) eating he went out’ ; taghnughhaq taaqsan neneghmeng aanunga ‘when the boy finished eating I went out’; Ivaamayaqangat naalkenneghmeng aghtughaat. ‘They looked for her, but couldn’t find her (literally, couldn’t manage toward her, concerning the act of finding (her).’) (from naalke- ‘to find’) (MATERIALY 443); uutghutaa neneghmeng ‘he changed his mind about eating’ (literally, ‘went back on it, concerning the act of eating’); ighsaaquq aglaneghmeng ‘he has been refusing to go home’ (from aglagh- ‘to go home’)	-нық1	
@~f–ragkiigh-	to V quickly	qiyaragkiightuq ‘he cried quickly’ (from qiya- ‘to cry’); taaqragkiightuq ‘he finished quickly’ (from taaqe- ‘to finish’); neragkiightuq orneghragkiighaa ‘he ate it quickly’ (from negh<e>- ‘to eat’); kaarragkiightuq ‘he arrived quickly’ (from kaate- ‘to arrive’); ingaghhragkiightuq ‘he lay down quickly’ (from ingaghte- ‘to lie down’); iteragkiightuq ‘he came in quickly’ (from itegh- ‘to come in’); sukarragkiighutuq ‘he is running fast as in a race’ (from sukate- ‘to be fast’); ukiragkiightuq ‘he went down quickly’ (from ukig- ‘to go down’)	-рахкӣӷ-	
@~f–ragkiighute-	to V quickly	Neveghhneghani, aghnam tamaghhaghmi iiggaragkiighutaqaat yuginaq tallii. ‘Whenever he lay down all the women quickly put gloves onto his twenty arms (hands).’ (from iiggagh- ‘to put on gloves’) (MATERIALY 443)	-рахкӣӷуты-	
@~f–rakegtaq	one that Vs quickly	sarakegtaq ‘a person that does things quickly’ (from sa- ‘to do’)	-ракыхтақ	
@~f–rakegte-	to V quickly; to be very much an N	nerakegtuq ‘he ate quicly’ (from negh<e>- ‘to eat’); tagirakegtuq ‘he came fast’ (from tagi- ‘to come’); esnegrakegtuq ‘it is very dark in color’ (from esnek ‘bruise’)	-ракыхты-	
@~f–rakguugh-	to be fast at V-ing; to learn to V quickly	qepgharakguughtuq ‘he’s working fast’ (from qepghagh- ‘to work’)	-ракӯӷ-	
~f–vag-	to V in a big way; to V hard; to V intensely	at most marginally productive; qiyavagtuq ‘he cried intensely’ (from qiya- ‘to cry’); tuutfagtuq ‘he stepped hard’ (from tuute- ‘to step’); kakivagtuq ‘she's sewed intensely’ (from kaki- ‘to sew’); atuvagtuq ‘he sang loudly’ (from atugh- ‘to sing’); yughavagtuq ‘he prayed fervently’ (from yughagh- ‘to pray’); qetgevagtuq ‘he jumped high or far’ (from qetgegh- ‘to jump’); see also -pag-, -ghpak	-ваг-	
@~f–yaag-	to V in a strange way; to V weirdly	kakiyaagtuq’she's sewing in a weird way’ (from kaki- ‘to sew’); qepghayaagtuq ‘he's working in a weird way’ (from qepghagh- ‘to work’); neghyaagtuq ‘he's eating in a weird way’ (from negh<e>- ‘to eat’); = -saag-	-я̄г-	
@~f–yiilliqe-	to have trouble V-ing	tagiyiilliqut ‘they had trouble coming over’ (from tagi- ‘to come over’)	-ӥӣльиқы-	
@~f–yiite-	to poorly V habitually	kakiyiituq ‘she sews poorly’ (from kaki- ‘to sew’); atuyiituq ‘he sings poorly’ (from atugh- ‘to sing’); meluyiituq ‘he doesn't take to smoking’ (from melug- ‘to smoke’); Aawallunguq taana aghvengyiiteghllak umiilek aghvengaghtuq. ‘Finally then that captain, the one who was very poor at catching whales, caught a whale!’ (from aghvenge- ‘to catch whales’) (SIVUQ. NANGAGH. 3:218)	-ӥӣты-	
@~f–yu-2	to be good at V-ing; to generally V well	atuyuuq ‘he sings well’ (from atugh- ‘to sing’)	-ю-2	
@~f–yu1	one who is good at V-ing	atuyu ‘a good singer’, atuyunguuq ‘he is a good singer’ (from atugh- ‘to sing’)	-ю1	
@~f–yuqaq	one who is good at V-ing; proficient V-er	kakiyuqaq ‘one who is good at sewing’ (from kaki- ‘to sew’); aghvengyuqaq ‘one who is good at catching whales’ (from aghvenge- ‘to catch whales’); neqengyuqaq ‘one who is good at getting food’ (from neqenge- ‘to get food’)	-юқақ	
~f%mete-2	to be at N; to be in N	a contraction of the singular localis ending %~fmi and the archaic verb base ete- ‘to be’; now a postbase in it’s own right ; angyametuq ‘he is in the boat’ (from angyaq ‘boat’); kiiwmetuq ‘it is at the river’ (from kiikw ‘river’); see also -nte-, -nite-2	-мыты-2	
~f+(a)ghesnagh-	to just V; to V just now; to only V (and perhaps in vain)	used only with vowel-ending bases (with consonant-ending bases -qiinagh-  is used instead); qiyaghesnaghtuq ‘he is just crying’ (from qiya- ‘to cry’); tagighesnaghtuq ‘he just came’ (from tagi- ‘to come’); a is used with bases that end in e: aanaghesnaghtuq ‘he just went out’ (from aane- ‘to go out’); taaqaghesnaghtuq ‘he just quit’ (from taaqe- ‘to quit’);  kaataghesnaghtuq ‘he just arrived’ (from kaate- ‘to arrive’); Keniliighusimaghmeng piiqelghiit pillghughtefagilgagu ketaghesnaghyaghqaaluteng. 'They would also start working on the launching chutes for their boats so that before it was time [to go out whaling] they would not have to break a new path.' (from kete- ‘to go out to sea’) (SIVUQ. NANGAGH. 1:134); Yataaghqengngwaaghluni whaa nalugutaghesnaan akuqaamakanga, qaakaa. 'He got ready and as soon as the dog jumped again, he grabbed its paws and pulled it up.'(from nalugute- ‘to jump across’) (AKIINGQWAAGH. 12); Nengyaan esghapagumakanga uteghmun qiivaghesnaghaqluni naayghaghlluginaghmun taglalghii. 'His grandmother watched Sulpik keep looking back over his shoulder as he headed straight for the mountains.' (from qiive- ‘to turn body or head’) (AKIINGQWAAGH. 53); Aamtaam nefkunaghsimaan unakegkat kaatutaghesnaq nefkulghiini, maaten elpesi nefkulleghpesistun taawa allangwaaqut. ‘The meat that had been caught latter in the season and hung right away had a whole different taste.’ (from kaatute- ‘to come (together)’) (SIVUQ. NANGAGH. 1:88)	-(а)ӷысньаӷ-	
@~f+laatagh-	to V again; to V more; to V anyway	angyaghlaataghtuq ‘he went out in a boat again’ (from angyagh- ‘to go out in a boat’); tel from this postbase becomes ll: guullaataghaa ‘he shot it again’ (from guute- ‘to shoot’); Taagken igleghsimalghii aghnelqusiq. Unugyagu aghuliighumalghii. Aghuliighluni angyaatamineng neghumalghii. Neneghmeng taaqluni qavaamalghii. Unaami taghtughluni igleghllaataghtuq aghnelqusiq. 'Then he traveled all day. When night fell he stopped. After stopping he ate his food for the journey. When he finished eating he slept. In the morning after waking up he traveled again all day.' (from igleghte- 'to travel') (UNGAZ. UNGIP. 15)	-лятаӷ-	
@~f+leghagh-	to V slowly and continuously	non-productive (?); aanleghaghtuq ‘it seeped or flowed out’ (from aane- ‘to go out’);  siingleghaghaa ‘he pushed it continuously, planed it (wood)’ (from siinge- ‘to push’); tel from this postbase becomes ll: uuglleghaghtut’ they came up something one after another’ (from uugte- ‘to get up onto something’)	-лыӷаӷ-	
~f+mig-	to hold in one’s N; to put in one’s N	qaneghmigaa ‘he put or held it in his mouth’ (from qaneq ‘mouth’); kalngagmigaa ‘he put it into the sealskin bag, he stored it away (especially, in a bag)’ (from kalngak ‘sealskin bag’); = -miigh-	-миг-	
~f+mii	resident of N; inhabitant of N	Ungazighmii ‘resident of New Chaplino’ (from Ungaziq ‘New Chaplino’); Sivungaghmii ‘resident of Savoonga’ (from Sivungaq ‘Savoonga’); Quutmiit ‘Chukotkans’ (from Qutae ‘Chukotka’); Sivuqaghhmiit ‘residents of Gambell or St. Lawrence Island’ (from Sivuqaq ‘Gambell or St. Lawrence Island’); Pugughileghmiit ‘people of, or ancestrally from, Pugughileq (“Poowooiliak”)’); Ruuseghmii ‘Russian’ (from English or Russian “Russia”); Iintiyaghmii ‘Indian’ (from English “India(n)”)	-мӣ	
~f+miigh-	to hold in one’s N; to put in one’s N	qaneghmiighaa ‘he put or held it in his mouth’ (from qaneq ‘mouth’); eggmiighaa ‘he held it clamped between his teeth’ (from egge- ‘to crimp or hold with teeth’); = -mig-	-мӣӷ-	
~f+miiq	thing held in one’s N; thing held by V-ing	qaneghmiiq ‘a thing held in the mouth’ (from qaneq ‘mouth’); eggmiiq ‘something held between upper and lower teeth’ (from egge- ‘to crimp or hold with teeth’); = -mik	-мӣқ	
~f+mik	thing held in one’s N	qaneghmik ‘a thing held in the mouth’; whaamik ‘son’ (endearing term) (from wha(ni) ‘right here’); = -miiq	-мик	
@~f+miqe-	to compel one to V; to make one V	this is a “compound verbal” postbase; qiyamiqaa ‘he made her cry’ (from qiya- ‘to cry’); neghmiqaa ‘he made her eat’ (from negh<e>- ‘to eat’); taaqmiqaa ‘he made her quit’ (from taaqe- ‘to quit’); qavaghmiqaa ‘he made her sleep’ (from qavagh- ‘to sleep’); tuqutmiqaa ‘he made someone kill it’ (from tuqute- ‘to kill’); ingaghhmiqaa ‘he made her lie down’ (from ingaghte- ‘to lie down’); Nanevgaghllagem yaghlegi taghnughhaghhaak milegmiqaak. ‘The old man made the two little boys feel sad instead.’ (from root mileg- ‘sadness’ as in milegtaagh- ‘to be depressed’) (UNGIPAGH. 37)	-миқы-	
@~f+na-1	command or request former	forms commands, requests, etc. directed toward the future; takes itransitive participial endings and yields forms having a future optative meaning; neghnaken ‘(you1) eat it (future), neghnaketen ‘(you1) eat them (in the future)’, neghnakesi ‘(youpl.) eat them (future)’(from negh<e>- ‘to eat’); kayusighnakevnga ‘(you) help me (future)’(from kayusigh- ‘to help’); atuqnakevut 'let's use it (future)'(from atuqe- ‘to use’); for intransitives, postbases -lghaa- and -ggaa-/-ghhaa- (q.v.) are used instead 	-на-1	
@~f+na-2	in order to V; to V	used with subordinative mood endings; neghnaluni ‘in order to eat’ (from negh<e>- ‘to eat’); kuuvnaluku ‘in order to spill it’ (from kuuve- ‘to spill’); tuqunnaluki ‘in order to kill them’ (from tuqute- ‘to kill’); laalighhnaluni ‘in order to visit’ (from laalighte- ‘to visit’); atughnaluku ‘in order to use it’ (from atugh- ‘to use’); aanaluni or aanenaluni ‘in order to go out’ (from aane- ‘to go out’); ingaghtuq qavaghnaluni ‘he lay down in order to sleep’ (from qavagh- ‘to sleep’); igiightunga aglaghnalunga ‘I have decided to go home’ (from aglagh- ‘to go home’); Uugtaqelghiik sikum qaaynganun meghnaalinalutek ama qavaghnalutek. ‘They2 would climb on top of the ice in order to rest and in order to sleep.’ (from meghnaali- ‘to rest’ and qavagh- ‘to sleep’) (QUNGLUK 7)	-на-2	
@~f+naagh-	to be going to V eventually	taginaaghtuq ‘he will come eventually’ (from tagi- ‘to come over’); ingaghhnaaghtuq ‘he will lie down eventually’ (from ingaghte- ‘to lie down’); kaannaaghtuq ‘he will arrive eventually’ (from kaate- ‘to arrive’)	-нāӷ-	
@~f+naanghite-	to not V in the future; won't V	tuqunaanghituq ‘he won't die’ (from tuqu- ‘to die’); neghnaanghitaa ‘he won't eat it’ (from negh<e>- ‘to eat’); tuqunnaanghitanka ‘I won't kill them’ (from tuqute- ‘to kill’); neghyugnaanghituq ‘he won't want to eat’ (from neghyug- ‘to want to eat’)	-нāнӷиты-	
@~f+nagh-	to cause V-ing	used with "emotional roots" as well as certain other bases;  yiminaghtuq ‘he is intimidating, he makes others feel shy’ (from emotional root  yimi- ‘intimidated’); igamsiqanaghtuq ‘it makes one thankful’ (from emotional root igamsiqa- ‘thankful’); nallunaghtuq ‘it’s hard to know’ (from nallu- ‘to not know’); nenglaghnaghtuq ‘it’s funny’ (from nenglagh- ‘to laugh’); tuqunaghtuq ‘it’s poisonous’ (from tuqu- ‘to die’); uguqnaghtuq ‘it’s burning hot’ (from uguqe- ‘to burn’)	-наӷ-	
@~f+nanigh-	to cease V-ing; to stop V-ing; to quit V-ing	includes both temporary and permanent cessation; qepghaghnanightuq ‘he quit working’ (from qepghagh- ‘to work’); yughaghnanightuq ‘he stopped praying’ (from yughagh- ‘to pray’); kuuvnanighaa ‘he stopped pouring or spilling it (or on it)’(from kuuve- ‘to pour, to spill’)	-наниӷ-	
@~f+nanighqe-	to make one cease V-ing	qallegnanighqaa ‘he made him quiet down, left him speechless’ (from qalleg- ‘to speak’); Taawa kaataa kitughaa sananighqaa. ‘He caught up with him, passed him, made him cease.’ (from sa- ‘to do something’) (SIVUQ. NANGAGH. 1:20)	-наниҳқы-	
@~f+naq	something that causes V-ing	used with "emotional roots" as well as other some bases; aklunaq ‘time of scarcity’ (from aklu- ‘to be in need’); yiminaq ‘one who is intimidating’ (from emotional root yimi- ‘intimidated’); iyataghnaq or igataghnaq ‘famine’ (from iyatagh- or igatagh- ‘to be hungry’); kalevnaq ‘deep soft snow’ (from kaleve- ‘to sink into snow, mud, etc.’); kasugnaq ‘rough, splashing water’ (from kasug- ‘to hit or be hit’); nangghanaq ‘interesting thing’ (from emotional root nanggha- ‘interested’); neghnaq ‘crab’ (lexicalized; from negh<e>- ‘to eat’); nenglaghnaq ‘funny thing’ (from nenglagh- ‘to laugh’); palluggnaq ‘rough water’ (from pallugte- ‘to thrash around in the water’); qaasninaq ‘stinging thing’ (from qaasni- ‘to sting’)	-нақ	
@~f+naqae	one who is going to V	neqennaqa ‘one who is going to catch fish or game’ (from neqete- ‘to catch fish or game’); qimugsighnaqet ‘those people who are going out on dogsleds’ (from qimugsigh- ‘to run dogs’); unkuseniighyaghnaqa qaghlughiiq ‘the person who is going trapping is harnessing his team’ (from unkuseniigh- ‘to trap’)	-нақаы	
@~f+naqe-	to be going to V in the near future; to try to V	taaqnaquq ‘he'll quit soon; he's trying to quit’ (from taaqe- ‘to quit’); kaannaquq ‘he'll arrive soon’ (from kaate- ‘to arrive’); qavaghnaquq ‘he'll sleep soon; he's trying to sleep’ (from qavagh- ‘to sleep’); kennaquq ‘he is going to go out to sea’ (from kete- ‘to go out to sea’); aanaquq ‘he is going to go out’ (from aane- ‘to go out’); aannaquq ‘he is going to put on a garment’ (from aate- ‘to put on (garment)’)	-нақы-	
@~f+naqelqusiigh-	to stall or delay at V-ing.	taginaqelqusiightuq ‘he's delaying coming over’ (from tagi- ‘to come over’)	-нақыльқусӣӷ-	
@~f+naqlaatagh-	to V again be going to V	qiyanaqlaataghtuq ‘he's crying again’ (from qiya- ‘to cry’); eltekeltaghnaqlaataghtuq ‘he's giggling again’ (from eltekeltagh- ‘to giggle’); Seghleghhalek, seghletun kiyaghhnaqlaataghtukut, averngulta! ‘So bad, we are again going to be living poorly, so let’s have some escape entertainment!’ (from kiyaghte- ‘to live’) (SIVUQ. NANGAGH. 2:120)	-нақльятāӷ-	
@~f+naqngu-	to have to V	Weni tuqusiighnaqngunghilkumta sanaqaghten! ‘Okay, if we are not going to (i.e., do not have to) wait for our death here, do something!’ (from tuqusiigh- ‘to wait around to die’) (UNGIPAGHAGH. 62)	-нақңьу-	
@~f+naqute-	to try to V		-нақуты-	
@~f+naqutke-	to try to V (it)	atughnaqutkuq ‘he's trying to sing’ (from atugh- ‘to sing’); kuuvnaqutkaa ‘he's trying to spill it’ (from kuuve- ‘to spill’);  tuunaqutkaa ‘he's trying to give it to someone’ (from tuune- ‘to give’)	-нақуткы-	
@~f+natke-	to use or have (it) in order to V	Quyillegnun akikumaaqegkangat quyngingnatkumaaqegkangat. ‘They’d trade them to the Chukchis using them to obtain reindeer.’ (from quynginge- ‘to obtain reindeer’) (SIVUQ. NANGAGH. 2:198)	-наткы-	
@~f+nayagh-	could V; might V; should V; would V	Ighivgaqun neghesqesaqanganga, whaten pinayaghaqa, “iiwenllu neneghmeng taaqaqunga; tagiiquten.” Llaaghanwha neghnayanghitunga. ‘Tonight when he tells me to eat I could say to him like this, “well I finished eating just as you were coming.”  And I shouldn’t eat [now].’ (from pi- ‘to say to’ (the meaning here), and negh<e>- ‘to eat’) (UNGAZ. UNGIP. 73)	-наяӷ-	
@~f+nayuke-	to think that one might V	used only in narratives (?); this is a “compound verbal” postbase	-наюкы-	
~f+nga-	to be in a state of V or of having V-ed	used with postural roots and certain other verb bases; ingaghngaaq ‘he is lying down’ (describing the state rather than the act) (from postural root ingagh- ‘lying down’); kepngaaq ‘it is severed’ (from kepe- ‘to sever’); liitngaaq ‘he is aware’ (from liite- ‘to learn’); avegngaaq ‘it is divided in two’ (from aveg- ‘to divide in two’); atkugngaaq ‘he is wearing a parka’ (from atkug- ‘to put on a partka’); nasaperaghngaaq ‘he is wearing a hat’ (from nasaperagh- ‘to put on a hat’); this postbase drops te from the base where that te is preceded by a fricative which then becomes voiced (or, perhaps more properly, goes back to a root where the fricative is voiced): piivngaaq ‘it is set out for use’ (from piifte- ‘to set out for use’); piizngaaq ‘it is sticking out, projecting’ (from piiste- ‘to stick out, to project’); qiwaaghngaaq ‘it has short fur’ (from qiwaagh- ‘to shear fur short’)	-ңа-	
@~f+ni-1	to say that one is V-ing or being V-ed; to think that one is V-ing or being V-ed	this is a “compound verbal” postbase; taginii ‘he says he (another) came over’; taginiiq ‘he says he (himself came over’ (from tagi- ‘to come over’); kuuvnii ‘he says it spilled’ (from kuuve- ‘to spill’); laalighhnii ‘he says he (another person) is visiting’ (from laalighte- ‘to visit’); igataghniiq ‘he says he (himself) is hungry’, igtataghniiten ‘he says you are hungry’ (from igatagh- ‘to be hungry’); Kii, akugaaq ungipaatngwaaghamken aghnaghllagmun puughnnaqniluten.  ‘Golly, yesterday I certainly told you (saying) that you would be deceived by the big woman.’ (from puughhnaqe- ‘to be going to deceive’) (AYUM. UNGIP. II:11); Takukestaghngaaghmigu sumeghtaghaamalghii uyavannaqniluku. ‘While he was going to it he thought (thinking) that it would be too far.’ (from uyavannaqe- ‘to be going to be far’) (UNGIPAGHAGH. 78)	-ни-1	
@~f+niite-	to not cause one to V	negative of -nagh- (q.v.); nalluniituq ‘it is easy to know, perceive’ (from nallu- ‘to not know’; cf. nallunaghtuq ‘it is hard to know, perceive’); yakughniituq ‘it is not dangerous’ (from emotional root yakugh-, as in yakughnagh- ‘to be dangerous’)	-нӣты-	
~f+niq	thing that is good to V	esghaghniq ‘thing that is eye-catching or attractive’ (from esghagh- ‘to see’)	-ниқ	
