aaw[N][Abs][2DuPoss][DuPosd]	aawegtek
sigute[N][Abs][2DuPoss][SgPosd]	siguteyek
sigute[N][Abs][2PlPoss][DuPosd]	sigutegsi
sigute[N][Abs][2PlPoss][PlPosd]	sigutesi
sigute[N][Abs][2PlPoss][SgPosd]	sigutezi
sigute[N][Abs][2SgPoss][DuPosd]	sigutegken
sigute[N][Abs][2SgPoss][PlPosd]	siguteten
sigute[N][Abs][2SgPoss][SgPosd]	siguten
takestaaghhagh*[N][Abs][2DuPoss][DuPosd]	takestaaghhaagtek
takestaaghhagh*[N][Abs][2DuPoss][PlPosd]	takestaaghhatek
takestaaghhagh*[N][Abs][2DuPoss][SgPosd]	takestaaghhaghtek
takestaaghhagh*[N][Abs][2PlPoss][DuPosd]	takestaaghhaagsi
takestaaghhagh*[N][Abs][2PlPoss][PlPosd]	takestaaghhasi
takestaaghhagh*[N][Abs][2PlPoss][SgPosd]	takestaaghhaghsi
takestaaghhagh*[N][Abs][2SgPoss][DuPosd]	takestaaghhaagken
takestaaghhagh*[N][Abs][2SgPoss][PlPosd]	takestaaghhaghten
takestaaghhagh*[N][Abs][2SgPoss][SgPosd]	takestaaghhaan
ugi[N][Abs][2DuPoss][DuPosd]	ugigtek
ugi[N][Abs][2DuPoss][PlPosd]	ugitek
ugi[N][Abs][2DuPoss][SgPosd]	ugiyek
ugi[N][Abs][2PlPoss][DuPosd]	ugigsi
ugi[N][Abs][2PlPoss][PlPosd]	ugisi
ugi[N][Abs][2PlPoss][SgPosd]	ugizi
ugi[N][Abs][2SgPoss][DuPosd]	ugigken
ugi[N][Abs][2SgPoss][PlPosd]	ugiten
ugi[N][Abs][2SgPoss][SgPosd]	ugin
