aaw[N][Abs][1DuPoss][DuPosd]	aawegpung
iye[N][Abs][1SgPoss][SgPosd]	iiska
kemeg[N][Abs][1DuPoss][DuPosd]	kemgegpung
kemeg[N][Abs][1DuPoss][PlPosd]	kemepung
kemeg[N][Abs][1DuPoss][SgPosd]	kemegpung
kemeg[N][Abs][1PlPoss][DuPosd]	kemgegput
kemeg[N][Abs][1PlPoss][PlPosd]	kemeput
kemeg[N][Abs][1PlPoss][SgPosd]	kemegput
kemeg[N][Abs][1SgPoss][DuPosd]	kemgegka
kemeg[N][Abs][1SgPoss][PlPosd]	kemgenka
kemeg[N][Abs][1SgPoss][SgPosd]	kemka
mekelghiigh[N][Abs][1DuPoss][DuPosd]	mekelghiighegpung
mekelghiigh[N][Abs][1DuPoss][PlPosd]	mekelghiipung
mekelghiigh[N][Abs][1DuPoss][SgPosd]	mekelghiighpung
mekelghiigh[N][Abs][1PlPoss][DuPosd]	mekelghiighegput
mekelghiigh[N][Abs][1PlPoss][PlPosd]	mekelghiiput
mekelghiigh[N][Abs][1PlPoss][SgPosd]	mekelghiighput
mekelghiigh[N][Abs][1SgPoss][DuPosd]	mekelghiighegka
mekelghiigh[N][Abs][1SgPoss][PlPosd]	mekelghiighenka
mekelghiigh[N][Abs][1SgPoss][SgPosd]	mekelghiiqa
mekestaaghhagh*[N][Abs][1DuPoss][DuPosd]	mekestaaghhaagpung
mekestaaghhagh*[N][Abs][1DuPoss][PlPosd]	mekestaaghhapung
mekestaaghhagh*[N][Abs][1DuPoss][SgPosd]	mekestaaghhaghpung
mekestaaghhagh*[N][Abs][1PlPoss][DuPosd]	mekestaaghhaagput
mekestaaghhagh*[N][Abs][1PlPoss][PlPosd]	mekestaaghhaput
mekestaaghhagh*[N][Abs][1PlPoss][SgPosd]	mekestaaghhaghput
mekestaaghhagh*[N][Abs][1SgPoss][DuPosd]	mekestaaghhaagka
mekestaaghhagh*[N][Abs][1SgPoss][PlPosd]	mekestaaghhaanka
mekestaaghhagh*[N][Abs][1SgPoss][SgPosd]	mekestaaghhaqa
naa[N][Abs][1DuPoss][DuPosd]	naagpung
naa[N][Abs][1DuPoss][PlPosd]	naapung
naa[N][Abs][1DuPoss][SgPosd]	naavung
naa[N][Abs][1PlPoss][DuPosd]	naagput
naa[N][Abs][1PlPoss][PlPosd]	naaput
naa[N][Abs][1PlPoss][SgPosd]	naavut
naa[N][Abs][1SgPoss][DuPosd]	naagka
naa[N][Abs][1SgPoss][PlPosd]	naanka
naa[N][Abs][1SgPoss][SgPosd]	naaka
ne[N][Abs][1DuPoss][DuPosd]	negpung
ne[N][Abs][1DuPoss][PlPosd]	nepung
ne[N][Abs][1DuPoss][SgPosd]	nevung
ne[N][Abs][1PlPoss][DuPosd]	negput
ne[N][Abs][1PlPoss][PlPosd]	neput
ne[N][Abs][1PlPoss][SgPosd]	nevut
ne[N][Abs][1SgPoss][DuPosd]	negka
ne[N][Abs][1SgPoss][PlPosd]	nenka
ne[N][Abs][1SgPoss][SgPosd]	neka
nengyugh*[N][Abs][1DuPoss][DuPosd]	nengyuugpung
nengyugh*[N][Abs][1DuPoss][PlPosd]	nengyupung
nengyugh*[N][Abs][1DuPoss][SgPosd]	nengyughpung
nengyugh*[N][Abs][1PlPoss][DuPosd]	nengyuugput
nengyugh*[N][Abs][1PlPoss][PlPosd]	nengyuput
nengyugh*[N][Abs][1PlPoss][SgPosd]	nengyughput
nengyugh*[N][Abs][1SgPoss][DuPosd]	nengyuugka
nengyugh*[N][Abs][1SgPoss][PlPosd]	nengyuunka
nengyugh*[N][Abs][1SgPoss][SgPosd]	nengyuqa
nuliigh[N][Abs][1DuPoss][DuPosd]	nuliighegpung
nuliigh[N][Abs][1DuPoss][PlPosd]	nuliipung
nuliigh[N][Abs][1DuPoss][SgPosd]	nuliighpung
nuliigh[N][Abs][1PlPoss][DuPosd]	nuliighegput
nuliigh[N][Abs][1PlPoss][PlPosd]	nuliiput
nuliigh[N][Abs][1PlPoss][SgPosd]	nuliighput
nuliigh[N][Abs][1SgPoss][DuPosd]	nuliighegka
nuliigh[N][Abs][1SgPoss][PlPosd]	nuliighenka
nuliigh[N][Abs][1SgPoss][SgPosd]	nuliiqa
nuyagh[N][Abs][1DuPoss][DuPosd]	nuyagpung
nuyagh[N][Abs][1DuPoss][PlPosd]	nuyapung
nuyagh[N][Abs][1DuPoss][SgPosd]	nuyaghpung
nuyagh[N][Abs][1PlPoss][DuPosd]	nuyagput
nuyagh[N][Abs][1PlPoss][PlPosd]	nuyaput
nuyagh[N][Abs][1PlPoss][SgPosd]	nuyaghput
nuyagh[N][Abs][1SgPoss][DuPosd]	nuyagka
nuyagh[N][Abs][1SgPoss][PlPosd]	nuyanka
nuyagh[N][Abs][1SgPoss][SgPosd]	nuyaqa
panig[N][Abs][1DuPoss][DuPosd]	panigegpung
panig[N][Abs][1DuPoss][PlPosd]	panipung
panig[N][Abs][1DuPoss][SgPosd]	panigpung
panig[N][Abs][1PlPoss][DuPosd]	panigegput
panig[N][Abs][1PlPoss][PlPosd]	paniput
panig[N][Abs][1PlPoss][SgPosd]	panigput
panig[N][Abs][1SgPoss][DuPosd]	panigegka
panig[N][Abs][1SgPoss][PlPosd]	panigenka
panig[N][Abs][1SgPoss][SgPosd]	panika
qiighw[N][Abs][1DuPoss][DuPosd]	qiighwegpung
qiighw[N][Abs][1DuPoss][PlPosd]	qiipung
qiighw[N][Abs][1DuPoss][SgPosd]	qiighwpung
qiighw[N][Abs][1PlPoss][DuPosd]	qiighwegput
qiighw[N][Abs][1PlPoss][PlPosd]	qiiput
qiighw[N][Abs][1PlPoss][SgPosd]	qiighwput
qiighw[N][Abs][1SgPoss][DuPosd]	qiighwegka
qiighw[N][Abs][1SgPoss][PlPosd]	qiighwenka
qiighw[N][Abs][1SgPoss][SgPosd]	qiiqwa
seghlegh[N][Abs][1DuPoss][DuPosd]	seghleghegpung
seghlegh[N][Abs][1DuPoss][PlPosd]	seghlepung
seghlegh[N][Abs][1DuPoss][SgPosd]	seghleghpung
seghlegh[N][Abs][1PlPoss][DuPosd]	seghleghegput
seghlegh[N][Abs][1PlPoss][PlPosd]	seghleput
seghlegh[N][Abs][1PlPoss][SgPosd]	seghleghput
seghlegh[N][Abs][1SgPoss][DuPosd]	seghleghegka
seghlegh[N][Abs][1SgPoss][PlPosd]	seghleghenka
seghlegh[N][Abs][1SgPoss][SgPosd]	seghleqa
sigute[N][Abs][1DuPoss][DuPosd]	sigutegpung
sigute[N][Abs][1DuPoss][PlPosd]	sigutepung
sigute[N][Abs][1DuPoss][SgPosd]	sigutevung
sigute[N][Abs][1PlPoss][DuPosd]	sigutegput
sigute[N][Abs][1PlPoss][PlPosd]	siguteput
sigute[N][Abs][1PlPoss][SgPosd]	sigutevut
sigute[N][Abs][1SgPoss][DuPosd]	sigutegka
sigute[N][Abs][1SgPoss][PlPosd]	sigutenka
sigute[N][Abs][1SgPoss][SgPosd]	sigutka
takestaaghhagh*[N][Abs][1DuPoss][DuPosd]	takestaaghhaagpung
takestaaghhagh*[N][Abs][1DuPoss][PlPosd]	takestaaghhapung
takestaaghhagh*[N][Abs][1DuPoss][SgPosd]	takestaaghhaghpung
takestaaghhagh*[N][Abs][1PlPoss][DuPosd]	takestaaghhaagput
takestaaghhagh*[N][Abs][1PlPoss][PlPosd]	takestaaghhaput
takestaaghhagh*[N][Abs][1PlPoss][SgPosd]	takestaaghhaghput
takestaaghhagh*[N][Abs][1SgPoss][DuPosd]	takestaaghhaagka
takestaaghhagh*[N][Abs][1SgPoss][PlPosd]	takestaaghhaanka
takestaaghhagh*[N][Abs][1SgPoss][SgPosd]	takestaaghhaqa
ugi[N][Abs][1DuPoss][DuPosd]	ugigpung
ugi[N][Abs][1DuPoss][PlPosd]	ugipung
ugi[N][Abs][1DuPoss][SgPosd]	ugivung
ugi[N][Abs][1PlPoss][DuPosd]	ugigput
ugi[N][Abs][1PlPoss][PlPosd]	ugiput
ugi[N][Abs][1PlPoss][SgPosd]	ugivut
ugi[N][Abs][1SgPoss][DuPosd]	ugigka
ugi[N][Abs][1SgPoss][PlPosd]	uginka
ugi[N][Abs][1SgPoss][SgPosd]	ugika
