aane[V][Ind][1Du]	aanukung
negh[V][Ind][1Pl]	neghtukut
negh[V][Ind][1Sg]	neghtunga
negh[V][Ind][2Du]	neghtutek
negh[V][Ind][2Pl]	neghtusi
negh[V][Ind][2Sg]	neghtuten
negh[V][Ind][3Du]	neghtuk
negh[V][Ind][3Pl]	neghtut
negh[V][Ind][3Sg]	neghtuq
nenglagh[V][Ind][1Du]	nenglaghtukung
nenglagh[V][Ind][1Pl]	nenglaghtukut
nenglagh[V][Ind][1Sg]	nenglaghtunga
nenglagh[V][Ind][2Du]	nenglaghtutek
nenglagh[V][Ind][2Pl]	nenglaghtusi
nenglagh[V][Ind][2Sg]	nenglaghtuten
nenglagh[V][Ind][3Du]	nenglaghtuk
nenglagh[V][Ind][3Pl]	nenglaghtut
nenglagh[V][Ind][3Sg]	nenglaghtuq
pinigh[V][Ind][1Du]	pinightukung
pinigh[V][Ind][1Pl]	pinightukut
pinigh[V][Ind][1Sg]	pinightunga
pinigh[V][Ind][2Du]	pinightutek
pinigh[V][Ind][2Pl]	pinightusi
pinigh[V][Ind][2Sg]	pinightuten
pinigh[V][Ind][3Du]	pinightuk
pinigh[V][Ind][3Pl]	pinightut
pinigh[V][Ind][3Sg]	pinightuq
qavagh[V][Ind][1Du]	qavaghtukung
qavagh[V][Ind][1Pl]	qavaghtukut
qavagh[V][Ind][1Sg]	qavaghtunga
qavagh[V][Ind][2Du]	qavaghtutek
qavagh[V][Ind][2Pl]	qavaghtusi
qavagh[V][Ind][2Sg]	qavaghtuten
qavagh[V][Ind][3Du]	qavaghtuk
qavagh[V][Ind][3Pl]	qavaghtut
qavagh[V][Ind][3Sg]	qavaghtuq
qiighw[V][Ind][1Du]	qiighwtukung
qiighw[V][Ind][1Pl]	qiighwtukut
qiighw[V][Ind][1Sg]	qiighwtunga
qiighw[V][Ind][2Du]	qiighwtutek
qiighw[V][Ind][2Pl]	qiighwtusi
qiighw[V][Ind][2Sg]	qiighwtuten
qiighw[V][Ind][3Du]	qiighwtuk
qiighw[V][Ind][3Pl]	qiighwtut
qiighw[V][Ind][3Sg]	qiighwtuq
qiya[V][Ind][1Du]	qiyaakung
qiya[V][Ind][1Pl]	qiyaakut
qiya[V][Ind][1Sg]	qiyaanga
qiya[V][Ind][2Du]	qiyaatek
qiya[V][Ind][2Pl]	qiyaasi
qiya[V][Ind][2Sg]	qiyaaten
qiya[V][Ind][3Du]	qiyaak
qiya[V][Ind][3Pl]	qiyaat
qiya[V][Ind][3Sg]	qiyaaq
taake[V][Ind][1Du]	taakukung
taake[V][Ind][1Pl]	taakukut
taake[V][Ind][1Sg]	taakunga
taake[V][Ind][2Du]	taakutek
taake[V][Ind][2Pl]	taakusi
taake[V][Ind][2Sg]	taakuten
taake[V][Ind][3Du]	taakuk
taake[V][Ind][3Pl]	taakut
taake[V][Ind][3Sg]	taakuq
tagi[V][Ind][1Du]	tagiikung
tagi[V][Ind][1Pl]	tagiikut
tagi[V][Ind][1Sg]	tagiinga
tagi[V][Ind][2Du]	tagiitek
tagi[V][Ind][2Pl]	tagiisi
tagi[V][Ind][2Sg]	tagiiten
tagi[V][Ind][3Du]	tagiik
tagi[V][Ind][3Pl]	tagiit
tagi[V][Ind][3Sg]	tagiiq
tuqu[V][Ind][1Du]	tuquukung
tuqu[V][Ind][1Pl]	tuquukut
tuqu[V][Ind][1Sg]	tuquunga
tuqu[V][Ind][2Du]	tuquutek
tuqu[V][Ind][2Pl]	tuquusi
tuqu[V][Ind][2Sg]	tuquuten
tuqu[V][Ind][3Du]	tuquuk
tuqu[V][Ind][3Pl]	tuquut
tuqu[V][Ind][3Sg]	tuquuq
