aakagh*[N][Abs][3SgPoss][DuPosd]	aakaghqek
ighaleqetaagh[N][Abs][3SgPoss][SgPosd]	ighaleqetaagha
ila[N][Abs][3SgPoss][DuPosd]	ilakek
ila[N][Abs][3SgPoss][PlPosd]	ilangi
ila[N][Abs][3SgPoss][SgPosd]	ilanga
iye[N][Abs][3SgPoss][DuPosd]	iiskek
iye[N][Abs][3SgPoss][PlPosd]	iyengi
iye[N][Abs][3SgPoss][SgPosd]	iyenga
Karake[N][Abs][3SgPoss][DuPosd]	Karakkek
Karake[N][Abs][3SgPoss][PlPosd]	Karakengi
Karake[N][Abs][3SgPoss][SgPosd]	Karakenga
lalala[N][Abs][3SgPoss][DuPosd]	lalalakek
lalala[N][Abs][3SgPoss][PlPosd]	lalalangi
lalala[N][Abs][3SgPoss][SgPosd]	lalalanga
mesuuna[N][Abs][3SgPoss][DuPosd]	mesuunakek
mesuuna[N][Abs][3SgPoss][PlPosd]	mesuunangi
mesuuna[N][Abs][3SgPoss][SgPosd]	mesuunanga
naasqugh[N][Abs][3SgPoss][DuPosd]	naasqukek
naasqugh[N][Abs][3SgPoss][PlPosd]	naasqwii
naasqugh[N][Abs][3SgPoss][SgPosd]	naasqwaa
nengyugh*[N][Abs][3SgPoss][DuPosd]	nengyughqek
nengyugh*[N][Abs][3SgPoss][PlPosd]	nengyii
nengyugh*[N][Abs][3SgPoss][SgPosd]	nengyaa
nulugh[N][Abs][3SgPoss][DuPosd]	nulukek
nulugh[N][Abs][3SgPoss][PlPosd]	nulii
nulugh[N][Abs][3SgPoss][SgPosd]	nulaa
paye[N][Abs][3SgPoss][DuPosd]	paaskek
paye[N][Abs][3SgPoss][PlPosd]	payengi
paye[N][Abs][3SgPoss][SgPosd]	payenga
pengugh[N][Abs][3SgPoss][DuPosd]	pengukek
pengugh[N][Abs][3SgPoss][PlPosd]	pengwii
pengugh[N][Abs][3SgPoss][SgPosd]	pengwaa
qagugh[N][Abs][3SgPoss][DuPosd]	qagukek
qagugh[N][Abs][3SgPoss][PlPosd]	qawii
qagugh[N][Abs][3SgPoss][SgPosd]	qawaa
qaye[N][Abs][3SgPoss][DuPosd]	qaaskek
qaye[N][Abs][3SgPoss][PlPosd]	qayengi
qaye[N][Abs][3SgPoss][SgPosd]	qayenga
qayugh[N][Abs][3SgPoss][DuPosd]	qayukek
qayugh[N][Abs][3SgPoss][PlPosd]	qayii
qayugh[N][Abs][3SgPoss][SgPosd]	qayaa
qiighw[N][Abs][3SgPoss][DuPosd]	qiighwkek
qiighw[N][Abs][3SgPoss][PlPosd]	qiighwi
qiighw[N][Abs][3SgPoss][SgPosd]	qiighwa
qikmigh[N][Abs][3SgPoss][DuPosd]	qikmikek
qikmigh[N][Abs][3SgPoss][PlPosd]	qikmii
qikmigh[N][Abs][3SgPoss][SgPosd]	qikmii
savig[N][Abs][3SgPoss][DuPosd]	savigkek
savig[N][Abs][3SgPoss][PlPosd]	savigi
savig[N][Abs][3SgPoss][SgPosd]	saviga
sigute[N][Abs][3SgPoss][DuPosd]	sigutkek
sigute[N][Abs][3SgPoss][PlPosd]	sigutengi
sigute[N][Abs][3SgPoss][SgPosd]	sigutenga
siivanllegh[N][Abs][3SgPoss][DuPosd]	siivanlleghqek
siivanllegh[N][Abs][3SgPoss][PlPosd]	siivanlleghi
siivanllegh[N][Abs][3SgPoss][SgPosd]	siivanllegha
sikugh*[N][Abs][3SgPoss][DuPosd]	sikughqek
sikugh*[N][Abs][3SgPoss][PlPosd]	sikwii
sikugh*[N][Abs][3SgPoss][SgPosd]	sikwaa
siqinegh[N][Abs][3SgPoss][DuPosd]	siqineghqek
siqinegh[N][Abs][3SgPoss][PlPosd]	siqinghi
siqinegh[N][Abs][3SgPoss][SgPosd]	siqingha
tanqigh[N][Abs][3SgPoss][DuPosd]	tanqikek
tanqigh[N][Abs][3SgPoss][PlPosd]	tanqii
tanqigh[N][Abs][3SgPoss][SgPosd]	tanqii
teghikusaq[N][Abs][3SgPoss][DuPosd]	teghikusaqkek
teghikusaq[N][Abs][3SgPoss][PlPosd]	teghikusaqi
teghikusaq[N][Abs][3SgPoss][SgPosd]	teghikusaqa
tengegkayug[N][Abs][3SgPoss][DuPosd]	tengegkayugkek
tengegkayug[N][Abs][3SgPoss][PlPosd]	tengegkayugi
tengegkayug[N][Abs][3SgPoss][SgPosd]	tengegkayuga
tukugh*[N][Abs][3SgPoss][DuPosd]	tukughqek
tukugh*[N][Abs][3SgPoss][PlPosd]	tukwii
tukugh*[N][Abs][3SgPoss][SgPosd]	tukwaa
ulaagh[N][Abs][3SgPoss][DuPosd]	ulaaghqek
ulaagh[N][Abs][3SgPoss][PlPosd]	ulaaghi
ulaagh[N][Abs][3SgPoss][SgPosd]	ulaagha
ungipaghagh[N][Abs][3SgPoss][DuPosd]	ungipaghakek
ungipaghagh[N][Abs][3SgPoss][PlPosd]	ungipaghii
ungipaghagh[N][Abs][3SgPoss][SgPosd]	ungipaghaa
uqugh[N][Abs][3SgPoss][DuPosd]	uqukek
uqugh[N][Abs][3SgPoss][PlPosd]	uqwii
uqugh[N][Abs][3SgPoss][SgPosd]	uqwaa
uyaqugh[N][Abs][3SgPoss][DuPosd]	uyaqukek
uyaqugh[N][Abs][3SgPoss][PlPosd]	uyaqwii
uyaqugh[N][Abs][3SgPoss][SgPosd]	uyaqwaa
walguyaag[N][Abs][3SgPoss][DuPosd]	walguyaagkek
walguyaag[N][Abs][3SgPoss][PlPosd]	walguyaagi
walguyaag[N][Abs][3SgPoss][SgPosd]	walguyaaga
yughaghte[N][Abs][3SgPoss][DuPosd]	yughaghtekek
yughaghte[N][Abs][3SgPoss][PlPosd]	yughaghtengi
yughaghte[N][Abs][3SgPoss][SgPosd]	yughaghtenga
