afsengagh*[N][Abs][Unpd][Du]	afsengaak
savig[N][Abs][Unpd][Sg]	savik
sigute[N][Abs][Unpd][Du]	sigutek
sigute[N][Abs][Unpd][Pl]	sigutet
sigute[N][Abs][Unpd][Sg]	sigun
sigute[N][Abs][Unpd][Sg]	siguta
sikugh*[N][Abs][Unpd][Du]	sikuuk
sikugh*[N][Abs][Unpd][Pl]	sikuut
sikugh*[N][Abs][Unpd][Sg]	sikuq
siku[N][Abs][Unpd][Du]	sikuk
siku[N][Abs][Unpd][Pl]	sikut
siku[N][Abs][Unpd][Sg]	siku
tafsi[N][Abs][Unpd][Du]	tafsik
tafsi[N][Abs][Unpd][Pl]	tafsit
tafsi[N][Abs][Unpd][Sg]	tafsi
taghnughhagh*[N][Abs][Unpd][Du]	taghnughhaak
taghnughhagh*[N][Abs][Unpd][Pl]	taghnughhaat
taghnughhagh*[N][Abs][Unpd][Sg]	taghnughhaq
taqegh[N][Abs][Unpd][Du]	taaqghek
taqegh[N][Abs][Unpd][Pl]	taaqghet
taqegh[N][Abs][Unpd][Sg]	taqeq
tume[N][Abs][Unpd][Du]	tumek
tume[N][Abs][Unpd][Pl]	tumet
tume[N][Abs][Unpd][Sg]	tuma
ughluvegh[N][Abs][Unpd][Du]	ughluvghek
ughluvegh[N][Abs][Unpd][Pl]	ughluvghet
ughluvegh[N][Abs][Unpd][Sg]	ughluveq
ulaagh[N][Abs][Unpd][Du]	ulaaghek
ulaagh[N][Abs][Unpd][Pl]	ulaaghet
ulaagh[N][Abs][Unpd][Sg]	ulaaq
uupa[N][Abs][Unpd][Du]	uupak
uupa[N][Abs][Unpd][Pl]	uupat
uupa[N][Abs][Unpd][Sg]	uupa
uyghag[N][Abs][Unpd][Du]	uyghagek
uyghag[N][Abs][Unpd][Pl]	uyghaget
uyghag[N][Abs][Unpd][Sg]	uyghak
yaquleg[N][Abs][Unpd][Du]	yaqulgek
yaquleg[N][Abs][Unpd][Pl]	yaqulget
yaquleg[N][Abs][Unpd][Sg]	yaqulek
yughaghte[N][Abs][Unpd][Du]	yughaghtek
yughaghte[N][Abs][Unpd][Pl]	yughaghtet
yughaghte[N][Abs][Unpd][Sg]	yughaghn
yughaghte[N][Abs][Unpd][Sg]	yughaghta
yug[N][Abs][Unpd][Du]	yugek
yug[N][Abs][Unpd][Pl]	yuget
yug[N][Abs][Unpd][Sg]	yuk
Yupig[N][Abs][Unpd][Du]	yupigek
Yupig[N][Abs][Unpd][Pl]	yupiget
Yupig[N][Abs][Unpd][Sg]	yupik
