aakagh*[N][Equ][Unpd][Pl]	aakaastun
ngelqagh[N][Ter][Unpd][Pl]	ngelqanun
ngelqagh[N][Ter][Unpd][Sg]	ngelqamun
ngelqagh[N][Via][Unpd][Pl]	ngelqatgun
ngelqagh[N][Via][Unpd][Sg]	ngelqakun
nuna[N][Equ][Unpd][Pl]	nunastun
nuna[N][Equ][Unpd][Sg]	nunatun
nuna[N][Loc][Unpd][Pl]	nunani
nuna[N][Loc][Unpd][Sg]	nunami
nuna[N][Ter][Unpd][Pl]	nunanun
nuna[N][Ter][Unpd][Sg]	nunamun
nuna[N][Via][Unpd][Pl]	nunatgun
nuna[N][Via][Unpd][Sg]	nunakun
nunivag[N][Equ][Unpd][Pl]	nunivagestun
nunivag[N][Equ][Unpd][Sg]	nunivagtun
nunivag[N][Loc][Unpd][Pl]	nunivagni
nunivag[N][Loc][Unpd][Sg]	nunivagmi
nunivag[N][Ter][Unpd][Pl]	nunivagnun
nunivag[N][Ter][Unpd][Sg]	nunivagmun
nunivag[N][Via][Unpd][Pl]	nunivagetgun
nunivag[N][Via][Unpd][Sg]	nunivagkun
pagunghagh*[N][Equ][Unpd][Pl]	pagunghaastun
pagunghagh*[N][Equ][Unpd][Sg]	pagunghaghtun
pagunghagh*[N][Loc][Unpd][Pl]	pagunghaghni
pagunghagh*[N][Loc][Unpd][Sg]	pagunghaghmi
pagunghagh*[N][Ter][Unpd][Pl]	pagunghaghnun
pagunghagh*[N][Ter][Unpd][Sg]	pagunghaghmun
pagunghagh*[N][Via][Unpd][Pl]	pagunghaatgun
pagunghagh*[N][Via][Unpd][Sg]	pagunghaghqun
papeg[N][Equ][Unpd][Pl]	paapgestun
papeg[N][Equ][Unpd][Sg]	papegtun
papeg[N][Loc][Unpd][Pl]	papegni
papeg[N][Loc][Unpd][Sg]	papegmi
papeg[N][Ter][Unpd][Pl]	papegnun
papeg[N][Ter][Unpd][Sg]	papegmun
papeg[N][Via][Unpd][Pl]	paapgetgun
papeg[N][Via][Unpd][Sg]	papegkun
puu[N][Equ][Unpd][Pl]	puustun
puu[N][Equ][Unpd][Sg]	puutun
puu[N][Loc][Unpd][Pl]	puuni
puu[N][Loc][Unpd][Sg]	puumi
puu[N][Ter][Unpd][Pl]	puunun
puu[N][Ter][Unpd][Sg]	puumun
puu[N][Via][Unpd][Pl]	puutgun
puu[N][Via][Unpd][Sg]	puukun
qanegh[N][Equ][Unpd][Pl]	qaanghestun
qanegh[N][Equ][Unpd][Sg]	qaneghtun
qanegh[N][Loc][Unpd][Pl]	qaneghni
qanegh[N][Loc][Unpd][Sg]	qaneghmi
qanegh[N][Ter][Unpd][Pl]	qaneghnun
qanegh[N][Ter][Unpd][Sg]	qaneghmun
qanegh[N][Via][Unpd][Pl]	qaanghetgun
qanegh[N][Via][Unpd][Sg]	qaneghqun
qengagh[N][Equ][Unpd][Pl]	qengastun
qengagh[N][Equ][Unpd][Sg]	qengatun
qengagh[N][Loc][Unpd][Pl]	qengani
qengagh[N][Loc][Unpd][Sg]	qengami
qengagh[N][Ter][Unpd][Pl]	qenganun
qengagh[N][Ter][Unpd][Sg]	qengamun
qengagh[N][Via][Unpd][Pl]	qengatgun
qengagh[N][Via][Unpd][Sg]	qengakun
qikmigh[N][Equ][Unpd][Pl]	qikmistun
qikmigh[N][Equ][Unpd][Sg]	qikmitun
qikmigh[N][Loc][Unpd][Pl]	qikmini
qikmigh[N][Loc][Unpd][Sg]	qikmimi
qikmigh[N][Ter][Unpd][Pl]	qikminun
qikmigh[N][Ter][Unpd][Sg]	qikmimun
qikmigh[N][Via][Unpd][Pl]	qikmitgun
qikmigh[N][Via][Unpd][Sg]	qikmikun
savig[N][Equ][Unpd][Pl]	savigestun
savig[N][Equ][Unpd][Sg]	savigtun
savig[N][Loc][Unpd][Pl]	savigni
savig[N][Loc][Unpd][Sg]	savigmi
savig[N][Ter][Unpd][Pl]	savignun
savig[N][Ter][Unpd][Sg]	savigmun
savig[N][Via][Unpd][Pl]	savigetgun
savig[N][Via][Unpd][Sg]	savigkun
suflugagh[N][Equ][Unpd][Pl]	suflugastun
suflugagh[N][Equ][Unpd][Sg]	suflugatun
suflugagh[N][Loc][Unpd][Pl]	suflugani
suflugagh[N][Loc][Unpd][Sg]	suflugami
suflugagh[N][Ter][Unpd][Pl]	sufluganun
suflugagh[N][Ter][Unpd][Sg]	suflugamun
suflugagh[N][Via][Unpd][Pl]	suflugatgun
suflugagh[N][Via][Unpd][Sg]	suflugakun
tepe[N][Equ][Unpd][Pl]	tepestun
tepe[N][Equ][Unpd][Sg]	teptun
tepe[N][Loc][Unpd][Pl]	tepni
tepe[N][Loc][Unpd][Sg]	tepmi
tepe[N][Ter][Unpd][Pl]	tepnun
tepe[N][Ter][Unpd][Sg]	tepmun
tepe[N][Via][Unpd][Pl]	tepetgun
tepe[N][Via][Unpd][Sg]	tepkun
tukugh*[N][Equ][Unpd][Pl]	tukuustun
tukugh*[N][Equ][Unpd][Sg]	tukughtun
tukugh*[N][Loc][Unpd][Pl]	tukughni
tukugh*[N][Loc][Unpd][Sg]	tukughmi
tukugh*[N][Ter][Unpd][Pl]	tukughnun
tukugh*[N][Ter][Unpd][Sg]	tukughmun
tukugh*[N][Via][Unpd][Pl]	tukuutgun
tukugh*[N][Via][Unpd][Sg]	tukughqun
tume[N][Equ][Unpd][Pl]	tumestun
tume[N][Equ][Unpd][Sg]	tuumtun
tume[N][Loc][Unpd][Pl]	tuumni
tume[N][Loc][Unpd][Sg]	tuummi
tume[N][Ter][Unpd][Pl]	tuumnun
tume[N][Ter][Unpd][Sg]	tuummun
tume[N][Via][Unpd][Pl]	tumetgun
tume[N][Via][Unpd][Sg]	tuumkun
unaami[N][Equ][Unpd][Pl]	unaamistun
unaami[N][Equ][Unpd][Sg]	unaamitun
unaami[N][Loc][Unpd][Pl]	unaamini
unaami[N][Loc][Unpd][Sg]	unaamimi
unaami[N][Ter][Unpd][Pl]	unaaminun
unaami[N][Ter][Unpd][Sg]	unaamimun
unaami[N][Via][Unpd][Pl]	unaamitgun
unaami[N][Via][Unpd][Sg]	unaamikun
uyughagh*[N][Equ][Unpd][Pl]	uyughaastun
uyughagh*[N][Equ][Unpd][Sg]	uyughaghtun
uyughagh*[N][Loc][Unpd][Pl]	uyughaghni
uyughagh*[N][Loc][Unpd][Sg]	uyughaghmi
uyughagh*[N][Ter][Unpd][Pl]	uyughaghnun
uyughagh*[N][Ter][Unpd][Sg]	uyughaghmun
uyughagh*[N][Via][Unpd][Pl]	uyughaatgun
uyughagh*[N][Via][Unpd][Sg]	uyughaghqun
vegaagh[N][Equ][Unpd][Pl]	vegaaghestun
vegaagh[N][Equ][Unpd][Sg]	vegaaghtun
vegaagh[N][Loc][Unpd][Pl]	vegaaghni
vegaagh[N][Loc][Unpd][Sg]	vegaaghmi
vegaagh[N][Ter][Unpd][Pl]	vegaaghnun
vegaagh[N][Ter][Unpd][Sg]	vegaaghmun
vegaagh[N][Via][Unpd][Pl]	vegaaghetgun
vegaagh[N][Via][Unpd][Sg]	vegaaghqun
yughaghvig[N][Equ][Unpd][Pl]	yughaghvigestun
yughaghvig[N][Equ][Unpd][Sg]	yughaghvigtun
yughaghvig[N][Loc][Unpd][Pl]	yughaghvigni
yughaghvig[N][Loc][Unpd][Sg]	yughaghvigmi
yughaghvig[N][Ter][Unpd][Pl]	yughaghvignun
yughaghvig[N][Ter][Unpd][Sg]	yughaghvigmun
yughaghvig[N][Via][Unpd][Pl]	yughaghvigetgun
yughaghvig[N][Via][Unpd][Sg]	yughaghvigkun
Yupig[N][Equ][Unpd][Pl]	Yupigestun
Yupig[N][Equ][Unpd][Sg]	Yupigtun
Yupig[N][Loc][Unpd][Pl]	Yupigni
Yupig[N][Loc][Unpd][Sg]	Yupigmi
Yupig[N][Ter][Unpd][Pl]	Yupignun
Yupig[N][Ter][Unpd][Sg]	Yupigmun
Yupig[N][Via][Unpd][Pl]	Yupigetgun
Yupig[N][Via][Unpd][Sg]	Yupigkun
