alleg[V][Opt][NEG][2Sg][1Du]	allefqaamtung
qelpeghte[V][Opt][NEG][2Sg][1Pl]	qelpeghtefqaamta
qelpeghte[V][Opt][NEG][2Sg][1Sg]	qelpeghtefqaama
qelpeghte[V][Opt][NEG][2Sg][3Du]	qelpeghtefqaagkenka
qelpeghte[V][Opt][NEG][2Sg][3Pl]	qelpeghtefqiita
qelpeghte[V][Opt][NEG][2Sg][3Sg]	qelpeghtefqaan
tagite[V][Opt][NEG][2Sg][1Du]	tagitefqaamtung
tagite[V][Opt][NEG][2Sg][1Pl]	tagitefqaamta
tagite[V][Opt][NEG][2Sg][1Sg]	tagitefqaama
tagite[V][Opt][NEG][2Sg][3Du]	tagitefqaagkenka
tagite[V][Opt][NEG][2Sg][3Pl]	tagitefqiita
tagite[V][Opt][NEG][2Sg][3Sg]	tagitefqaan
tugu[V][Opt][NEG][2Sg][1Du]	tugufqaamtung
tugu[V][Opt][NEG][2Sg][1Pl]	tugufqaamta
tugu[V][Opt][NEG][2Sg][1Sg]	tugufqaama
tugu[V][Opt][NEG][2Sg][3Du]	tugufqaagkenka
tugu[V][Opt][NEG][2Sg][3Pl]	tugufqiita
tugu[V][Opt][NEG][2Sg][3Sg]	tugufqaan
tuqute[V][Opt][NEG][2Sg][1Du]	tuqutefqaamtung
tuqute[V][Opt][NEG][2Sg][1Pl]	tuqutefqaamta
tuqute[V][Opt][NEG][2Sg][1Sg]	tuqutefqaama
tuqute[V][Opt][NEG][2Sg][3Du]	tuqutefqaagkenka
tuqute[V][Opt][NEG][2Sg][3Pl]	tuqutefqiita
tuqute[V][Opt][NEG][2Sg][3Sg]	tuqutefqaan
umeg[V][Opt][NEG][2Sg][1Du]	umefqaamtung
umeg[V][Opt][NEG][2Sg][1Pl]	umefqaamta
umeg[V][Opt][NEG][2Sg][1Sg]	umefqaama
umeg[V][Opt][NEG][2Sg][3Du]	umefqaagkenka
umeg[V][Opt][NEG][2Sg][3Pl]	umefqiita
umeg[V][Opt][NEG][2Sg][3Sg]	umefqaan
