aakagh*[N][Abs][3DuPoss][DuPosd]	aakaagkek
tanqigh[N][Abs][3DuPoss][PlPosd]	tanqiik
tanqigh[N][Abs][3DuPoss][SgPosd]	tanqiik
teghikusaq[N][Abs][3DuPoss][DuPosd]	teghikusaqegkek
teghikusaq[N][Abs][3DuPoss][PlPosd]	teghikusaqik
teghikusaq[N][Abs][3DuPoss][SgPosd]	teghikusaqak
tengegkayug[N][Abs][3DuPoss][DuPosd]	tengegkayugegkek
tengegkayug[N][Abs][3DuPoss][PlPosd]	tengegkayugik
tengegkayug[N][Abs][3DuPoss][SgPosd]	tengegkayugak
tukugh*[N][Abs][3DuPoss][DuPosd]	tukuugkek
tukugh*[N][Abs][3DuPoss][PlPosd]	tukiik
tukugh*[N][Abs][3DuPoss][SgPosd]	tukaak
ulaagh[N][Abs][3DuPoss][DuPosd]	ulaaghegkek
ulaagh[N][Abs][3DuPoss][PlPosd]	ulaaghik
ulaagh[N][Abs][3DuPoss][SgPosd]	ulaaghak
ungipaghagh[N][Abs][3DuPoss][DuPosd]	ungipaghagkek
ungipaghagh[N][Abs][3DuPoss][PlPosd]	ungipaghiik
ungipaghagh[N][Abs][3DuPoss][SgPosd]	ungipaghaak
uqugh[N][Abs][3DuPoss][DuPosd]	uqugkek
uqugh[N][Abs][3DuPoss][PlPosd]	uqiik
uqugh[N][Abs][3DuPoss][SgPosd]	uqaak
uyaqugh[N][Abs][3DuPoss][DuPosd]	uyaqugkek
uyaqugh[N][Abs][3DuPoss][PlPosd]	uyaqiik
uyaqugh[N][Abs][3DuPoss][SgPosd]	uyaqaak
walguyaag[N][Abs][3DuPoss][DuPosd]	walguyaagegkek
walguyaag[N][Abs][3DuPoss][PlPosd]	walguyaagik
walguyaag[N][Abs][3DuPoss][SgPosd]	walguyaagak
yughaghte[N][Abs][3DuPoss][DuPosd]	yughaghtegkek
yughaghte[N][Abs][3DuPoss][PlPosd]	yughaghtengik
yughaghte[N][Abs][3DuPoss][SgPosd]	yughaghtengak
