aakagh*[N][Abs][3DuPoss][DuPosd]	aakaagkek
ategh[N][Abs][3PlPoss][DuPosd]	aatghegket
ategh[N][Abs][3PlPoss][PlPosd]	aatghit
ategh[N][Abs][3PlPoss][SgPosd]	aatghat
ategh[N][Abs][3SgPoss][DuPosd]	ateghqek
ategh[N][Abs][3SgPoss][PlPosd]	aatghi
ategh[N][Abs][3SgPoss][SgPosd]	aatgha
ggute[N][Abs][3DuPoss][DuPosd]	ggutegkek
ggute[N][Abs][3DuPoss][PlPosd]	gguutngik
ggute[N][Abs][3DuPoss][SgPosd]	gguutngak
ggute[N][Abs][3PlPoss][DuPosd]	ggutegket
ggute[N][Abs][3PlPoss][PlPosd]	gguutngit
ggute[N][Abs][3PlPoss][SgPosd]	gguutngat
ggute[N][Abs][3SgPoss][DuPosd]	gguutkek
ggute[N][Abs][3SgPoss][PlPosd]	gguutngi
ggute[N][Abs][3SgPoss][SgPosd]	gguutnga
ighaleqetaagh[N][Abs][3DuPoss][DuPosd]	ighaleqetaaghegkek
ighaleqetaagh[N][Abs][3DuPoss][PlPosd]	ighaleqetaaghik
ighaleqetaagh[N][Abs][3DuPoss][SgPosd]	ighaleqetaaghak
ighaleqetaagh[N][Abs][3PlPoss][DuPosd]	ighaleqetaaghegket
ighaleqetaagh[N][Abs][3PlPoss][PlPosd]	ighaleqetaaghit
ighaleqetaagh[N][Abs][3PlPoss][SgPosd]	ighaleqetaaghat
ighaleqetaagh[N][Abs][3SgPoss][DuPosd]	ighaleqetaaghqek
ighaleqetaagh[N][Abs][3SgPoss][PlPosd]	ighaleqetaaghi
ighaleqetaagh[N][Abs][3SgPoss][SgPosd]	ighaleqetaagha
ila[N][Abs][3DuPoss][DuPosd]	ilagkek
ila[N][Abs][3DuPoss][PlPosd]	ilangik
ila[N][Abs][3DuPoss][SgPosd]	ilangak
ila[N][Abs][3PlPoss][DuPosd]	ilagket
ila[N][Abs][3PlPoss][PlPosd]	ilangit
ila[N][Abs][3PlPoss][SgPosd]	ilangat
ila[N][Abs][3SgPoss][DuPosd]	ilakek
ila[N][Abs][3SgPoss][PlPosd]	ilangi
ila[N][Abs][3SgPoss][SgPosd]	ilanga
iye[N][Abs][3DuPoss][DuPosd]	iyegkek
iye[N][Abs][3DuPoss][PlPosd]	iiyngik
iye[N][Abs][3DuPoss][SgPosd]	iiyngak
iye[N][Abs][3PlPoss][DuPosd]	iyegket
iye[N][Abs][3PlPoss][PlPosd]	iiyngit
iye[N][Abs][3PlPoss][SgPosd]	iiyngat
iye[N][Abs][3SgPoss][DuPosd]	iiskek
iye[N][Abs][3SgPoss][PlPosd]	iiyngi
iye[N][Abs][3SgPoss][SgPosd]	iiynga
Karake[N][Abs][3DuPoss][DuPosd]	karakegkek
Karake[N][Abs][3DuPoss][PlPosd]	karakengik
Karake[N][Abs][3DuPoss][SgPosd]	karakengak
Karake[N][Abs][3PlPoss][DuPosd]	karakegket
Karake[N][Abs][3PlPoss][PlPosd]	karakengit
Karake[N][Abs][3PlPoss][SgPosd]	karakengat
Karake[N][Abs][3SgPoss][DuPosd]	karakkek
Karake[N][Abs][3SgPoss][PlPosd]	karakengi
Karake[N][Abs][3SgPoss][SgPosd]	karakenga
lalala[N][Abs][3DuPoss][DuPosd]	lalalagkek
lalala[N][Abs][3DuPoss][PlPosd]	lalalangik
lalala[N][Abs][3DuPoss][SgPosd]	lalalangak
lalala[N][Abs][3PlPoss][DuPosd]	lalalagket
lalala[N][Abs][3PlPoss][PlPosd]	lalalangit
lalala[N][Abs][3PlPoss][SgPosd]	lalalangat
lalala[N][Abs][3SgPoss][DuPosd]	lalalakek
lalala[N][Abs][3SgPoss][PlPosd]	lalalangi
lalala[N][Abs][3SgPoss][SgPosd]	lalalanga
mesuuna[N][Abs][3DuPoss][DuPosd]	mesuunagkek
mesuuna[N][Abs][3DuPoss][PlPosd]	mesuunangik
mesuuna[N][Abs][3DuPoss][SgPosd]	mesuunangak
mesuuna[N][Abs][3PlPoss][DuPosd]	mesuunagket
mesuuna[N][Abs][3PlPoss][PlPosd]	mesuunangit
mesuuna[N][Abs][3PlPoss][SgPosd]	mesuunangat
mesuuna[N][Abs][3SgPoss][DuPosd]	mesuunakek
mesuuna[N][Abs][3SgPoss][PlPosd]	mesuunangi
mesuuna[N][Abs][3SgPoss][SgPosd]	mesuunanga
naasqugh[N][Abs][3DuPoss][DuPosd]	naasqugkek
naasqugh[N][Abs][3DuPoss][PlPosd]	naasqwiik
naasqugh[N][Abs][3DuPoss][SgPosd]	naasqwaak
naasqugh[N][Abs][3PlPoss][DuPosd]	naasqugket
naasqugh[N][Abs][3PlPoss][PlPosd]	naasqwiit
naasqugh[N][Abs][3PlPoss][SgPosd]	naasqwaat
naasqugh[N][Abs][3SgPoss][DuPosd]	naasqukek
naasqugh[N][Abs][3SgPoss][PlPosd]	naasqwii
naasqugh[N][Abs][3SgPoss][SgPosd]	naasqwaa
nengyugh*[N][Abs][3DuPoss][DuPosd]	nengyuugkek
nengyugh*[N][Abs][3DuPoss][PlPosd]	nengyiik
nengyugh*[N][Abs][3DuPoss][SgPosd]	nengyaak
nengyugh*[N][Abs][3PlPoss][DuPosd]	nengyuugket
nengyugh*[N][Abs][3PlPoss][PlPosd]	nengyiit
nengyugh*[N][Abs][3PlPoss][SgPosd]	nengyaat
nengyugh*[N][Abs][3SgPoss][DuPosd]	nengyughqek
nengyugh*[N][Abs][3SgPoss][PlPosd]	nengyii
nengyugh*[N][Abs][3SgPoss][SgPosd]	nengyaa
nulugh[N][Abs][3DuPoss][DuPosd]	nulugkek
nulugh[N][Abs][3DuPoss][PlPosd]	nuliik
nulugh[N][Abs][3DuPoss][SgPosd]	nulaak
nulugh[N][Abs][3PlPoss][DuPosd]	nulugket
nulugh[N][Abs][3PlPoss][PlPosd]	nuliit
nulugh[N][Abs][3PlPoss][SgPosd]	nulaat
nulugh[N][Abs][3SgPoss][DuPosd]	nulukek
nulugh[N][Abs][3SgPoss][PlPosd]	nulii
nulugh[N][Abs][3SgPoss][SgPosd]	nulaa
paye[N][Abs][3DuPoss][DuPosd]	payegkek
paye[N][Abs][3DuPoss][PlPosd]	paayngik
paye[N][Abs][3DuPoss][SgPosd]	paayngak
paye[N][Abs][3PlPoss][DuPosd]	payegket
paye[N][Abs][3PlPoss][PlPosd]	paayngit
paye[N][Abs][3PlPoss][SgPosd]	paayngat
paye[N][Abs][3SgPoss][DuPosd]	paaskek
paye[N][Abs][3SgPoss][PlPosd]	paayngi
paye[N][Abs][3SgPoss][SgPosd]	paaynga
pengugh[N][Abs][3DuPoss][DuPosd]	pengugkek
pengugh[N][Abs][3DuPoss][PlPosd]	pengwiik
pengugh[N][Abs][3DuPoss][SgPosd]	pengwaak
pengugh[N][Abs][3PlPoss][DuPosd]	pengugket
pengugh[N][Abs][3PlPoss][PlPosd]	pengwiit
pengugh[N][Abs][3PlPoss][SgPosd]	pengwaat
pengugh[N][Abs][3SgPoss][DuPosd]	pengukek
pengugh[N][Abs][3SgPoss][PlPosd]	pengwii
pengugh[N][Abs][3SgPoss][SgPosd]	pengwaa
qagugh[N][Abs][3DuPoss][DuPosd]	qagugkek
qagugh[N][Abs][3DuPoss][PlPosd]	qawiik
qagugh[N][Abs][3DuPoss][SgPosd]	qawaak
qagugh[N][Abs][3PlPoss][DuPosd]	qagugket
qagugh[N][Abs][3PlPoss][PlPosd]	qawiit
qagugh[N][Abs][3PlPoss][SgPosd]	qawaat
qagugh[N][Abs][3SgPoss][DuPosd]	qagukek
qagugh[N][Abs][3SgPoss][PlPosd]	qawii
qagugh[N][Abs][3SgPoss][SgPosd]	qawaa
qaye[N][Abs][3DuPoss][DuPosd]	qayegkek
qaye[N][Abs][3DuPoss][PlPosd]	qaayngik
qaye[N][Abs][3DuPoss][SgPosd]	qaayngak
qaye[N][Abs][3PlPoss][DuPosd]	qayegket
qaye[N][Abs][3PlPoss][PlPosd]	qaayngit
qaye[N][Abs][3PlPoss][SgPosd]	qaayngat
qaye[N][Abs][3SgPoss][DuPosd]	qaaskek
qaye[N][Abs][3SgPoss][PlPosd]	qaayngi
qaye[N][Abs][3SgPoss][SgPosd]	qaaynga
qayugh[N][Abs][3DuPoss][DuPosd]	qayugkek
qayugh[N][Abs][3DuPoss][PlPosd]	qayiik
qayugh[N][Abs][3DuPoss][SgPosd]	qayaak
qayugh[N][Abs][3PlPoss][DuPosd]	qayugket
qayugh[N][Abs][3PlPoss][PlPosd]	qayiit
qayugh[N][Abs][3PlPoss][SgPosd]	qayaat
qayugh[N][Abs][3SgPoss][DuPosd]	qayukek
qayugh[N][Abs][3SgPoss][PlPosd]	qayii
qayugh[N][Abs][3SgPoss][SgPosd]	qayaa
qiighw[N][Abs][3DuPoss][DuPosd]	qiighwegkek
qiighw[N][Abs][3DuPoss][PlPosd]	qiighwik
qiighw[N][Abs][3DuPoss][SgPosd]	qiighwak
qiighw[N][Abs][3PlPoss][DuPosd]	qiighwegket
qiighw[N][Abs][3PlPoss][PlPosd]	qiighwit
qiighw[N][Abs][3PlPoss][SgPosd]	qiighwat
qiighw[N][Abs][3SgPoss][DuPosd]	qiighwkek
qiighw[N][Abs][3SgPoss][PlPosd]	qiighwi
qiighw[N][Abs][3SgPoss][SgPosd]	qiighwa
qikmigh[N][Abs][3DuPoss][DuPosd]	qikmigkek
qikmigh[N][Abs][3DuPoss][PlPosd]	qikmiik
qikmigh[N][Abs][3DuPoss][SgPosd]	qikmiik
qikmigh[N][Abs][3PlPoss][DuPosd]	qikmigket
qikmigh[N][Abs][3PlPoss][PlPosd]	qikmiit
qikmigh[N][Abs][3PlPoss][SgPosd]	qikmiit
qikmigh[N][Abs][3SgPoss][DuPosd]	qikmikek
qikmigh[N][Abs][3SgPoss][PlPosd]	qikmii
qikmigh[N][Abs][3SgPoss][SgPosd]	qikmii
savig[N][Abs][3DuPoss][DuPosd]	savigegkek
savig[N][Abs][3DuPoss][PlPosd]	savigik
savig[N][Abs][3DuPoss][SgPosd]	savigak
savig[N][Abs][3PlPoss][DuPosd]	savigegket
savig[N][Abs][3PlPoss][PlPosd]	savigit
savig[N][Abs][3PlPoss][SgPosd]	savigat
savig[N][Abs][3SgPoss][DuPosd]	savigkek
savig[N][Abs][3SgPoss][PlPosd]	savigi
savig[N][Abs][3SgPoss][SgPosd]	saviga
sigute[N][Abs][3DuPoss][DuPosd]	sigutegkek
sigute[N][Abs][3DuPoss][PlPosd]	sigutengik
sigute[N][Abs][3DuPoss][SgPosd]	sigutengak
sigute[N][Abs][3PlPoss][DuPosd]	sigutegket
sigute[N][Abs][3PlPoss][PlPosd]	sigutengit
sigute[N][Abs][3PlPoss][SgPosd]	sigutengat
sigute[N][Abs][3SgPoss][DuPosd]	sigutkek
sigute[N][Abs][3SgPoss][PlPosd]	sigutengi
sigute[N][Abs][3SgPoss][SgPosd]	sigutenga
siivanllegh[N][Abs][3DuPoss][DuPosd]	siivanlleghegkek
siivanllegh[N][Abs][3DuPoss][PlPosd]	siivanlleghik
siivanllegh[N][Abs][3DuPoss][SgPosd]	siivanlleghak
siivanllegh[N][Abs][3PlPoss][DuPosd]	siivanlleghegket
siivanllegh[N][Abs][3PlPoss][PlPosd]	siivanlleghit
siivanllegh[N][Abs][3PlPoss][SgPosd]	siivanlleghat
siivanllegh[N][Abs][3SgPoss][DuPosd]	siivanlleghqek
siivanllegh[N][Abs][3SgPoss][PlPosd]	siivanlleghi
siivanllegh[N][Abs][3SgPoss][SgPosd]	siivanllegha
sikugh*[N][Abs][3DuPoss][DuPosd]	sikuugkek
sikugh*[N][Abs][3DuPoss][PlPosd]	sikwiik
sikugh*[N][Abs][3DuPoss][SgPosd]	sikwaak
sikugh*[N][Abs][3PlPoss][DuPosd]	sikuugket
sikugh*[N][Abs][3PlPoss][PlPosd]	sikwiit
sikugh*[N][Abs][3PlPoss][SgPosd]	sikwaat
sikugh*[N][Abs][3SgPoss][DuPosd]	sikughqek
sikugh*[N][Abs][3SgPoss][PlPosd]	sikwii
sikugh*[N][Abs][3SgPoss][SgPosd]	sikwaa
siqinegh[N][Abs][3DuPoss][DuPosd]	siqinghegkek
siqinegh[N][Abs][3DuPoss][PlPosd]	siqinghik
siqinegh[N][Abs][3DuPoss][SgPosd]	siqinghak
siqinegh[N][Abs][3PlPoss][DuPosd]	siqinghegket
siqinegh[N][Abs][3PlPoss][PlPosd]	siqinghit
siqinegh[N][Abs][3PlPoss][SgPosd]	siqinghat
siqinegh[N][Abs][3SgPoss][DuPosd]	siqineghqek
siqinegh[N][Abs][3SgPoss][PlPosd]	siqinghi
siqinegh[N][Abs][3SgPoss][SgPosd]	siqingha
tanqigh[N][Abs][3DuPoss][DuPosd]	tanqigkek
tanqigh[N][Abs][3DuPoss][PlPosd]	tanqiik
tanqigh[N][Abs][3DuPoss][SgPosd]	tanqiik
tanqigh[N][Abs][3PlPoss][DuPosd]	tanqigket
tanqigh[N][Abs][3PlPoss][PlPosd]	tanqiit
tanqigh[N][Abs][3PlPoss][SgPosd]	tanqiit
tanqigh[N][Abs][3SgPoss][DuPosd]	tanqikek
tanqigh[N][Abs][3SgPoss][PlPosd]	tanqii
tanqigh[N][Abs][3SgPoss][SgPosd]	tanqii
teghikusagh[N][Abs][3DuPoss][DuPosd]	teghikusagkek
teghikusagh[N][Abs][3DuPoss][PlPosd]	teghikusiik
teghikusagh[N][Abs][3DuPoss][SgPosd]	teghikusaak
teghikusagh[N][Abs][3PlPoss][DuPosd]	teghikusagket
teghikusagh[N][Abs][3PlPoss][PlPosd]	teghikusiit
teghikusagh[N][Abs][3PlPoss][SgPosd]	teghikusaat
teghikusagh[N][Abs][3SgPoss][DuPosd]	teghikusakek
teghikusagh[N][Abs][3SgPoss][PlPosd]	teghikusii
teghikusagh[N][Abs][3SgPoss][SgPosd]	teghikusaa
tengegkayug[N][Abs][3DuPoss][DuPosd]	tengegkayugegkek
tengegkayug[N][Abs][3DuPoss][PlPosd]	tengegkayugik
tengegkayug[N][Abs][3DuPoss][SgPosd]	tengegkayugak
tengegkayug[N][Abs][3PlPoss][DuPosd]	tengegkayugegket
tengegkayug[N][Abs][3PlPoss][PlPosd]	tengegkayugit
tengegkayug[N][Abs][3PlPoss][SgPosd]	tengegkayugat
tengegkayug[N][Abs][3SgPoss][DuPosd]	tengegkayugkek
tengegkayug[N][Abs][3SgPoss][PlPosd]	tengegkayugi
tengegkayug[N][Abs][3SgPoss][SgPosd]	tengegkayuga
tukugh*[N][Abs][3DuPoss][DuPosd]	tukuugkek
tukugh*[N][Abs][3DuPoss][PlPosd]	tukiik
tukugh*[N][Abs][3DuPoss][SgPosd]	tukaak
tukugh*[N][Abs][3PlPoss][DuPosd]	tukuugket
tukugh*[N][Abs][3PlPoss][PlPosd]	tukiit
tukugh*[N][Abs][3PlPoss][SgPosd]	tukaat
tukugh*[N][Abs][3SgPoss][DuPosd]	tukughqek
tukugh*[N][Abs][3SgPoss][PlPosd]	tukii
tukugh*[N][Abs][3SgPoss][SgPosd]	tukaa
ulaagh[N][Abs][3DuPoss][DuPosd]	ulaaghegkek
ulaagh[N][Abs][3DuPoss][PlPosd]	ulaaghik
ulaagh[N][Abs][3DuPoss][SgPosd]	ulaaghak
ulaagh[N][Abs][3PlPoss][DuPosd]	ulaaghegket
ulaagh[N][Abs][3PlPoss][PlPosd]	ulaaghit
ulaagh[N][Abs][3PlPoss][SgPosd]	ulaaghat
ulaagh[N][Abs][3SgPoss][DuPosd]	ulaaghqek
ulaagh[N][Abs][3SgPoss][PlPosd]	ulaaghi
ulaagh[N][Abs][3SgPoss][SgPosd]	ulaagha
ungipaghagh[N][Abs][3DuPoss][DuPosd]	ungipaghagkek
ungipaghagh[N][Abs][3DuPoss][PlPosd]	ungipaghiik
ungipaghagh[N][Abs][3DuPoss][SgPosd]	ungipaghaak
ungipaghagh[N][Abs][3PlPoss][DuPosd]	ungipaghagket
ungipaghagh[N][Abs][3PlPoss][PlPosd]	ungipaghiit
ungipaghagh[N][Abs][3PlPoss][SgPosd]	ungipaghaat
ungipaghagh[N][Abs][3SgPoss][DuPosd]	ungipaghakek
ungipaghagh[N][Abs][3SgPoss][PlPosd]	ungipaghii
ungipaghagh[N][Abs][3SgPoss][SgPosd]	ungipaghaa
uqugh[N][Abs][3DuPoss][DuPosd]	uqugkek
uqugh[N][Abs][3DuPoss][PlPosd]	uqiik
uqugh[N][Abs][3DuPoss][SgPosd]	uqaak
uqugh[N][Abs][3PlPoss][DuPosd]	uqugket
uqugh[N][Abs][3PlPoss][PlPosd]	uqiit
uqugh[N][Abs][3PlPoss][SgPosd]	uqaat
uqugh[N][Abs][3SgPoss][DuPosd]	uqukek
uqugh[N][Abs][3SgPoss][PlPosd]	uqii
uqugh[N][Abs][3SgPoss][SgPosd]	uqaa
uyaqugh[N][Abs][3DuPoss][DuPosd]	uyaqugkek
uyaqugh[N][Abs][3DuPoss][PlPosd]	uyaqwiik
uyaqugh[N][Abs][3DuPoss][SgPosd]	uyaqwaak
uyaqugh[N][Abs][3PlPoss][DuPosd]	uyaqugket
uyaqugh[N][Abs][3PlPoss][PlPosd]	uyaqwiit
uyaqugh[N][Abs][3PlPoss][SgPosd]	uyaqwaat
uyaqugh[N][Abs][3SgPoss][DuPosd]	uyaqukek
uyaqugh[N][Abs][3SgPoss][PlPosd]	uyaqwii
uyaqugh[N][Abs][3SgPoss][SgPosd]	uyaqwaa
waape[N][Abs][3DuPoss][DuPosd]	waapegkek
waape[N][Abs][3DuPoss][PlPosd]	waapengik
waape[N][Abs][3DuPoss][SgPosd]	waapengak
waape[N][Abs][3PlPoss][DuPosd]	waapegket
waape[N][Abs][3PlPoss][PlPosd]	waapengit
waape[N][Abs][3PlPoss][SgPosd]	waapengat
waape[N][Abs][3SgPoss][DuPosd]	waapkek
waape[N][Abs][3SgPoss][PlPosd]	waapengi
waape[N][Abs][3SgPoss][SgPosd]	waapenga
walguyaag[N][Abs][3DuPoss][DuPosd]	walguyaagegkek
walguyaag[N][Abs][3DuPoss][PlPosd]	walguyaagik
walguyaag[N][Abs][3DuPoss][SgPosd]	walguyaagak
walguyaag[N][Abs][3PlPoss][DuPosd]	walguyaagegket
walguyaag[N][Abs][3PlPoss][PlPosd]	walguyaagit
walguyaag[N][Abs][3PlPoss][SgPosd]	walguyaagat
walguyaag[N][Abs][3SgPoss][DuPosd]	walguyaagkek
walguyaag[N][Abs][3SgPoss][PlPosd]	walguyaagi
walguyaag[N][Abs][3SgPoss][SgPosd]	walguyaaga
yughaghte[N][Abs][3DuPoss][DuPosd]	yughaghtegkek
yughaghte[N][Abs][3DuPoss][PlPosd]	yughaghtengik
yughaghte[N][Abs][3DuPoss][SgPosd]	yughaghtengak
yughaghte[N][Abs][3PlPoss][DuPosd]	yughaghtegket
yughaghte[N][Abs][3PlPoss][PlPosd]	yughaghtengit
yughaghte[N][Abs][3PlPoss][SgPosd]	yughaghtengat
yughaghte[N][Abs][3SgPoss][DuPosd]	yughaghtekek
yughaghte[N][Abs][3SgPoss][PlPosd]	yughaghtengi
yughaghte[N][Abs][3SgPoss][SgPosd]	yughaghtenga
