aane-~f–laghate[V→V][V][Intr][Ind][3Pl]	aanlaghatut
panig-–lgu[N→V][V][Intr][Intrg][2Sg]	panilguziin
panig-–lgu[N→V][V][Intr][Intrg][2Sg]	panilguzin
pi-@₁laataqu[V→V][V][Intr][Ind][3Sg]	pilaataquuq
pi-–liite[N→V][V][Trns][Ind][1Sg][3Sg]	piliitaqa
pi-–lleg[V→N][N][Abs][Unpd][Sg]	pillek
pi-–llgite[V→V][V][Intr][Ind][3Sg]	pillgituq
piyug-@₁lugh[V→V][V][Intr][Ind][3Sg]	piyuglughtuq
qavagh-@₁laataqu[V→V][V][Intr][Ind][3Sg]	qavaghlaataquuq
qavagh-@₁–lghii[V→N][N][Abs][Unpd][Pl]	qavalghiit
qavagh-–llghite[V→V][V][Intr][Ind][3Sg]	qavallghituq
qavagh-–llgilliqe[V→V][V][Intr][Ind][1Sg]	qavallgilliqunga
qavagh-lliqe[V→V][V][Intr][Ind][3Sg]	qavaghlliquq
qaye-–ligh[N→V][V][Trns][Ind][3Sg][3Sg]	qayelighaa
qepghagh-–lgutke[V→V][V][Trns][Ind][3Sg][3Sg]	qepghalgutkaa
qikmigh-–leg[N→N][N][Abs][Unpd][Sg]	qikmilek
qikmigh-–lgigh[N→V][V][Intr][Ind][3Sg]	qikmilgightuq
qikmigh-–lug[N→N][N][Abs][Unpd][Sg]	qikmiluk
qiya-@₁–lghii[V→N][N][Abs][Unpd][Sg]	qiyalghii
qiya-–lgusigh[V→V][V][Trns][Ind][3Sg][3Sg]	qiyalgusighaa
savig-–llgagh[N→N][N][Abs][Unpd][Sg]	savillgaq
sikugh*-–ligh[N→V][V][Trns][Ind][3Sg][3Sg]	sikulighaa
taake-–lleghpigagh[V→N][N][Abs][Unpd][Sg]	taakelleghpigaq
taghnughhagh*-–lghun[N→N][N][Abs][Unpd][Sg]	taghnughhalghun
taghyugh-–lipag[N→V][V][Trns][Ind][3Sg][3Sg]	taghyulipagaa
tagi-~f–laghate[V→V][V][Intr][Ind][3Pl]	tagilaghatut
tugu-–llegh[V→N][N][Abs][3SgPoss][SgPosd]	tugullgha
tukegh-–lleghqagh[V→N][N][Abs][3PlPoss][PlPosd]	tukelleghqiit
tungtu-–linghagh*[N→N][N][Abs][Unpd][Sg]	tungtulinghaq
ukazigh-–lghun[N→N][N][Abs][Unpd][Sg]	ukazilghun
umyugagh-–leg[N→N][N][Abs][Unpd][Sg]	umyugalek
umyugagh-lliqe[N→V][V][Intr][Ind][3Sg]	umyugaghlliquq
uukna-–liqe[N→V][V][Intr][Ind][3Sg]	uuknaliquq
uyaqugh-–lliqe[N→V][V][Intr][Ind][3Sg]	uyaqulliquq
yu(u)g-–linghagh*[N→N][N][Abs][Unpd][Sg]	yulinghaq
yu(u)g-–lluggagh[N→N][N][Abs][Unpd][Sg]	yulluggaq
yu(u)g-–llug[N→N][N][Abs][Unpd][Sg]	yulluk
