aakagh*[N][Equ][1SgPoss][SgPosd]	aakamtun
egllu[N][Via][1SgPoss][SgPosd]	egllumkun
egllu[N][Via][2SgPoss][SgPosd]	egllugpekun
egllu[N][Via][3SgPoss][SgPosd]	egllungakun
ighnegh[N][Equ][1SgPoss][SgPosd]	ighnemtun
ighnegh[N][Equ][2SgPoss][SgPosd]	ighneghpetun
ighnegh[N][Equ][3SgPoss][SgPosd]	ighneghatun
ighnegh[N][Loc][1SgPoss][SgPosd]	ighnemni
ighnegh[N][Loc][2SgPoss][SgPosd]	ighneghpeni
ighnegh[N][Loc][3SgPoss][SgPosd]	ighneghani
ighnegh[N][Ter][1SgPoss][SgPosd]	ighnemnun
ighnegh[N][Ter][2SgPoss][SgPosd]	ighneghpenun
ighnegh[N][Ter][3SgPoss][SgPosd]	ighneghanun
ighnegh[N][Via][1SgPoss][SgPosd]	ighnemkun
ighnegh[N][Via][2SgPoss][SgPosd]	ighneghpekun
ighnegh[N][Via][3SgPoss][SgPosd]	ighneghakun
kemekrag[N][Equ][1SgPoss][SgPosd]	kemekramtun
kemekrag[N][Equ][2SgPoss][SgPosd]	kemekragpetun
kemekrag[N][Equ][3SgPoss][SgPosd]	kemekragatun
kemekrag[N][Loc][1SgPoss][SgPosd]	kemekramni
kemekrag[N][Loc][2SgPoss][SgPosd]	kemekragpeni
kemekrag[N][Loc][3SgPoss][SgPosd]	kemekragani
kemekrag[N][Ter][1SgPoss][SgPosd]	kemekramnun
kemekrag[N][Ter][2SgPoss][SgPosd]	kemekragpenun
kemekrag[N][Ter][3SgPoss][SgPosd]	kemekraganun
kemekrag[N][Via][1SgPoss][SgPosd]	kemekramkun
kemekrag[N][Via][2SgPoss][SgPosd]	kemekragpekun
kemekrag[N][Via][3SgPoss][SgPosd]	kemekragakun
qergese[N][Equ][1SgPoss][SgPosd]	qergesemtun
qergese[N][Equ][2SgPoss][SgPosd]	qergesegpetun
qergese[N][Equ][3SgPoss][SgPosd]	qergesngatun
qergese[N][Loc][1SgPoss][SgPosd]	qergesemni
qergese[N][Loc][2SgPoss][SgPosd]	qergesegpeni
qergese[N][Loc][3SgPoss][SgPosd]	qergesngani
qergese[N][Ter][1SgPoss][SgPosd]	qergesemnun
qergese[N][Ter][2SgPoss][SgPosd]	qergesegpenun
qergese[N][Ter][3SgPoss][SgPosd]	qergesnganun
qergese[N][Via][1SgPoss][SgPosd]	qergesemkun
qergese[N][Via][2SgPoss][SgPosd]	qergesegpekun
qergese[N][Via][3SgPoss][SgPosd]	qergesngakun
qikmigh[N][Equ][1SgPoss][SgPosd]	qikmimtun
qikmigh[N][Equ][2SgPoss][SgPosd]	qikmighpetun
qikmigh[N][Equ][3SgPoss][SgPosd]	qikmiitun
qikmigh[N][Loc][1SgPoss][SgPosd]	qikmimni
qikmigh[N][Loc][2SgPoss][SgPosd]	qikmighpeni
qikmigh[N][Loc][3SgPoss][SgPosd]	qikmiini
qikmigh[N][Ter][1SgPoss][SgPosd]	qikmimnun
qikmigh[N][Ter][2SgPoss][SgPosd]	qikmighpenun
qikmigh[N][Ter][3SgPoss][SgPosd]	qikmiinun
qikmigh[N][Via][1SgPoss][SgPosd]	qikmimkun
qikmigh[N][Via][2SgPoss][SgPosd]	qikmighpekun
qikmigh[N][Via][3SgPoss][SgPosd]	qikmiikun
