aane[V][Intr][Ind][1Du]	aanukung
aqii[V][Intr][Ind][1Pl]	aqiigukut
aqii[V][Intr][Ind][1Sg]	aqiigunga
aqii[V][Intr][Ind][2Du]	aqiigutek
aqii[V][Intr][Ind][2Pl]	aqiigusi
aqii[V][Intr][Ind][2Sg]	aqiiguten
aqii[V][Intr][Ind][3Du]	aqiiguk
aqii[V][Intr][Ind][3Pl]	aqiigut
aqii[V][Intr][Ind][3Sg]	aqiiguq
esghaate[V][Intr][Ind][1Du]	esghaatukung
esghaate[V][Intr][Ind][1Pl]	esghaatukut
esghaate[V][Intr][Ind][1Sg]	esghaatunga
esghaate[V][Intr][Ind][2Du]	esghaatutek
esghaate[V][Intr][Ind][2Pl]	esghaatusi
esghaate[V][Intr][Ind][2Sg]	esghaatuten
esghaate[V][Intr][Ind][3Du]	esghaatuk
esghaate[V][Intr][Ind][3Pl]	esghaatut
esghaate[V][Intr][Ind][3Sg]	esghaatuq
esleqe[V][Intr][Ind][1Du]	eslequkung
esleqe[V][Intr][Ind][1Pl]	eslequkut
esleqe[V][Intr][Ind][1Sg]	eslequnga
esleqe[V][Intr][Ind][2Du]	eslequtek
esleqe[V][Intr][Ind][2Pl]	eslequsi
esleqe[V][Intr][Ind][2Sg]	eslequten
esleqe[V][Intr][Ind][3Du]	eslequk
esleqe[V][Intr][Ind][3Pl]	eslequt
esleqe[V][Intr][Ind][3Sg]	eslequq
gaagh[V][Intr][Ind][1Du]	gaaghtukung
gaagh[V][Intr][Ind][1Pl]	gaaghtukut
gaagh[V][Intr][Ind][1Sg]	gaaghtunga
gaagh[V][Intr][Ind][2Du]	gaaghtutek
gaagh[V][Intr][Ind][2Pl]	gaaghtusi
gaagh[V][Intr][Ind][2Sg]	gaaghtuten
gaagh[V][Intr][Ind][3Du]	gaaghtuk
gaagh[V][Intr][Ind][3Pl]	gaaghtut
gaagh[V][Intr][Ind][3Sg]	gaaghtuq
ifla[V][Intr][Ind][1Du]	iflaakung
ifla[V][Intr][Ind][1Pl]	iflaakut
ifla[V][Intr][Ind][1Sg]	iflaanga
ifla[V][Intr][Ind][2Du]	iflaatek
ifla[V][Intr][Ind][2Pl]	iflaasi
ifla[V][Intr][Ind][2Sg]	iflaaten
ifla[V][Intr][Ind][3Du]	iflaak
ifla[V][Intr][Ind][3Pl]	iflaat
ifla[V][Intr][Ind][3Sg]	iflaaq
ingaghte[V][Intr][Ind][1Du]	ingaghtukung
ingaghte[V][Intr][Ind][1Pl]	ingaghtukut
ingaghte[V][Intr][Ind][1Sg]	ingaghtunga
ingaghte[V][Intr][Ind][2Du]	ingaghtutek
ingaghte[V][Intr][Ind][2Pl]	ingaghtusi
ingaghte[V][Intr][Ind][2Sg]	ingaghtuten
ingaghte[V][Intr][Ind][3Du]	ingaghtuk
ingaghte[V][Intr][Ind][3Pl]	ingaghtut
ingaghte[V][Intr][Ind][3Sg]	ingaghtuq
inghu[V][Intr][Ind][1Du]	inghuukung
inghu[V][Intr][Ind][1Pl]	inghuukut
inghu[V][Intr][Ind][1Sg]	inghuunga
inghu[V][Intr][Ind][2Du]	inghuutek
inghu[V][Intr][Ind][2Pl]	inghuusi
inghu[V][Intr][Ind][2Sg]	inghuuten
inghu[V][Intr][Ind][3Du]	inghuuk
inghu[V][Intr][Ind][3Pl]	inghuut
inghu[V][Intr][Ind][3Sg]	inghuuq
itegh[V][Intr][Ind][1Du]	iteghtukung
itegh[V][Intr][Ind][1Pl]	iteghtukut
itegh[V][Intr][Ind][1Sg]	iteghtunga
itegh[V][Intr][Ind][2Du]	iteghtutek
itegh[V][Intr][Ind][2Pl]	iteghtusi
itegh[V][Intr][Ind][2Sg]	iteghtuten
itegh[V][Intr][Ind][3Du]	iteghtuk
itegh[V][Intr][Ind][3Pl]	iteghtut
itegh[V][Intr][Ind][3Sg]	iteghtuq
kaate[V][Intr][Ind][1Du]	kaatukung
kaate[V][Intr][Ind][1Pl]	kaatukut
kaate[V][Intr][Ind][1Sg]	kaatunga
kaate[V][Intr][Ind][2Du]	kaatutek
kaate[V][Intr][Ind][2Pl]	kaatusi
kaate[V][Intr][Ind][2Sg]	kaatuten
kaate[V][Intr][Ind][3Du]	kaatuk
kaate[V][Intr][Ind][3Pl]	kaatut
kaate[V][Intr][Ind][3Sg]	kaatuq
kuuve[V][Intr][Ind][1Du]	kuuvukung
kuuve[V][Intr][Ind][1Pl]	kuuvukut
kuuve[V][Intr][Ind][1Sg]	kuuvunga
kuuve[V][Intr][Ind][2Du]	kuuvutek
kuuve[V][Intr][Ind][2Pl]	kuuvusi
kuuve[V][Intr][Ind][2Sg]	kuuvuten
kuuve[V][Intr][Ind][3Du]	kuuvuk
kuuve[V][Intr][Ind][3Pl]	kuuvut
kuuve[V][Intr][Ind][3Sg]	kuuvuq
megh[V][Intr][Ind][1Du]	meghtukung
megh[V][Intr][Ind][1Pl]	meghtukut
megh[V][Intr][Ind][1Sg]	meghtunga
megh[V][Intr][Ind][2Du]	meghtutek
megh[V][Intr][Ind][2Pl]	meghtusi
megh[V][Intr][Ind][2Sg]	meghtuten
megh[V][Intr][Ind][3Du]	meghtuk
megh[V][Intr][Ind][3Pl]	meghtut
megh[V][Intr][Ind][3Sg]	meghtuq
nagate[V][Intr][Ind][1Du]	nagatukung
nagate[V][Intr][Ind][1Pl]	nagatukut
nagate[V][Intr][Ind][1Sg]	nagatunga
nagate[V][Intr][Ind][2Du]	nagatutek
nagate[V][Intr][Ind][2Pl]	nagatusi
nagate[V][Intr][Ind][2Sg]	nagatuten
nagate[V][Intr][Ind][3Du]	nagatuk
nagate[V][Intr][Ind][3Pl]	nagatut
nagate[V][Intr][Ind][3Sg]	nagatuq
negh[V][Intr][Ind][1Du]	neghtukung
negh[V][Intr][Ind][1Pl]	neghtukut
negh[V][Intr][Ind][1Sg]	neghtunga
negh[V][Intr][Ind][2Du]	neghtutek
negh[V][Intr][Ind][2Pl]	neghtusi
negh[V][Intr][Ind][2Sg]	neghtuten
negh[V][Intr][Ind][3Du]	neghtuk
negh[V][Intr][Ind][3Pl]	neghtut
negh[V][Intr][Ind][3Sg]	neghtuq
nenglagh[V][Intr][Ind][1Du]	nenglaghtukung
nenglagh[V][Intr][Ind][1Pl]	nenglaghtukut
nenglagh[V][Intr][Ind][1Sg]	nenglaghtunga
nenglagh[V][Intr][Ind][2Du]	nenglaghtutek
nenglagh[V][Intr][Ind][2Pl]	nenglaghtusi
nenglagh[V][Intr][Ind][2Sg]	nenglaghtuten
nenglagh[V][Intr][Ind][3Du]	nenglaghtuk
nenglagh[V][Intr][Ind][3Pl]	nenglaghtut
nenglagh[V][Intr][Ind][3Sg]	nenglaghtuq
pinigh[V][Intr][Ind][1Du]	pinightukung
pinigh[V][Intr][Ind][1Pl]	pinightukut
pinigh[V][Intr][Ind][1Sg]	pinightunga
pinigh[V][Intr][Ind][2Du]	pinightutek
pinigh[V][Intr][Ind][2Pl]	pinightusi
pinigh[V][Intr][Ind][2Sg]	pinightuten
pinigh[V][Intr][Ind][3Du]	pinightuk
pinigh[V][Intr][Ind][3Pl]	pinightut
pinigh[V][Intr][Ind][3Sg]	pinightuq
qavagh[V][Intr][Ind][1Du]	qavaghtukung
qavagh[V][Intr][Ind][1Pl]	qavaghtukut
qavagh[V][Intr][Ind][1Sg]	qavaghtunga
qavagh[V][Intr][Ind][2Du]	qavaghtutek
qavagh[V][Intr][Ind][2Pl]	qavaghtusi
qavagh[V][Intr][Ind][2Sg]	qavaghtuten
qavagh[V][Intr][Ind][3Du]	qavaghtuk
qavagh[V][Intr][Ind][3Pl]	qavaghtut
qavagh[V][Intr][Ind][3Sg]	qavaghtuq
qiighw[V][Intr][Ind][1Du]	qiighwtukung
qiighw[V][Intr][Ind][1Pl]	qiighwtukut
qiighw[V][Intr][Ind][1Sg]	qiighwtunga
qiighw[V][Intr][Ind][2Du]	qiighwtutek
qiighw[V][Intr][Ind][2Pl]	qiighwtusi
qiighw[V][Intr][Ind][2Sg]	qiighwtuten
qiighw[V][Intr][Ind][3Du]	qiighwtuk
qiighw[V][Intr][Ind][3Pl]	qiighwtut
qiighw[V][Intr][Ind][3Sg]	qiighwtuq
qiya[V][Intr][Ind][1Du]	qiyaakung
qiya[V][Intr][Ind][1Pl]	qiyaakut
qiya[V][Intr][Ind][1Sg]	qiyaanga
qiya[V][Intr][Ind][2Du]	qiyaatek
qiya[V][Intr][Ind][2Pl]	qiyaasi
qiya[V][Intr][Ind][2Sg]	qiyaaten
qiya[V][Intr][Ind][3Du]	qiyaak
qiya[V][Intr][Ind][3Pl]	qiyaat
qiya[V][Intr][Ind][3Sg]	qiyaaq
taake[V][Intr][Ind][1Du]	taakukung
taake[V][Intr][Ind][1Pl]	taakukut
taake[V][Intr][Ind][1Sg]	taakunga
taake[V][Intr][Ind][2Du]	taakutek
taake[V][Intr][Ind][2Pl]	taakusi
taake[V][Intr][Ind][2Sg]	taakuten
taake[V][Intr][Ind][3Du]	taakuk
taake[V][Intr][Ind][3Pl]	taakut
taake[V][Intr][Ind][3Sg]	taakuq
tagi[V][Intr][Ind][1Du]	tagiikung
tagi[V][Intr][Ind][1Pl]	tagiikut
tagi[V][Intr][Ind][1Sg]	tagiinga
tagi[V][Intr][Ind][2Du]	tagiitek
tagi[V][Intr][Ind][2Pl]	tagiisi
tagi[V][Intr][Ind][2Sg]	tagiiten
tagi[V][Intr][Ind][3Du]	tagiik
tagi[V][Intr][Ind][3Pl]	tagiit
tagi[V][Intr][Ind][3Sg]	tagiiq
tuqu[V][Intr][Ind][1Du]	tuquukung
tuqu[V][Intr][Ind][1Pl]	tuquukut
tuqu[V][Intr][Ind][1Sg]	tuquunga
tuqu[V][Intr][Ind][2Du]	tuquutek
tuqu[V][Intr][Ind][2Pl]	tuquusi
tuqu[V][Intr][Ind][2Sg]	tuquuten
tuqu[V][Intr][Ind][3Du]	tuquuk
tuqu[V][Intr][Ind][3Pl]	tuquut
tuqu[V][Intr][Ind][3Sg]	tuquuq
