aafkagh-,to burst
aavgugh-,to cut up thoroughly
aawhkagh-,for spring to come
aawhtuqe-,to bleed
aawhtu-,to be bloody
aawiite-,to lose blood
aawite-,to be bloodless
aaw-,to bleed; to menstruate
aaykagh-,to gamble
aflaaghaghte-,to interrupt
aflengake-,to take care of (valued possession or person); to keep
aflenga-,to be thrifty; to take good care of one's things
aflute-,to feel sorry for; to sympathize with
afsengaghqe-,for there to be the squeaking sound of a mouse
afta-,to cut up game; to butcher game; to have surgery (additional Chukotkan meaning)
agaghtiiraagh-,to hang; to be hanging
agalghu-,to stagger
agangsitagh-,to stay away
agenriqe-,to think carefully about something
agepsugh-,to be smoky
agesngughte-,to kill instantly (especally by hitting on bridge of nose); to knock out (?)
agghi-,to confer; to decide
agghiyugniqe-,to be spoiled; to be obstinate
aghaligh-,to treat with medicine; to medicate; to put on an amulet
aghelqute-,to move a little (of something heavy and/or tight); to budge
aghhmagte-,to take all; to use all
aghinqagh-,to wet
aghipate-,to be wet; to be raw
aghipsaate-,to be partly wet; to be partially raw
aghisigh-,to soak
aghitqe-,to get very wet
aghiva-,to quarrel (of women); to bawl out (by women)
aghi-,to be wet
aghmig-,to wash one's face
aghnaaghte-,to have one's first menses
aghnaghniite-,to be ugly (a girl)
aghnaghpallaghte-,to become an older woman
aghnagh-,to wear a dress
aghnangllagh-,to make a dress; to ask to marry (of an older man asking a woman on behalf of a younger man)
aghnapesqighte-,to sit (in woman's traditional style)
aghnaqemsighte-,to sit (in woman's traditional style)
aghnaqe-,to be proud in a way appropriate for a woman
aghneghsaghtugh-,to go to spend the day
aghneghte-,to spend the day
aghneghtughte-,for the days to get longer
aghni-,to spend one or more days; to stay an extra day while travelling (usually, in order to rest)
aghpugte-,to rise (of dough  or the like); to swell
aghpumla-,to go through deep snow
aghqella-,to fish with seine
aghqelli-,to lower; to make lower; to become shallow
aghqeme-,to crumble; to shatter; to become envious
aghqengwaagh-,to make a sacrifice
aghqetghagh-,to crust over (of snow); to travel on crusted snow; to freeze over (of surface of snow)
aghqe-,to make an offering of food for the deceased
aghqiiwhtagh-,to make a crunching sound
aghqutite-,to make sacrifices
aghquugte-,to be pale from illness
aghquutke-,to cause disaster or hardship
aghquvlug-,to make a depressionor dent; to hollow out
aghsaghmete-,to be good weather; to favor; to pay particular attention (good or bad) toward (him)
aghsaghtaghwaagh-,to give up or quit from malice or out of vexation
aghsaghte-,to overdo; to behave in an excessive way; to annoy
aghsugh-,to be or become pale; to be or become bleached
aghsug-,to put (a baby) down to sleep
aghtaghagh-,to become light
aghteqeregagh-,to snack on roots or greens with blubber and raw meat
aghte-,to dawn; for day to break
aghtugh-,to be unable to manage, bear, withstand or accomplish
aghulaghqugh-,to go to gather edible greens
aghulaghwaagh-,to fly, flutter, or sway
aghulaqe-,to leave
aghulate-,to shake
aghula-,to dance Eskimo-style; to shake (as to wake up a person); to move back and forth (as of something hanging)
aghuliigh-,to stop moving
aghuqe-,to distribute shares of a catch; to distribute gifts
aghu-,to rot; to (over)ripen; to decompose
aghvenge-,to catch whale
aghveqaghtagh-,to hunt with bolas
aghveqe-,to harpoon (a whale); to strike (a whale); to have shingles, the disease – Herpes zoster
aghveqi-,to strike a whale
aghvequte-,to fall forward hard; to plunge to the ground from a height
aghveyugagh-,to be semicircular
aghvigh-,to go across; to cross over; to leave St. Lawrence Island for Chukotka
aghvig-,to wash clothes
aghyanegh-,to hurry; to get ready fast; to rush
aghyanghute-,to rush around
aghyaniqe-,to rush around
aghyughsigh-,to age food as a means of storage and/or preparation
aghyugh-,to get old; to age
aghyuqe-,to be homesick; to be tired of (it/him)
aghyuugh-,to scold; to spank
aghyuuniigh-,to scold someone
aghyuutagh-,to be strict
agigpughagh-,to peek in; to look down from the top 
agigte-,to peek over; to look around from a vantage point; to go to a high point 
agitagha-,to yawn
agivike-,to take one's share of the catch to one's inlaws when one is a newlywed man
aglagh-,to go home; to go from one place to another
agleghnagh-,to be sacred
agleghu-,to follow traditional abstinence practices
aglug-,to rummage
aglungqaghtagh-,to have chattering teeth
agnigha-,to be undecided; to hesitate
agniigh-,to flow steadily
agniqe-,to be mad, angry  or furious (of a woman)
agtugh-,to touch lightly; to come into contact; to contact
agughpagtagh-,to warp; to become crooked
agvate-,to return to one's upbringing (?)
agzighte-,to stubbornly and sullenly delay in doing what one has been told to do; to be unresponsive when someone tries to awaken one
akagte-,to clean; to scrape clean (skins and the like)
akamkegsagh-,to make (it) round
akeqe-,to promise
akeqsagte-,to threaten
akfigh-,to attach a strap to a bag to use over the shoulder
akigh-,to support; to brace; to prop up
akiingqwaghte-,to echo
akike-,to sell; to trade (exchange)
akikugh-,to sell
akileghtugh-,to pay; to reward
akilghuugh-,to yell; to scream; to use a loud voice
akilghuu-,to yell; to scream; to use a loud voice
akilguqe-,to price high; to put a high price on something
akilpegagh-,to shop; to engage in trading
akimsuggiite-,to be very cheap
akingite-,to be cheap; to be free; to be inexpensive
akiniigh-,to raise objections; to sass; to retaliate
akiqagh-,to fend off (as with the hands) something that is coming at one
akiqu-,to sass back
akisqaghte-,to shine light; to flash light; to reflect light
akite-,to reciprocate; to respond; to answer; to take revenge
akitukneghu-,to be stubborn
akitutaligh-,to estimate cost or value
akitu-,to be expensive 
aki-,to reciprocate; to retaliate
akivigte-,to prop up skin boat on its side
akluma-,to be poor
aklunagh-,to be rare; to be scarce
aklunghighi-,to become rich; to become wealthy
aklungite-,to be rich, wealthy
aklu-,to be in need; to lack something
akmag-,to backpack; to carry on one's back
aksaqe-,to keep a secret; to hide something
aksigu-,to adjust the wick and flame in a seal oil lamp
aksig-,to paddle with an oar outward from the boat so as to make it turn
akughaghqagh-,to pick roots
akughte-,to apply water; to mix seal oil and blood; to dilute; to soak
akughtugh-,to stretch one's hands or arms to reach; to reach out
akughtu-,to be long or too long (of garments); to have long roots
akuliite-,to position or place in the midst; to infiltrate; to mix in
akullghute-,to mix or become mixed into a crowd or mass
akullute-,to jumble things; to mix things up
akulpeghte-,to add something in the middle
akultughte-,to become farther apart, less frequent, or less crowded
akultu-,to be far apart; to be widely spaced
akume-,to put sugar or other things in; to add extra ingredients
akumighaghtagh-,to interrupt other's talking
akuqagh-,to grab; catch; to accept a decision or an offer quickly
akusqaghte-,to spread a rumor or news before it becomes certain
akuuraate-,to be there when something happens; to arrive on time; to be in the right place at the right time
akuuragh-,to be at the same place or same time
akuute-,to mix; to knead
akuzilqusiigh-,to make sharp remarks
akuzimleghagh-,to whisper
akuzipig-,to speak Yupik
akuzite-,to advise; to urge; to try to persuade
akuzi-,to speak
akuziviighqe-,to scold without good reason
akwaangigh-,to increase in volume or number or frequency
alaaqitke-,to get something and then lose it right away
alaghuutaghte-,to have a premonition; to expect something to happen
alamsa-,to want to eat more
alaqitke-,to lose game right after catching it
aleghqugh-,to speak to someone; to advise
aleghquma-,to stay with a companion; to keep company
aleghqumseghagh-,to whisper; to joke; to tease; to speak lightly (in any sense)
aleghqumsug-,to chat; to gossip
aleghquute-,to talk together; to converse
aleveghte-,to want more
alevegh-,to want more food
alghapaghagh-,to walk side by side with (him)
alghapagti-,to walk side by side
alghigh-,to repeat; to do for a second time; to accompany
algumake-,to covet
alguma-,to covet something; to want more (food or the like)
aliftugh-,to miscarry
aligake-,to long to go to
aligate-,to strongly wish to go
aliga-,to long to go somewhere or to see someone
aligavike-,to long to go to
alignaghtaagh-,to perform supernatural acts through shamanism
alignaghtagh-,to have shamanistic powers
alignagh-,to have shamanistic power; to be a shaman
aliighagh-,to keep one's hands inside his parka sleeves
aliighte-,to reveal; to show; to bring into view
aliigh-,to appear; for weather to clear up
aliiqaqu-,to be intermittently visible or audible; for weather to be intermittently clear
aliisigate-,to be invisible; to be inaudible
aliite-,to be visible; to be audible
alike-,to be afraid of (him/it); to fear
alingengite-,to be fearless
alinge-,to be afraid; be scared
alingnagh-,to be frightening; to be intimidating
alingruugh-,to be terrified; to panic
alingseghagh-,to try to scare; to purposely frighten
alingsequ-,to make a threatening gesture
alingtagh-,to be cowardly; to be habitually fearful; to be unduly cautious
alingughagh-,to wince; to flinch
alingughyug-,to cower; to be timid
alingutke-,to be concerned about; to worry about
alingyug-,to be fearful or apprehensive
alkwaagh-,to cover or be covered (by a large number or mass of objects)
allaghqi-,to make a mistake; to err; to say or do something unexpected
allaghquute-,to miss hitting the spot aimed at; to arrive earlier or later than planned
allakaghte-,to separate oneself from the others
allakagh-,to become independent (of one's family, or the like)
allake-,to find (it) different or unfamiliar
allakunginagh-,to get confused; to go haywire
allangughte-,to change; to become different
allaniigh-,to commit adultery
allayug-,to feel strange or out of place
alleg-,to sweep; to brush off
allegvike-,to infect
allegviknagh-,to be susceptible to contagion
allgegh-,to appear; to emerge; to be born
allghiinegh-,to be disobedient; to be capricious; to follow one's own wishes only
allghuu-,to be the first boat that comes to aid a boat that is catching a whale
allighagh-,to prepare a bed
allighsiigh-,to make socks
alligte-,to remain in an obscured place; to go and not return; to stay away too long
allngig-,to sew a patch onto a boot sole
allngughte-,to tan (a bird skin) for use
allngugh-,to submerge; to dive under water
allughqi-,to adopt (a child)
allumyagte-,to act on (it) almost but not quite in its entirety; to get the most out of what is available; to have done most of what was to be done; for most of what was to occur to have happened
allute-,to act, or act on (it), entirely or almost entirely
almesiqe-,to be as expected; to stay the same
alngunaghqe-,to act carelessly
alngunaghqute-,to jumble things; to mess things up
alngunaseghagh-,to act carelessly
alpag-,to pass through (an obstacle, physical or otherwise); to go through
alqimagh-,to lick; to taste
alqime-,to lick
alqimsug-,to snack
alquutagh-,to use a spoon
alunge-,to lap with the tongue; to lick
alungragh-,to repeatedly lap; to lick paws (of a dog)
amaamighute-,to be in line with each other in someone's sight
amaghagh-,to continue to carry on one's shoulders
amaghte-,to criss-cross
amaghtugh-,to throw  down (in wrestling)
amagh-,to carry on one's shoulders
amakesegaagh-,to carry piggyback
amaqe-,to carry on one's back
amaseketaagh-,to carry someone on one's back
amellayi-,to become or make narrow or thin; to slim down
ameltu-,to be wide
amghute-,to not leave anything for others
amgusigh-,to tie one thing to another
amigh-,to put skin on (a skin-boat)
amiigigh-,to fence off; to block
aminaqe-,to leave some for someone
amlleqngiitigh-,to squeeze something between one's knees
amllugh-,to take a step (over)
amqeghpagte-,for ground to freeze
amqeghqugh-,to bite repeatedly
amqeghte-,to bite
amqegkagh-,to nip
amqute-,to take a bite of something
amsanagh-,to be calm (weather)
amsighqe-,to mend by sewing
amugite-,to have good eyesight
amugnagh-,to inhibit sight
amugtagh-,to have trouble seeing
amug-,to be unable to see
amutughqe-,to sew quickly
amuugte-,to lose one's sight
amu-,to pull through an opening (of thread, rope, etc.)
amyughaagh-,to tease (between cousins)
amyugh-,to be cruel
amyulqe-,to make fun of someone
amyume-,to waste or squander
amyuqetagh-,to be cruel
amyuutke-,to be cruel to (him) or over (it)
anaavag-,to use a net on a pole to catch birds
anaggute-,to be mixed up; to be confused; to do things wrong
anaghnigh-,to stink; to smell spoiled
anaghtaa-,to rust
anagh-,to defecate; to rust
anagnga-,to be incorrect; to be wrong; to be provoked
anagniigh-,to be in the act of fleeing or escaping; to be on the run
anagte-,to miss the mark; to confuse (get one confused); to irritate (a person)
anagtii-,to miss the target; to commit an error; to do wrong; to break the law
anagu-,to strike with a stick
anag-,to flee; to escape
anangugh-,to escape (especially from hardship)
anate-,to raise; to nurture
aneghneghiite-,to get out of breath
aneghneghte-,to do something that turns out well; to choose well
aneghrengi-,to be extremely pleased with a new possession or other thing just obtained
aneghte-,to breathe; to continue to be or to function as one has; to repeat one's actions
aneghziig-,to exhale softly, slowly and deeply
anekestagh-,to crawl out quietly to the open space 
an'gaghigh-,to give gift to newborn baby
angaghqe-,to convey; to take along; to transport
angaghqugh-,to keep on transporting things
angalke-,to jerk on a tether or other restraint to get free
angalqatagh-,to hook a caught seal to retrieve
angatughqe-,to hurry over (it) (especially at sewing)
angeghpayug-,to perk up; to feel revived, strengthened and encouraged
angeghqe-,to agree upon; to approve of
angeghrugte-,to be a determined person
angegh-,to affirm; to assent; to agree; to say "yes"
anghungite-,to eat greedily; to gobble food; to use things up fast
angighhe-,to smear; to rub in; to spread; to paint
angighhwaagh-,to spread (paint, ointment, etc.) especially repeatedly over a small area
angighte-,to become warm
an'gigh-,to go or be outside to get fresh air
angiite-,to arrive on time; to finish on time
angilaagh-,for water to be calm in a cover
angiqe-,to undo; to untie; to unravel
an'giqragh-,to be outside for no real reason
angitaagh-,for water to be calm in a cover
angi-,to come undone; to unravel; to come unfastened
angkaliigh-,to become the size of something
angka-,to be a certain size
anglaminagh-,to be beautiful or colorful
anglanagh-,to be beautiful (of sounds); to be delightful to hear
anglii-,to make a hole for ice-fishing
anglime-,to be spectacular; to be resounding
anglinasug-,to grow slowly
angli-,to grow; to become big; to make a hole in the ice
angqigh-,to be in pain
angtaliite-,to grow to full size
angtughte-,to catch something (game) that is big
angufqaghte-,to be stormbound; to be weathered in
anguksag-,to get caught in a storm while traveling; to deal with mischievous people; to encounter unexpectedly; to be at a place or time while something is still there
angulegh-,for waves to overtake one
angulgha-,to move slow (of liquid, especially the tide)
angumaaghwagh-,to linger in one's poor condition without improvement; to continue as is (of person or condition)
angumaasitaagh-,to search for something lost; to put effort in order to take, gather, eat, etc. more than others
angumaaskitaagh-,to hurry in order to not miss something or to finished in time
angumaasqitaghte-,to be delayed
angumake-,to catch up with a person; to get to an event before it is over
angumatkenghite-,to miss (as by not getting somewhere in time for something)
anguugh-,to be stormbound; to be delayed by unforeseen circumstances
angu-,to overtake; to catch up with
anguyiqe-,to pick a fight
angvagte-,to overreact to discomfort or pain; to act spoiled; to feel sorry for oneself and show it 
angvigagh-,to be tall (of a person); to be taller
angwaagh-,to paddle
angyaataghqe-,to eat boating food
angyaghllug-,to use an ice floe as a makeshift raft to cross open water
angyaghnagh-,for there to be good weather for hunting by boat
angyaghniigh-,to hunt with a boat; to ask for a boat
angyaghugh-,to take an unplanned boat trip or side-trip
angyagh-,to use a boat; to travel by boat; to hunt with a boat
angyalligh-,to steer a boat
angyii-,to hover over something; to circle over something
angyilghagh-,to put on a boat rack
angyiqe-,to trouble a boat (of a whale playing directly under it); to play under the boat
angyite-,for there to be many boats out in the ocean
angyi-,to make a boat; to play under an overturned boat (of an animal)
anighaaghte-,to act (on) more than before or as much as possible
anighte-,to make up one's mind; to stay a certain way; to be determined
anigullugte-,for snow to be soft and melting (as in spring)
anigulluugte-,for snow to be soft and melting (as in spring)
anigungiite-,for snow to haved melted or evaporated and disappeared
anigusiigh-,to cut blocks of snow for melting into water
anigute-,to be snowed in
aniighqwaa-,to get or be red-hot
aniighwte-,to get or be red-hot
aningugh-,to escape from; to struggle through; to wait out
aningwaagh-,to get a boil
anpaghqe-,to speak or sing loudly (of men); to raise one's voice to emphasize what one is saying
anughaqe-,to train; to exercise
anuqataghaaghte-,for wind to pick up
anuqligh-,for it to be windy; to get or be windy
anusigaa-,to be tired of something that is annoying or painful
anusimighte-,to not want to repeat one's actions due to having seen their consequences; to have "learned one's lesson"
anusimingllagh-,to punish
anusiyaa-,to be tired of something that is annoying or painful
apaate-,to estimate size; to give directions; to set the price of something
apagh-,to beckon; to gesture to come
apallengya-,to cry and fuss without reason (of children)
apapaagh-,to give food in honor of a new baby (given by baby's parents going house to house)
apaqaqu-,to give order(s); to be in charge of; to gesticulate
apaqu-,to direct; to instruct; to gesture
apeghiighsagh-,to get ready; to prepare
apeghiigh-,to finish; to complete; after
apeghragh-,to betray; to give secrets away
apeghtugh-,to teach
apegh-,to tell; to confess; to tell on or about
apeghyagh-,to get something ready; to finish something
apengqe-,to get stooped over (as from old age); to be folded over
apengte-,to fold; to shorten by folding
apenqigte-,to repeat; to say again
apetuyuugte-,to hesitate; to give an excuse
apghusiigh-,to hesitate and/or give an excuse; to be unenthusiastic; to be uninterested; to be unfavorable (of weather)
apumgute-,to thrust or throw into soft snow or dirt; to plunge or bury oneself in soft snow or dirt
apunaqaqe-,to request permission to be absent
aputite-,to give harvested or hunted item to (someone met near site)
aqapetug-,to flap wings while remaining stationary in midair; to hover (bird)
aqayamaawi-,to take a long time to heal due to repeated trauma
aqelqaame-,to be a guest of; to stay with
aqelqaghniigh-,to challenge guests or be challenged by guests in contests and games
aqelqaghte-,to be a guest
aqelqiqe-,to have guests
aqerite-,to get nauseated from eating too much of one food
aqeri-,to get nauseated from eating too much of one food
aqesgiigh-,to sneeze
aqfaagh-,to invite; to call on; to challenge
aqfaate-,to run
aqfaayngwaag-,to trot
aqfaqugh-,to jog; to run for exercise
aqfate-,to fetch something; to go get something
aqfa-,to fetch; to go get
aqfayngwaag-,to trot; to gallop or run fast (of reindeer, bear, etc.)
aqiilwagh-,to overnight along the way while traveling
aqii-,to take a pleasure trip; to go on a vacation; to take an early spring boat trip; to go south toward Anadyr (Chukotkan meaning)
aqiiyag-,to arrive as a visitor from afar
aqimle-,to drink liquor
aqinake-,to be envious over (it)
aqina-,to be envious
aqlaaghmig-,to stir up a draft; to set air in motion; to emanate vapors
aqlaghaghraag-,to be somewhat cold
aqlaghaghte-,for weather to get cold
aqlaghate*-,for it to get cold
aqlagh-,to dry up after a rain (of ground)
aqnighmillaghqe-,to suddenly start to hurting
aqnighnagh-,to be painful
aqnighqe-,to have or cause pain; to hurt
aqnighte-,to hurt; to get hurt
aqnigh-,to be in pain
aqniilngagh-,to endure pain; to cause pain
aqniima-,to to be a compassionate person
aqniqe-,to feel emotional attachment to someone or something; to feel fondness or tenderness toward (him)
aqsagmig-,to put something on one's back for carrying there
aqsalgu-,to be pregnant
aqsalliqe-,to have a stomachache
aqsanguma-,to be pregnant
aqsaqughiitigh-,to snack to keep the stomach from growling
aqsiqe-,to have a stomachache
aqsi-,to wash one's back
aqume-,to sit down
aqumga-,to be sitting
aqupileghnagh-,to make one feel obligated; to be the recipient of hints that someone needs or wants something
aqupileghragh-,to ask hesitantly; to hint to be given something
aqupileghsagh-,to hint to be given something
aqupileghyug-,to feel obligated to help
aqupilqe-,to come to someone's aid; to help
aquutagh-,to steer
araghaatagh-,to scream
aragh-,to shout; to yell; to scream; to holler
argughagh-,to return while boating after the boat has drifted with the current
aruugh-,to watch for sea mammals on the ice; to call out for someone whose arrival is anticipated; to observe from a height
asalughigh-,to use something as an anvil
asemeghqe-,to be involved in an accident or other calamity
asenge-,to owe (him); to be in debt to (him)
asighqe-,to tie up
asighute-,to tie (it) onto something
asivagh-,to lower; to go down
asute-,to temporarily exchange wives 
ataasighhaaghte-,to be the only one remaining
ataasighsigate-,to be undecided
ataasiighmete-,to be single-minded
ataasiighte-,to become, or cause to become, one; to make up one's mind
ateghaate-,to go down as a group
ateghagh-,to go down to whale boat for a ceremony marking the beginning of spring hunting
ateghte-,for wind to blow toward the sea; to put (it) down (into something); to put into liquid
ategh-,to go or get down off of something
ateligh-,to name
atengllagh-,to devise a name; ask; question
atghaaghqugh-,to fly south (of birds)
atghagha-,to dive into deep water and stay there for a long time without coming up for air
atghaghtegh-,to take one's hunting equipment down to the beach preparatory to going out hunting by boat
atghagh-,to go down toward the beach; to go from Chukotka to St. Lawrence Island
atghii-,to go down (the hill) gradually
atightugh-,to read
atigh-,to name; to say
atiiqe-,to name someone after
atipallagh-,to single out; to shade in; to emphasize
atkug-,to put on a parka
atngaghusigh-,to tattoo on the side of the nose
atugh-,to use; to sing
atunekiite-,to make equal in some sense
atuqe-,to wear; to use
avaagh-,to be relieved of pain; to slacken (rain, snow, traffic); to diminish
avaghniighqe-,to smell good 
avaghnite-,to be fermented
avaghqaghhiighute-,for there to be nothing left
avamsuggiite-,to be or have none; to be nothing at all
avangite-,to lack something; to have none
avaqraggiighute-,for there to be nothing left
avaquti-,to have a child; to give birth
avara-,to keep one's mind off something unpleasant; to comfort; to distract; to cheer up
avegtugh-,to dice meat; to cut up meat into bite size pieces; to slice meat
aveg-,to divide; to halve
avelemki-,to become unconscious; to rush; to bustle about
avelghagh-,to not go to an event; to miss an event; to leave out; to not include; to avoid
avelghaqiinagh-,to ignore
avenagh-,to be energetic; to be full of pep
aveniqe-,to rush; to be in a hurry; to act energetically
averngu-,to distract or be distracted from one's problems or bad tendencies
aveyugsagh-,to urge to hurry
avighaate-,to have something keep coming to mind; to not be able to get thoughts out of one's mind; to be obsessed
aviighute-,to not be there anymore; to die; to disappear
aviigh-,to wipe
aviite-,to be absent; to be gone; to not be here
avii-,to have a ringing in one's ears; to ring (of the ears); to signal (with a flag or with shouts)
avleghmete-,to be bow-legged; to be spread apart widely (though attached at one end)
avleqaghte-,to use a bola to try to catch
avugh-,to sort; to sort out and set aside
avuteghqe-,to regret
avutke-,to blame
avuughagh-,to sort quickly; to divide quickly
avyaawi-,to be careless; to be wasteful; to misuse things
awaligh-,to bring over food as a sign of friendship or if there is a need for food
awataghpi-,to make a sealskin float or poke
awatghute-,to overshoot; to jump or otherwise pass over (it); to miss the mark by going over (it)
awatiigh-,to lose something by its escaping
awatmiighte-,to go farther away (especially of something drifting away)
awavagh-,to move farther away; to drift out; to carry or take farther away; to calm down (of weather)
awillaghate-,to leave the area together
awinqute-,to make room for something; to reduce the burden on something
awiqe-,to take out of the way; to remove
awite-,to get out of the way; to take out of the way; to remove
ayaagte-,to have difficulty going against the wind; to go against the wind with difficulty
ayaa-,to become blind
ayagaghte-,to suddenly push off
ayagagh-,to train to develop strength; to lift weights
ayagsigh-,to prop up; to support
ayagsi-,to get into position with the harpoon for striking; to aim harpoon at whale
ayag-,to push off; to push away; to reject; to dislike
ayakagh-,to intentionally singe food before eating it; to barbecue; to roast over a fire
ayakigha-,to travel (by boat) by pushing off from chunks of ice or pushing ice out of the way
ayakite-,to suddenly hit barrier; to encounter a blast of wind
ayakmitagh-,for wind to blow against it; for winds to blow against each other
ayaniqe-,to feel nostalgia
ayapegh-,to lean on or with one's hand
ayaqighte-,to lean against something
aya-,to go far
ayeme-,to break relatively long thin object
ayemkagh-,to break; to break something off of (it)
ayemqe-,to break long thin object to pieces
ayemqugh-,to break long thin object to pieces
ayemruugte-,to exercise the legs by walking
ayemte-,to break
ayepsugigh-,to do something (e.g. fasten something) securely
ayepsugite-,to be sturdy
ayghigh-,to be accustomed to something; to become set a certain way
ayghuugh-,to replace broken parts; to refurbish; to repair
aygughike-,to doubt
aygughitiqe-,to be in doubt about something
aygughniite-,for there to be sea ice conditions making travel difficult 
aygugh-,to go north; to travel against the wind or into headwind
ayngananga-,to play a musical instrument
ayngusi-,to make chewing gum by cooking seal oil until very gummy
ayugigh-,to tighten (screws and the like); to fasten more securely
ayugite-,to be durable; to be sturdy
ayullaghqe-,to not heal due to further aggrevation 
ayuqesighagh-,to mimic
ayuqe-,to be a certain way; to resemble; to be like 
ayuste-,to go or cause to go very far
ayuutqe-,to have happened quite a while ago; to have gone too far
ayu-,to progress; to continue; to keep on going
ayvamiqe-,to become exhausted from over-exertion; to be feel run down
ayvasaa-,to feel ill
ayva-,to be ill
ayveghagh-,to catch walrus
ayveliigh-,to cook walrus
ayvii-,to butcher walrus on the ice
azigughte-,to begin to warm up (of area, room, house, etc. with a source of heat)
azigutigh-,to take shelter; to provide with shelter
azi-,to have an abundance of food and the like; to be able to get whatever one wants
efleghte-,to drive away (especially animals)
eflequgh-,to tell forcefully to leave; to expel
eflughaagh-,to repeatedly run one's hand over (it); to feel
eflugh-,to run one's hand or fingers over (it)
efqughute-,to do the right, appropriate or pleasing thing
efsug-,to shake or brush off dirt or snow
efsulqutaagh-,to stall in sailing; to shake
ege-,to render
egge-,to crimp boot soles with one's teeth
eggmagh-,to repeatedly bite; to bite on (it)
eggmiigh-,to hold something clamping it between upper and lower teeth
eggmillgha-,to speak or simply vocalize in anger or contempt while clamping one's lower lip between one's teeth
eggneke-,to go straight through without stopping
eggngighteqe-,to try to complete a task; to make an effort
eghhe-,to have dermatitis; to have dry, flaky, whitish skin patches especially on the face
eghhwaaqaghte-,to thrust into a hole; to thrust something into or get something thrust into one's throat
eghqaalingite-,to be thrifty; to not discard things; to not be wasteful
eghqaataqe-,to be spread out; to be scattered; to scatter; to discard many things at once
eghqwaagh-,to make an offering of food
eghte-,to dawn; for day to break; to recur; to happen again; to repeat
egmigh-,to rush by without stopping; to go all the way to one's destination without stopping
egnaangite-,to be slow or slothful
egte-,to throw away
egtugte-,to have a pounding heart
egtugute-,to get worried; to gather
egyug-,to act too soon without considering the consequences
egzinga-,to be all scratched up (of walrus hide)
ellmaaragte-,for wind to die down; for weather to clears up
ellmiga-,to feel paranoid
ellmigute-,to become permanent or almost so (of stain or odor)
ellmikaghti-,to have one's words come back at one adversely
ellngaghseketagh-,to drain completely
ellngagh-,to leak out liquid (as from hole in container)
elpegrightugh-,to sense something
elqemsiighwagh-,to be delirious; to doze lightly dreaming a little
elqiigh-,to use one's hand as a sunshade; to put on a peak-cap or visor
elqughaghte-,to hit on the mark; to get (it) just right
elqughtagh-,to confront one concerning his accusations against you
elqughte-,to tell the facts about something no matter how unpleasant they may be
elqughute-,to do something right; to behave correctly
elqughutngagh-,to be lucky
eltekeltagh-,to giggle; to snicker
elte-,to leak air (out); to deflate
eltugh-,to be stuck; to be caught; to be unable to proceed
emsighqe-,to mend by sewing
epesigh-,to smother or suffocate; to air out
epe-,to become stale; to become flat-tasting
esavghagh-,to move boat on sea ice using small sled
esghaate-,to see something
esghaghlaataqu-,to ignore the wishes of another because one can do so; to look down on and act accordingly
esghaghte-,to show
