Qikmim Ilakumtaalleghpigaa

qikmim	qikmigh[N][Rel][Unpd][Sg]
ellnginaghhaghmi	ellngit-––i[N→V]-@₁~fnaq[V→N]-–ghhagh*[N→N][N][Loc][Unpd][Sg]
ellnginaghhaghmi	ellngit-––i[N→V]-@₁~fnaq[V→N]-–ghhagh*[N→N][N][Rel][4SgPoss][PlPosd]
ellnginaghhaghmi	ellngit-––i[N→V]-@₁~fnaq[V→N]-–ghhagh*[N→N][N][Rel][4SgPoss][SgPosd]
ellnginaghhaghmi	ellngit-––i[N→V]-@₁~fna[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N][N][Abs][Unpd][Sg]-mi[Encl]
ellnginaghhaghmi	ellngit-––i[N→V]-@₁~fna[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N][N][Loc][Unpd][Sg]
ellnginaghhaghmi	ellngit-––i[N→V]-@₁~fna[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N][N][Rel][4SgPoss][PlPosd]
ellnginaghhaghmi	ellngit-––i[N→V]-@₁~fna[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N][N][Rel][4SgPoss][SgPosd]
ellnginaghhaghmi	ellngit-––i[N→V]-~:(u)te[V→V]-@₁~fnaq[V→N]-–ghhagh*[N→N][N][Abs][Unpd][Sg]-mi[Encl]
ellnginaghhaghmi	ellngit-––i[N→V]-~:(u)te[V→V]-@₁~fnaq[V→N]-–ghhagh*[N→N][N][Loc][Unpd][Sg]
ellnginaghhaghmi	ellngit-––i[N→V]-~:(u)te[V→V]-@₁~fnaq[V→N]-–ghhagh*[N→N][N][Rel][4SgPoss][PlPosd]
ellnginaghhaghmi	ellngit-––i[N→V]-~:(u)te[V→V]-@₁~fnaq[V→N]-–ghhagh*[N→N][N][Rel][4SgPoss][SgPosd]
ellnginaghhaghmi	ellngit-––i[N→V]-~:(u)te[V→V]-@₁~fna[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N][N][Abs][Unpd][Sg]-mi[Encl]
ellnginaghhaghmi	ellngit-––i[N→V]-~:(u)te[V→V]-@₁~fna[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N][N][Loc][Unpd][Sg]
ellnginaghhaghmi	ellngit-––i[N→V]-~:(u)te[V→V]-@₁~fna[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N][N][Rel][4SgPoss][PlPosd]
ellnginaghhaghmi	ellngit-––i[N→V]-~:(u)te[V→V]-@₁~fna[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N][N][Rel][4SgPoss][SgPosd]
ellnginaghhaghmi	ellnginagh-–ghhagh*[N→N][N][Abs][Unpd][Sg]-mi[Encl]
ellnginaghhaghmi	ellnginagh-–ghhagh*[N→N][N][Loc][Unpd][Sg]
ellnginaghhaghmi	ellnginagh-–ghhagh*[N→N][N][Rel][4SgPoss][PlPosd]
ellnginaghhaghmi	ellnginagh-–ghhagh*[N→N][N][Rel][4SgPoss][SgPosd]

------------------------


------------------------
Qikmiq amaamun aglaamalghii.

qikmiq	qikmigh[N][Abs][Unpd][Sg]

amaamun	amaa-~fmete[N→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
amaamun	amaa-~fmete[N→V]-te[V→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
amaamun	amaa[N][Ter][Unpd][Sg]
amaamun	amagh-~:(ng₁)u[V→V]-mete[V→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]

aglaamalghii	aglagh-@₁~:(i/u)ma[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
aglaamalghii	aglagh-@₁~:(i/u)magh[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
aglaamalghii	aglagh-~:(ng₁)u[V→V]-@₁~:(i/u)ma[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
aglaamalghii	aglagh-~:(ng₁)u[V→V]-@₁~:(i/u)magh[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]

------------------------
pimakanga	pi-@₁~:(i/u)ma[V→V]-~–(g₁)kaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
pimakanga	pi-@₁~:(i/u)ma[V→V]-~sf–(g₃)kaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
pimakanga	pi-@₁~:(i/u)ma[V→V]-@₂~fkaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
pimakanga	pi-@₁~:(i/u)ma[V→V]-@*@₂~sf–(g₂)k(a)e[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
pimakanga	pi-@₁~:(i/u)ma[V→V]-@*@₂~sf–(g₂)k(a)e[V→N][N][Abs][3SgPoss][SgPosd]
pimakanga	pi-@₁~:(i/u)ma[V→V][V][Trns][Cond][3Sg][1Sg]
pimakanga	pi-@₁~:(i/u)ma[V→V][V][Trns][Ptcp][3Sg][3Sg]

qerngaamtung	qerngagh-–ghte[V→V]-@₁~:(u)n[V→N][N][Rel][1DuPoss][PlPosd]
qerngaamtung	qerngagh-–ghte[V→V]-@₁~:(u)n[V→N][N][Rel][1DuPoss][SgPosd]
qerngaamtung	qerngagh-@₁~:(u)n[V→N][N][Rel][1DuPoss][PlPosd]
qerngaamtung	qerngagh-@₁~:(u)n[V→N][N][Rel][1DuPoss][SgPosd]
qerngaamtung	qerngagh-te[V→V]-@₁~:(u)n[V→N][N][Rel][1DuPoss][PlPosd]
qerngaamtung	qerngagh-te[V→V]-@₁~:(u)n[V→N][N][Rel][1DuPoss][SgPosd]
qerngaamtung	qerngagh-~:(ng₁)u[V→V]-@₁~:(u)n[V→N][N][Rel][1DuPoss][PlPosd]
qerngaamtung	qerngagh-~:(ng₁)u[V→V]-@₁~:(u)n[V→N][N][Rel][1DuPoss][SgPosd]
qerngaamtung	qerngagh*[Quant_Qual][1Du]

kiyaghteltung	kiyaghte[V][Intr][Opt][PRS][1Du]

------------------------


------------------------
"A-aa, saaqestung legan," akisimakanga amaam.

saaqestung	sa-~(g₁)aqe[V→V][V][Intr][Intrg][1Du]
saaqestung	saa-qe[N→V][V][Intr][Intrg][1Du]
saaqestung	sa-aq[V→N]-~–ke[N→V][V][Intr][Intrg][1Du]

legan	legan

akisimakanga	akugh-––i[N→V]-@₁~:(u)te[V→V]-@₁~:(i/u)ma[V→V]-~–(g₁)kaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
akisimakanga	akugh-––i[N→V]-@₁~:(u)te[V→V]-@₁~:(i/u)ma[V→V]-~sf–(g₃)kaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
akisimakanga	akugh-––i[N→V]-@₁~:(u)te[V→V]-@₁~:(i/u)ma[V→V]-@₂~fkaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
akisimakanga	akugh-––i[N→V]-@₁~:(u)te[V→V]-@₁~:(i/u)ma[V→V]-@*@₂~sf–(g₂)k(a)e[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
akisimakanga	akugh-––i[N→V]-@₁~:(u)te[V→V]-@₁~:(i/u)ma[V→V]-@*@₂~sf–(g₂)k(a)e[V→N][N][Abs][3SgPoss][SgPosd]
akisimakanga	akugh-––i[N→V]-@₁~:(u)te[V→V]-@₁~:(i/u)ma[V→V][V][Trns][Cond][3Sg][1Sg]
akisimakanga	akugh-––i[N→V]-@₁~:(u)te[V→V]-@₁~:(i/u)ma[V→V][V][Trns][Ptcp][3Sg][3Sg]
akisimakanga	akugh-––i[N→V]-~:(u)te[V→V]-@₁~:(i/u)ma[V→V]-~–(g₁)kaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
akisimakanga	akugh-––i[N→V]-~:(u)te[V→V]-@₁~:(i/u)ma[V→V]-~sf–(g₃)kaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
akisimakanga	akugh-––i[N→V]-~:(u)te[V→V]-@₁~:(i/u)ma[V→V]-@₂~fkaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
akisimakanga	akugh-––i[N→V]-~:(u)te[V→V]-@₁~:(i/u)ma[V→V]-@*@₂~sf–(g₂)k(a)e[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
akisimakanga	akugh-––i[N→V]-~:(u)te[V→V]-@₁~:(i/u)ma[V→V]-@*@₂~sf–(g₂)k(a)e[V→N][N][Abs][3SgPoss][SgPosd]
akisimakanga	akugh-––i[N→V]-~:(u)te[V→V]-@₁~:(i/u)ma[V→V][V][Trns][Cond][3Sg][1Sg]
akisimakanga	akugh-––i[N→V]-~:(u)te[V→V]-@₁~:(i/u)ma[V→V][V][Trns][Ptcp][3Sg][3Sg]
akisimakanga	akugh-––i[N→V]-te[V→V]-@₁~:(i/u)ma[V→V]-~–(g₁)kaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
akisimakanga	akugh-––i[N→V]-te[V→V]-@₁~:(i/u)ma[V→V]-~sf–(g₃)kaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
akisimakanga	akugh-––i[N→V]-te[V→V]-@₁~:(i/u)ma[V→V]-@₂~fkaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
akisimakanga	akugh-––i[N→V]-te[V→V]-@₁~:(i/u)ma[V→V]-@*@₂~sf–(g₂)k(a)e[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
akisimakanga	akugh-––i[N→V]-te[V→V]-@₁~:(i/u)ma[V→V]-@*@₂~sf–(g₂)k(a)e[V→N][N][Abs][3SgPoss][SgPosd]
akisimakanga	akugh-––i[N→V]-te[V→V]-@₁~:(i/u)ma[V→V][V][Trns][Cond][3Sg][1Sg]
akisimakanga	akugh-––i[N→V]-te[V→V]-@₁~:(i/u)ma[V→V][V][Trns][Ptcp][3Sg][3Sg]
akisimakanga	aki-@₁~:(u)te[V→V]-@₁~:(i/u)ma[V→V]-~–(g₁)kaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
akisimakanga	aki-@₁~:(u)te[V→V]-@₁~:(i/u)ma[V→V]-~sf–(g₃)kaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
akisimakanga	aki-@₁~:(u)te[V→V]-@₁~:(i/u)ma[V→V]-@₂~fkaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
akisimakanga	aki-@₁~:(u)te[V→V]-@₁~:(i/u)ma[V→V]-@*@₂~sf–(g₂)k(a)e[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
akisimakanga	aki-@₁~:(u)te[V→V]-@₁~:(i/u)ma[V→V]-@*@₂~sf–(g₂)k(a)e[V→N][N][Abs][3SgPoss][SgPosd]
akisimakanga	aki-@₁~:(u)te[V→V]-@₁~:(i/u)ma[V→V][V][Trns][Cond][3Sg][1Sg]
akisimakanga	aki-@₁~:(u)te[V→V]-@₁~:(i/u)ma[V→V][V][Trns][Ptcp][3Sg][3Sg]
akisimakanga	aki-~:(u)te[V→V]-@₁~:(i/u)ma[V→V]-~–(g₁)kaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
akisimakanga	aki-~:(u)te[V→V]-@₁~:(i/u)ma[V→V]-~sf–(g₃)kaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
akisimakanga	aki-~:(u)te[V→V]-@₁~:(i/u)ma[V→V]-@₂~fkaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
akisimakanga	aki-~:(u)te[V→V]-@₁~:(i/u)ma[V→V]-@*@₂~sf–(g₂)k(a)e[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
akisimakanga	aki-~:(u)te[V→V]-@₁~:(i/u)ma[V→V]-@*@₂~sf–(g₂)k(a)e[V→N][N][Abs][3SgPoss][SgPosd]
akisimakanga	aki-~:(u)te[V→V]-@₁~:(i/u)ma[V→V][V][Trns][Cond][3Sg][1Sg]
akisimakanga	aki-~:(u)te[V→V]-@₁~:(i/u)ma[V→V][V][Trns][Ptcp][3Sg][3Sg]
akisimakanga	aki-te[N→V]-@₁~:(i/u)ma[V→V]-~–(g₁)kaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
akisimakanga	aki-te[N→V]-@₁~:(i/u)ma[V→V]-~sf–(g₃)kaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
akisimakanga	aki-te[N→V]-@₁~:(i/u)ma[V→V]-@₂~fkaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
akisimakanga	aki-te[N→V]-@₁~:(i/u)ma[V→V]-@*@₂~sf–(g₂)k(a)e[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
akisimakanga	aki-te[N→V]-@₁~:(i/u)ma[V→V]-@*@₂~sf–(g₂)k(a)e[V→N][N][Abs][3SgPoss][SgPosd]
akisimakanga	aki-te[N→V]-@₁~:(i/u)ma[V→V][V][Trns][Cond][3Sg][1Sg]
akisimakanga	aki-te[N→V]-@₁~:(i/u)ma[V→V][V][Trns][Ptcp][3Sg][3Sg]
akisimakanga	aki-te[V→V]-@₁~:(i/u)ma[V→V]-~–(g₁)kaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
akisimakanga	aki-te[V→V]-@₁~:(i/u)ma[V→V]-~sf–(g₃)kaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
akisimakanga	aki-te[V→V]-@₁~:(i/u)ma[V→V]-@₂~fkaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
akisimakanga	aki-te[V→V]-@₁~:(i/u)ma[V→V]-@*@₂~sf–(g₂)k(a)e[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
akisimakanga	aki-te[V→V]-@₁~:(i/u)ma[V→V]-@*@₂~sf–(g₂)k(a)e[V→N][N][Abs][3SgPoss][SgPosd]
akisimakanga	aki-te[V→V]-@₁~:(i/u)ma[V→V][V][Trns][Cond][3Sg][1Sg]
akisimakanga	aki-te[V→V]-@₁~:(i/u)ma[V→V][V][Trns][Ptcp][3Sg][3Sg]
akisimakanga	aki-siq[V→N]-––i[N→V]-@₁~:(i/u)ma[V→V]-~–(g₁)kaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
akisimakanga	aki-siq[V→N]-––i[N→V]-@₁~:(i/u)ma[V→V]-~sf–(g₃)kaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
akisimakanga	aki-siq[V→N]-––i[N→V]-@₁~:(i/u)ma[V→V]-@₂~fkaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
akisimakanga	aki-siq[V→N]-––i[N→V]-@₁~:(i/u)ma[V→V]-@*@₂~sf–(g₂)k(a)e[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
akisimakanga	aki-siq[V→N]-––i[N→V]-@₁~:(i/u)ma[V→V]-@*@₂~sf–(g₂)k(a)e[V→N][N][Abs][3SgPoss][SgPosd]
akisimakanga	aki-siq[V→N]-––i[N→V]-@₁~:(i/u)ma[V→V][V][Trns][Cond][3Sg][1Sg]
akisimakanga	aki-siq[V→N]-––i[N→V]-@₁~:(i/u)ma[V→V][V][Trns][Ptcp][3Sg][3Sg]
akisimakanga	aki-siq[N→N]-––i[N→V]-@₁~:(i/u)ma[V→V]-~–(g₁)kaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
akisimakanga	aki-siq[N→N]-––i[N→V]-@₁~:(i/u)ma[V→V]-~sf–(g₃)kaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
akisimakanga	aki-siq[N→N]-––i[N→V]-@₁~:(i/u)ma[V→V]-@₂~fkaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
akisimakanga	aki-siq[N→N]-––i[N→V]-@₁~:(i/u)ma[V→V]-@*@₂~sf–(g₂)k(a)e[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
akisimakanga	aki-siq[N→N]-––i[N→V]-@₁~:(i/u)ma[V→V]-@*@₂~sf–(g₂)k(a)e[V→N][N][Abs][3SgPoss][SgPosd]
akisimakanga	aki-siq[N→N]-––i[N→V]-@₁~:(i/u)ma[V→V][V][Trns][Cond][3Sg][1Sg]
akisimakanga	aki-siq[N→N]-––i[N→V]-@₁~:(i/u)ma[V→V][V][Trns][Ptcp][3Sg][3Sg]
akisimakanga	aki-si[N→V]-@₁~:(i/u)ma[V→V]-~–(g₁)kaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
akisimakanga	aki-si[N→V]-@₁~:(i/u)ma[V→V]-~sf–(g₃)kaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
akisimakanga	aki-si[N→V]-@₁~:(i/u)ma[V→V]-@₂~fkaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
akisimakanga	aki-si[N→V]-@₁~:(i/u)ma[V→V]-@*@₂~sf–(g₂)k(a)e[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
akisimakanga	aki-si[N→V]-@₁~:(i/u)ma[V→V]-@*@₂~sf–(g₂)k(a)e[V→N][N][Abs][3SgPoss][SgPosd]
akisimakanga	aki-si[N→V]-@₁~:(i/u)ma[V→V][V][Trns][Cond][3Sg][1Sg]
akisimakanga	aki-si[N→V]-@₁~:(i/u)ma[V→V][V][Trns][Ptcp][3Sg][3Sg]
akisimakanga	akite-@₁~:(i/u)ma[V→V]-~–(g₁)kaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
akisimakanga	akite-@₁~:(i/u)ma[V→V]-~sf–(g₃)kaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
akisimakanga	akite-@₁~:(i/u)ma[V→V]-@₂~fkaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
akisimakanga	akite-@₁~:(i/u)ma[V→V]-@*@₂~sf–(g₂)k(a)e[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
akisimakanga	akite-@₁~:(i/u)ma[V→V]-@*@₂~sf–(g₂)k(a)e[V→N][N][Abs][3SgPoss][SgPosd]
akisimakanga	akite-@₁~:(i/u)ma[V→V][V][Trns][Cond][3Sg][1Sg]
akisimakanga	akite-@₁~:(i/u)ma[V→V][V][Trns][Ptcp][3Sg][3Sg]

amaam	amaa[N][Rel][Unpd][Sg]

------------------------
Qerngaagmek kiyaghsagusimalghiik.

qerngaagmek	qerngagh*[Quant_Qual][4Du]

kiyaghsagusimalghiik	kiyaghte-@₁~fyagute[V→V]-@₁~:(i/u)ma[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Du]
kiyaghsagusimalghiik	kiyaghte-@₁~fyagute[V→V]-@₁~:(i/u)ma[V→V]-@₁–lghii[V→N][N][Rel][Unpd][Du]
kiyaghsagusimalghiik	kiyaghte-@₁~fyagute[V→V]-@₁~:(i/u)ma[V→V][V][Intr][Ptcp][3Du]
kiyaghsagusimalghiik	kiyaghte-@₁~fyagute[V→V]-@₁~:(i/u)magh[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Du]
kiyaghsagusimalghiik	kiyaghte-@₁~fyagute[V→V]-@₁~:(i/u)magh[V→V]-@₁–lghii[V→N][N][Rel][Unpd][Du]
kiyaghsagusimalghiik	kiyaghte-@₁~fyagute[V→V]-@₁~:(i/u)magh[V→V][V][Intr][Ptcp][3Du]

------------------------


------------------------
Tagtalmi qikmiq sameng nagaquulluni qilugumakanga.

tagtalmi	tagtale[N][Loc][Unpd][Sg]
tagtalmi	tagtale[N][Rel][4SgPoss][PlPosd]
tagtalmi	tagtale[N][Rel][4SgPoss][SgPosd]
tagtalmi	tagtalmi

qikmiq	qikmigh[N][Abs][Unpd][Sg]

sameng	sa[N][Abl_Mod][Unpd][Sg]
sameng	sa[N][Rel][4DuPoss][PlPosd]
sameng	sa[N][Rel][4DuPoss][SgPosd]
sameng	sa[N][Rel][4PlPoss][PlPosd]
sameng	sa[N][Rel][4PlPoss][SgPosd]
sameng	sameng

nagaquulluni	nagate-@₁qugh[V→V]-–ghte[V→V]-@₁~:(u)te[V→V][V][Intr][Sbrd][3Sg]
nagaquulluni	nagate-@₁qugh[V→V]-–ghte[V→V]-@₁~:(u)n[V→N]-–lluk[N→N][N][Abs][4SgPoss][SgPosd]
nagaquulluni	nagate-@₁qugh[V→V]-–ghte[V→V]-@₁~:(u)n[V→N]-–lluk[N→N][N][Abs][4SgPoss][PlPosd]
nagaquulluni	nagate-@₁qugh[to.V.completely]-–ghte[V→V]-@₁~:(u)te[V→V][V][Intr][Sbrd][3Sg]
nagaquulluni	nagate-@₁qugh[to.V.completely]-–ghte[V→V]-@₁~:(u)n[V→N]-–lluk[N→N][N][Abs][4SgPoss][SgPosd]
nagaquulluni	nagate-@₁qugh[to.V.completely]-–ghte[V→V]-@₁~:(u)n[V→N]-–lluk[N→N][N][Abs][4SgPoss][PlPosd]
nagaquulluni	nagate-@₁qugh[V→V]-@₁~:(u)te[V→V][V][Intr][Sbrd][3Sg]
nagaquulluni	nagate-@₁qugh[V→V]-@₁~:(u)n[V→N]-–lluk[N→N][N][Abs][4SgPoss][SgPosd]
nagaquulluni	nagate-@₁qugh[V→V]-@₁~:(u)n[V→N]-–lluk[N→N][N][Abs][4SgPoss][PlPosd]
nagaquulluni	nagate-@₁qugh[V→V]-te[V→V]-@₁~:(u)te[V→V][V][Intr][Sbrd][3Sg]
nagaquulluni	nagate-@₁qugh[V→V]-te[V→V]-@₁~:(u)n[V→N]-–lluk[N→N][N][Abs][4SgPoss][SgPosd]
nagaquulluni	nagate-@₁qugh[V→V]-te[V→V]-@₁~:(u)n[V→N]-–lluk[N→N][N][Abs][4SgPoss][PlPosd]
nagaquulluni	nagate-@₁qugh[V→V]-~:(u)te[V→V][V][Intr][Sbrd][3Sg]
nagaquulluni	nagate-@₁qugh[V→V]-~:(u)te[V→N]-te[N→V]-te[V→V][V][Intr][Sbrd][3Sg]
nagaquulluni	nagate-@₁qugh[V→V]-~:(u)te[V→N]-te[N→V][V][Intr][Sbrd][3Sg]
nagaquulluni	nagate-@₁qugh[V→V]-~:(ng₁)u[V→V]-@₁~:(u)n[V→N]-–lluk[N→N][N][Abs][4SgPoss][SgPosd]
nagaquulluni	nagate-@₁qugh[V→V]-~:(ng₁)u[V→V]-@₁~:(u)n[V→N]-–lluk[N→N][N][Abs][4SgPoss][PlPosd]
nagaquulluni	nagate-@₁qugh[V→V]-~:(ng₁)u[V→V]-te[V→V][V][Intr][Sbrd][3Sg]
nagaquulluni	nagate-@₁qugh[V→V]-~:(ng₁)u[V→V]-~:(u)te[V→N]-te[N→V]-te[V→V][V][Intr][Sbrd][3Sg]
nagaquulluni	nagate-@₁qugh[V→V]-~:(ng₁)u[V→V]-~:(u)te[V→N]-te[N→V][V][Intr][Sbrd][3Sg]
nagaquulluni	nagate-@₁qugh[to.V.completely]-@₁~:(u)te[V→V][V][Intr][Sbrd][3Sg]
nagaquulluni	nagate-@₁qugh[to.V.completely]-@₁~:(u)n[V→N]-–lluk[N→N][N][Abs][4SgPoss][SgPosd]
nagaquulluni	nagate-@₁qugh[to.V.completely]-@₁~:(u)n[V→N]-–lluk[N→N][N][Abs][4SgPoss][PlPosd]
nagaquulluni	nagate-@₁qugh[to.V.completely]-te[V→V]-@₁~:(u)te[V→V][V][Intr][Sbrd][3Sg]
nagaquulluni	nagate-@₁qugh[to.V.completely]-te[V→V]-@₁~:(u)n[V→N]-–lluk[N→N][N][Abs][4SgPoss][SgPosd]
nagaquulluni	nagate-@₁qugh[to.V.completely]-te[V→V]-@₁~:(u)n[V→N]-–lluk[N→N][N][Abs][4SgPoss][PlPosd]
nagaquulluni	nagate-@₁qugh[to.V.completely]-~:(u)te[V→V][V][Intr][Sbrd][3Sg]
nagaquulluni	nagate-@₁qugh[to.V.completely]-~:(u)te[V→N]-te[N→V]-te[V→V][V][Intr][Sbrd][3Sg]
nagaquulluni	nagate-@₁qugh[to.V.completely]-~:(u)te[V→N]-te[N→V][V][Intr][Sbrd][3Sg]
nagaquulluni	nagate-@₁qugh[to.V.completely]-~:(ng₁)u[V→V]-@₁~:(u)n[V→N]-–lluk[N→N][N][Abs][4SgPoss][SgPosd]
nagaquulluni	nagate-@₁qugh[to.V.completely]-~:(ng₁)u[V→V]-@₁~:(u)n[V→N]-–lluk[N→N][N][Abs][4SgPoss][PlPosd]
nagaquulluni	nagate-@₁qugh[to.V.completely]-~:(ng₁)u[V→V]-te[V→V][V][Intr][Sbrd][3Sg]
nagaquulluni	nagate-@₁qugh[to.V.completely]-~:(ng₁)u[V→V]-~:(u)te[V→N]-te[N→V]-te[V→V][V][Intr][Sbrd][3Sg]
