aane[Intr_Ind][1Du]	aanukung
alinge[Intr_Ind][3Sg]	alinguq
aqii[Intr_Ind][1Du]	aqiigukung
aqii[Intr_Ind][1Pl]	aqiigukut
aqii[Intr_Ind][1Sg]	aqiigunga
aqii[Intr_Ind][2Du]	aqiigutek
aqii[Intr_Ind][2Pl]	aqiigusi
aqii[Intr_Ind][2Sg]	aqiiguten
aqii[Intr_Ind][3Du]	aqiiguk
aqii[Intr_Ind][3Pl]	aqiigut
aqii[Intr_Ind][3Sg]	aqiiguq
esghaate[Intr_Ind][1Du]	esghaatukung
esghaate[Intr_Ind][1Pl]	esghaatukut
esghaate[Intr_Ind][1Sg]	esghaatunga
esghaate[Intr_Ind][2Du]	esghaatutek
esghaate[Intr_Ind][2Pl]	esghaatusi
esghaate[Intr_Ind][2Sg]	esghaatuten
esghaate[Intr_Ind][3Du]	esghaatuk
esghaate[Intr_Ind][3Pl]	esghaatut
esghaate[Intr_Ind][3Sg]	esghaatuq
esleqe[Intr_Ind][1Du]	eslequkung
esleqe[Intr_Ind][1Pl]	eslequkut
esleqe[Intr_Ind][1Sg]	eslequnga
esleqe[Intr_Ind][2Du]	eslequtek
esleqe[Intr_Ind][2Pl]	eslequsi
esleqe[Intr_Ind][2Sg]	eslequten
esleqe[Intr_Ind][3Du]	eslequk
esleqe[Intr_Ind][3Pl]	eslequt
esleqe[Intr_Ind][3Sg]	eslequq
gaagh[Intr_Ind][1Du]	gaaghtukung
gaagh[Intr_Ind][1Pl]	gaaghtukut
gaagh[Intr_Ind][1Sg]	gaaghtunga
gaagh[Intr_Ind][2Du]	gaaghtutek
gaagh[Intr_Ind][2Pl]	gaaghtusi
gaagh[Intr_Ind][2Sg]	gaaghtuten
gaagh[Intr_Ind][3Du]	gaaghtuk
gaagh[Intr_Ind][3Pl]	gaaghtut
gaagh[Intr_Ind][3Sg]	gaaghtuq
ifla[Intr_Ind][1Du]	iflaakung
ifla[Intr_Ind][1Pl]	iflaakut
ifla[Intr_Ind][1Sg]	iflaanga
ifla[Intr_Ind][2Du]	iflaatek
ifla[Intr_Ind][2Pl]	iflaasi
ifla[Intr_Ind][2Sg]	iflaaten
ifla[Intr_Ind][3Du]	iflaak
ifla[Intr_Ind][3Pl]	iflaat
ifla[Intr_Ind][3Sg]	iflaaq
ingaghte[Intr_Ind][1Du]	ingaghtukung
ingaghte[Intr_Ind][1Pl]	ingaghtukut
ingaghte[Intr_Ind][1Sg]	ingaghtunga
ingaghte[Intr_Ind][2Du]	ingaghtutek
ingaghte[Intr_Ind][2Pl]	ingaghtusi
ingaghte[Intr_Ind][2Sg]	ingaghtuten
ingaghte[Intr_Ind][3Du]	ingaghtuk
ingaghte[Intr_Ind][3Pl]	ingaghtut
ingaghte[Intr_Ind][3Sg]	ingaghtuq
inghu[Intr_Ind][1Du]	inghuukung
inghu[Intr_Ind][1Pl]	inghuukut
inghu[Intr_Ind][1Sg]	inghuunga
inghu[Intr_Ind][2Du]	inghuutek
inghu[Intr_Ind][2Pl]	inghuusi
inghu[Intr_Ind][2Sg]	inghuuten
inghu[Intr_Ind][3Du]	inghuuk
inghu[Intr_Ind][3Pl]	inghuut
inghu[Intr_Ind][3Sg]	inghuuq
itegh[Intr_Ind][1Du]	iteghtukung
itegh[Intr_Ind][1Pl]	iteghtukut
itegh[Intr_Ind][1Sg]	iteghtunga
itegh[Intr_Ind][2Du]	iteghtutek
itegh[Intr_Ind][2Pl]	iteghtusi
itegh[Intr_Ind][2Sg]	iteghtuten
itegh[Intr_Ind][3Du]	iteghtuk
itegh[Intr_Ind][3Pl]	iteghtut
itegh[Intr_Ind][3Sg]	iteghtuq
kaate[Intr_Ind][1Du]	kaatukung
kaate[Intr_Ind][1Pl]	kaatukut
kaate[Intr_Ind][1Sg]	kaatunga
kaate[Intr_Ind][2Du]	kaatutek
kaate[Intr_Ind][2Pl]	kaatusi
kaate[Intr_Ind][2Sg]	kaatuten
kaate[Intr_Ind][3Du]	kaatuk
kaate[Intr_Ind][3Pl]	kaatut
kaate[Intr_Ind][3Sg]	kaatuq
kuuve[Intr_Ind][1Du]	kuuvukung
kuuve[Intr_Ind][1Pl]	kuuvukut
kuuve[Intr_Ind][1Sg]	kuuvunga
kuuve[Intr_Ind][2Du]	kuuvutek
kuuve[Intr_Ind][2Pl]	kuuvusi
kuuve[Intr_Ind][2Sg]	kuuvuten
kuuve[Intr_Ind][3Du]	kuuvuk
kuuve[Intr_Ind][3Pl]	kuuvut
kuuve[Intr_Ind][3Sg]	kuuvuq
megh[Intr_Ind][1Du]	meghtukung
megh[Intr_Ind][1Pl]	meghtukut
megh[Intr_Ind][1Sg]	meghtunga
megh[Intr_Ind][2Du]	meghtutek
megh[Intr_Ind][2Pl]	meghtusi
megh[Intr_Ind][2Sg]	meghtuten
megh[Intr_Ind][3Du]	meghtuk
megh[Intr_Ind][3Pl]	meghtut
megh[Intr_Ind][3Sg]	meghtuq
nagate[Intr_Ind][1Du]	nagatukung
nagate[Intr_Ind][1Pl]	nagatukut
nagate[Intr_Ind][1Sg]	nagatunga
nagate[Intr_Ind][2Du]	nagatutek
nagate[Intr_Ind][2Pl]	nagatusi
nagate[Intr_Ind][2Sg]	nagatuten
nagate[Intr_Ind][3Du]	nagatuk
nagate[Intr_Ind][3Pl]	nagatut
nagate[Intr_Ind][3Sg]	nagatuq
negh[Intr_Ind][1Du]	neghtukung
negh[Intr_Ind][1Pl]	neghtukut
negh[Intr_Ind][1Sg]	neghtunga
negh[Intr_Ind][2Du]	neghtutek
negh[Intr_Ind][2Pl]	neghtusi
negh[Intr_Ind][2Sg]	neghtuten
negh[Intr_Ind][3Du]	neghtuk
negh[Intr_Ind][3Pl]	neghtut
negh[Intr_Ind][3Sg]	neghtuq
nenglagh[Intr_Ind][1Du]	nenglaghtukung
nenglagh[Intr_Ind][1Pl]	nenglaghtukut
nenglagh[Intr_Ind][1Sg]	nenglaghtunga
nenglagh[Intr_Ind][2Du]	nenglaghtutek
nenglagh[Intr_Ind][2Pl]	nenglaghtusi
nenglagh[Intr_Ind][2Sg]	nenglaghtuten
nenglagh[Intr_Ind][3Du]	nenglaghtuk
nenglagh[Intr_Ind][3Pl]	nenglaghtut
nenglagh[Intr_Ind][3Sg]	nenglaghtuq
pinigh[Intr_Ind][1Du]	pinightukung
pinigh[Intr_Ind][1Pl]	pinightukut
pinigh[Intr_Ind][1Sg]	pinightunga
pinigh[Intr_Ind][2Du]	pinightutek
pinigh[Intr_Ind][2Pl]	pinightusi
pinigh[Intr_Ind][2Sg]	pinightuten
pinigh[Intr_Ind][3Du]	pinightuk
pinigh[Intr_Ind][3Pl]	pinightut
pinigh[Intr_Ind][3Sg]	pinightuq
qavagh[Intr_Ind][1Du]	qavaghtukung
qavagh[Intr_Ind][1Pl]	qavaghtukut
qavagh[Intr_Ind][1Sg]	qavaghtunga
qavagh[Intr_Ind][2Du]	qavaghtutek
qavagh[Intr_Ind][2Pl]	qavaghtusi
qavagh[Intr_Ind][2Sg]	qavaghtuten
qavagh[Intr_Ind][3Du]	qavaghtuk
qavagh[Intr_Ind][3Pl]	qavaghtut
qavagh[Intr_Ind][3Sg]	qavaghtuq
qiighw[Intr_Ind][1Du]	qiighwtukung
qiighw[Intr_Ind][1Pl]	qiighwtukut
qiighw[Intr_Ind][1Sg]	qiighwtunga
qiighw[Intr_Ind][2Du]	qiighwtutek
qiighw[Intr_Ind][2Pl]	qiighwtusi
qiighw[Intr_Ind][2Sg]	qiighwtuten
qiighw[Intr_Ind][3Du]	qiighwtuk
qiighw[Intr_Ind][3Pl]	qiighwtut
qiighw[Intr_Ind][3Sg]	qiighwtuq
qiya[Intr_Ind][1Du]	qiyaakung
qiya[Intr_Ind][1Pl]	qiyaakut
qiya[Intr_Ind][1Sg]	qiyaanga
qiya[Intr_Ind][2Du]	qiyaatek
qiya[Intr_Ind][2Pl]	qiyaasi
qiya[Intr_Ind][2Sg]	qiyaaten
qiya[Intr_Ind][3Du]	qiyaak
qiya[Intr_Ind][3Pl]	qiyaat
qiya[Intr_Ind][3Sg]	qiyaaq
taake[Intr_Ind][1Du]	taakukung
taake[Intr_Ind][1Pl]	taakukut
taake[Intr_Ind][1Sg]	taakunga
taake[Intr_Ind][2Du]	taakutek
taake[Intr_Ind][2Pl]	taakusi
taake[Intr_Ind][2Sg]	taakuten
taake[Intr_Ind][3Du]	taakuk
taake[Intr_Ind][3Pl]	taakut
taake[Intr_Ind][3Sg]	taakuq
tagi[Intr_Ind][1Du]	tagiikung
tagi[Intr_Ind][1Pl]	tagiikut
tagi[Intr_Ind][1Sg]	tagiinga
tagi[Intr_Ind][2Du]	tagiitek
tagi[Intr_Ind][2Pl]	tagiisi
tagi[Intr_Ind][2Sg]	tagiiten
tagi[Intr_Ind][3Du]	tagiik
tagi[Intr_Ind][3Pl]	tagiit
tagi[Intr_Ind][3Sg]	tagiiq
tuqu[Intr_Ind][1Du]	tuquukung
tuqu[Intr_Ind][1Pl]	tuquukut
tuqu[Intr_Ind][1Sg]	tuquunga
tuqu[Intr_Ind][2Du]	tuquutek
tuqu[Intr_Ind][2Pl]	tuquusi
tuqu[Intr_Ind][2Sg]	tuquuten
tuqu[Intr_Ind][3Du]	tuquuk
tuqu[Intr_Ind][3Pl]	tuquut
tuqu[Intr_Ind][3Sg]	tuquuq
