alleg[V][Trns][Opt][NEG][2Sg][1Du]	allefqaamtung
pumsug[V][Trns][Opt][NEG][2Sg][1Sg]	pumsufqaama
pumsug[V][Trns][Opt][NEG][2Sg][3Du]	pumsufqaagkenka
pumsug[V][Trns][Opt][NEG][2Sg][3Pl]	pumsufqiita
pumsug[V][Trns][Opt][NEG][2Sg][3Sg]	pumsufqaan
qelpeghte[V][Trns][Opt][NEG][2Sg][1Du]	qelpeghtefqaamtung
qelpeghte[V][Trns][Opt][NEG][2Sg][1Pl]	qelpeghtefqaamta
qelpeghte[V][Trns][Opt][NEG][2Sg][1Sg]	qelpeghtefqaama
qelpeghte[V][Trns][Opt][NEG][2Sg][3Du]	qelpeghtefqaagkenka
qelpeghte[V][Trns][Opt][NEG][2Sg][3Pl]	qelpeghtefqiita
qelpeghte[V][Trns][Opt][NEG][2Sg][3Sg]	qelpeghtefqaan
tagite[V][Trns][Opt][NEG][2Sg][1Du]	tagitefqaamtung
tagite[V][Trns][Opt][NEG][2Sg][1Pl]	tagitefqaamta
tagite[V][Trns][Opt][NEG][2Sg][1Sg]	tagitefqaama
tagite[V][Trns][Opt][NEG][2Sg][3Du]	tagitefqaagkenka
tagite[V][Trns][Opt][NEG][2Sg][3Pl]	tagitefqiita
tagite[V][Trns][Opt][NEG][2Sg][3Sg]	tagitefqaan
tugu[V][Trns][Opt][NEG][2Sg][1Du]	tugufqaamtung
tugu[V][Trns][Opt][NEG][2Sg][1Pl]	tugufqaamta
tugu[V][Trns][Opt][NEG][2Sg][1Sg]	tugufqaama
tugu[V][Trns][Opt][NEG][2Sg][3Du]	tugufqaagkenka
tugu[V][Trns][Opt][NEG][2Sg][3Pl]	tugufqiita
tugu[V][Trns][Opt][NEG][2Sg][3Sg]	tugufqaan
tuqute[V][Trns][Opt][NEG][2Sg][1Du]	tuqutefqaamtung
tuqute[V][Trns][Opt][NEG][2Sg][1Pl]	tuqutefqaamta
tuqute[V][Trns][Opt][NEG][2Sg][1Sg]	tuqutefqaama
tuqute[V][Trns][Opt][NEG][2Sg][3Du]	tuqutefqaagkenka
tuqute[V][Trns][Opt][NEG][2Sg][3Pl]	tuqutefqiita
tuqute[V][Trns][Opt][NEG][2Sg][3Sg]	tuqutefqaan
umeg[V][Trns][Opt][NEG][2Sg][1Du]	umefqaamtung
umeg[V][Trns][Opt][NEG][2Sg][1Pl]	umefqaamta
umeg[V][Trns][Opt][NEG][2Sg][1Sg]	umefqaama
umeg[V][Trns][Opt][NEG][2Sg][3Du]	umefqaagkenka
umeg[V][Trns][Opt][NEG][2Sg][3Pl]	umefqiita
umeg[V][Trns][Opt][NEG][2Sg][3Sg]	umefqaan
