aane[V][Intr][Opt][PRS][1Du]	aaneltung
qayugh[V][Intr][Opt][PRS][1Pl]	qayuulta
qayugh[V][Intr][Opt][PRS][2Du]	qayughtek
qayugh[V][Intr][Opt][PRS][2Pl]	qayughtek
qayugh[V][Intr][Opt][PRS][2Sg]	qayaa
qelpeghte[V][Intr][Opt][PRS][1Du]	qelpeghteltung
qelpeghte[V][Intr][Opt][PRS][1Pl]	qelpeghtelta
qelpeghte[V][Intr][Opt][PRS][2Du]	qelpeghtek
qelpeghte[V][Intr][Opt][PRS][2Pl]	qelpeghtek
qelpeghte[V][Intr][Opt][PRS][2Sg]	qelpeghten
tagi[V][Intr][Opt][PRS][1Du]	tagiltung
tagi[V][Intr][Opt][PRS][1Pl]	tagilta
tagi[V][Intr][Opt][PRS][2Du]	tagitek
tagi[V][Intr][Opt][PRS][2Pl]	tagitek
tagi[V][Intr][Opt][PRS][2Sg]	tagi
ukig[V][Intr][Opt][PRS][1Du]	ukigeltung
ukig[V][Intr][Opt][PRS][1Pl]	ukigelta
ukig[V][Intr][Opt][PRS][2Du]	ukigtek
ukig[V][Intr][Opt][PRS][2Pl]	ukigtek
ukig[V][Intr][Opt][PRS][2Sg]	ukigi
umeg[V][Intr][Opt][PRS][1Du]	uumgeltung
umeg[V][Intr][Opt][PRS][1Pl]	uumgelta
umeg[V][Intr][Opt][PRS][2Du]	umegtek
umeg[V][Intr][Opt][PRS][2Pl]	umegtek
umeg[V][Intr][Opt][PRS][2Sg]	uumgi
