Qilughwaaghneng Wayaallghiik

qilughwaaghneng	qilughwaagh[N][Abl_Mod][Unpd][Pl]
wayaallghiik	wayagh-~:(ng₁)u[N→V]-@₁~:(u)te[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Du]
wayaallghiik	wayagh-~:(ng₁)u[N→V]-@₁~:(u)te[V→V]-@₁–lghii[V→N][N][Rel][Unpd][Du]
wayaallghiik	wayagh-~:(ng₁)u[N→V]-@₁~:(u)te[V→V][V][Intr][Ptcp][3Du]
wayaallghiik	wayagh-~:(ng₁)u[N→V]-te[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Du]
wayaallghiik	wayagh-~:(ng₁)u[N→V]-te[V→V]-@₁–lghii[V→N][N][Rel][Unpd][Du]
wayaallghiik	wayagh-~:(ng₁)u[N→V]-te[V→V][V][Intr][Ptcp][3Du]
wayaallghiik	wayagh-~:(ng₁)u[N→V]-~:(u)te[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Du]
wayaallghiik	wayagh-~:(ng₁)u[N→V]-~:(u)te[V→V]-@₁–lghii[V→N][N][Rel][Unpd][Du]
wayaallghiik	wayagh-~:(ng₁)u[N→V]-~:(u)te[V→V][V][Intr][Ptcp][3Du]
wayaallghiik	wayagh-~:(ng₁)u[N→V]-~:(u)te[V→N]-te[N→V]-@₁–lghii[V→N][N][Abs][Unpd][Du]
wayaallghiik	wayagh-~:(ng₁)u[N→V]-~:(u)te[V→N]-te[N→V]-@₁–lghii[V→N][N][Rel][Unpd][Du]
wayaallghiik	wayagh-~:(ng₁)u[N→V]-~:(u)te[V→N]-te[N→V]-te[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Du]
wayaallghiik	wayagh-~:(ng₁)u[N→V]-~:(u)te[V→N]-te[N→V]-te[V→V]-@₁–lghii[V→N][N][Rel][Unpd][Du]
wayaallghiik	wayagh-~:(ng₁)u[N→V]-~:(u)te[V→N]-te[N→V]-te[V→V][V][Intr][Ptcp][3Du]
wayaallghiik	wayagh-~:(ng₁)u[N→V]-~:(u)te[V→N]-te[N→V][V][Intr][Ptcp][3Du]
wayaallghiik	wayagh-~:(ng₁)u[V→V]-@₁~:(u)te[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Du]
wayaallghiik	wayagh-~:(ng₁)u[V→V]-@₁~:(u)te[V→V]-@₁–lghii[V→N][N][Rel][Unpd][Du]
wayaallghiik	wayagh-~:(ng₁)u[V→V]-@₁~:(u)te[V→V][V][Intr][Ptcp][3Du]
wayaallghiik	wayagh-~:(ng₁)u[V→V]-te[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Du]
wayaallghiik	wayagh-~:(ng₁)u[V→V]-te[V→V]-@₁–lghii[V→N][N][Rel][Unpd][Du]
wayaallghiik	wayagh-~:(ng₁)u[V→V]-te[V→V][V][Intr][Ptcp][3Du]
wayaallghiik	wayagh-~:(ng₁)u[V→V]-~:(u)te[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Du]
wayaallghiik	wayagh-~:(ng₁)u[V→V]-~:(u)te[V→V]-@₁–lghii[V→N][N][Rel][Unpd][Du]
wayaallghiik	wayagh-~:(ng₁)u[V→V]-~:(u)te[V→V][V][Intr][Ptcp][3Du]
wayaallghiik	wayagh-~:(ng₁)u[V→V]-~:(u)te[V→N]-te[N→V]-@₁–lghii[V→N][N][Abs][Unpd][Du]
wayaallghiik	wayagh-~:(ng₁)u[V→V]-~:(u)te[V→N]-te[N→V]-@₁–lghii[V→N][N][Rel][Unpd][Du]
wayaallghiik	wayagh-~:(ng₁)u[V→V]-~:(u)te[V→N]-te[N→V]-te[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Du]
wayaallghiik	wayagh-~:(ng₁)u[V→V]-~:(u)te[V→N]-te[N→V]-te[V→V]-@₁–lghii[V→N][N][Rel][Unpd][Du]
wayaallghiik	wayagh-~:(ng₁)u[V→V]-~:(u)te[V→N]-te[N→V]-te[V→V][V][Intr][Ptcp][3Du]
wayaallghiik	wayagh-~:(ng₁)u[V→V]-~:(u)te[V→N]-te[N→V][V][Intr][Ptcp][3Du]

------------------------
Ayumiim Ungipaghaa Puughhutem Apellgha

ayumiim	ayumigh*[N][Rel][Unpd][Sg]

ungipaghaa	ungipagh-–ghagh*[N→N]-~:(ng₁)u[N→V][V][Intr][Opt][PRS][2Sg]
ungipaghaa	ungipagh-–ghagh*[N→N][N][Abs][3SgPoss][SgPosd]
ungipaghaa	ungipagh[V][Trns][Ind][3Sg][3Sg]
ungipaghaa	ungipaghagh-~:(ng₁)u[N→V][V][Intr][Opt][PRS][2Sg]
ungipaghaa	ungipaghagh-~:(ng₁)u[V→V][V][Intr][Opt][PRS][2Sg]
ungipaghaa	ungipaghagh[N][Abs][3SgPoss][SgPosd]
ungipaghaa	ungipaghagh[V][Intr][Opt][PRS][2Sg]
ungipaghaa	ungipagh-agh[N→V]-~:(ng₁)u[V→V][V][Intr][Opt][PRS][2Sg]
ungipaghaa	ungipagh-agh[N→V][V][Intr][Opt][PRS][2Sg]
ungipaghaa	Ungipagh-–ghagh*[N→N]-~:(ng₁)u[N→V][V][Intr][Opt][PRS][2Sg]
ungipaghaa	Ungipagh-–ghagh*[N→N][N][Abs][3SgPoss][SgPosd]
ungipaghaa	Ungipagh-agh[N→V]-~:(ng₁)u[V→V][V][Intr][Opt][PRS][2Sg]
ungipaghaa	Ungipagh-agh[N→V][V][Intr][Opt][PRS][2Sg]

puughhutem	puughhe-~:(u)te[V→N][N][Rel][Unpd][Sg]

------------------------


------------------------
Ungipaghaq, Anipaghllak nalugumakestaamaluku qilughwaagh­llagni naken Meteghlluk tagimalghii.

ungipaghaq	ungipagh-–ghagh*[N→N][N][Abs][Unpd][Sg]
ungipaghaq	ungipagh[V][Trns][Ind][3Sg][3Du]
ungipaghaq	ungipaghagh[N][Abs][Unpd][Sg]
ungipaghaq	ungipagh-aq[V→N][N][Abs][Unpd][Sg]
ungipaghaq	Ungipagh-–ghagh*[N→N][N][Abs][Unpd][Sg]

anipaghllak	anipa-–ghllag[N→N][N][Abs][Unpd][Sg]
anipaghllak	anipa-–ghllak[N→N][N][Abs][Unpd][Sg]
anipaghllak	anipaghllag[N][Abs][Unpd][Sg]

naken	na-@₁~:(u)n[V→N]-~–ke[N→N][N][Abs][2SgPoss][SgPosd]
naken	na-@*@₂~sf–(g₂)k(a)e[V→N][N][Abs][2SgPoss][SgPosd]
naken	na[V][Trns][Ptcp][2Sg][3Sg]
naken	naken
naken	nakete[N][Abs][Unpd][Sg]

meteghlluk	meteghllug[N][Abs][Unpd][Sg]

tagimalghii	tagi-@₁~:(i/u)ma[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
tagimalghii	tagi-@₁~:(i/u)magh[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]

------------------------


------------------------
Kaalluni Meteghllu­gwem aapsimakanga,

kaalluni	kaate[V][Intr][Sbrd][3Sg]
kaalluni	kaaw-–lluk[N→N][N][Abs][4SgPoss][SgPosd]
kaalluni	kaaw-–lluk[N→N][N][Abs][4SgPoss][PlPosd]

aapsimakanga	aapte-@₁~:(i/u)ma[V→V]-~–(g₁)kaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
aapsimakanga	aapte-@₁~:(i/u)ma[V→V]-~sf–(g₃)kaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
aapsimakanga	aapte-@₁~:(i/u)ma[V→V]-@₂~fkaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
aapsimakanga	aapte-@₁~:(i/u)ma[V→V]-@*@₂~sf–(g₂)k(a)e[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
aapsimakanga	aapte-@₁~:(i/u)ma[V→V]-@*@₂~sf–(g₂)k(a)e[V→N][N][Abs][3SgPoss][SgPosd]
aapsimakanga	aapte-@₁~:(i/u)ma[V→V][V][Trns][Cond][3Sg][1Sg]
aapsimakanga	aapte-@₁~:(i/u)ma[V→V][V][Trns][Ptcp][3Sg][3Sg]

------------------------
saaqsin	sa-~(g₁)aqe[V→V][V][Intr][Intrg][2Sg]
saaqsin	saa-qe[N→V][V][Intr][Intrg][2Sg]
saaqsin	sa-aq[V→N]-~–ke[N→V][V][Intr][Intrg][2Sg]
saaqsin	sa-aq[V→N]-siq[N→N]-––i[N→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
saaqsin	sa-aq[V→N]-siq[N→N]-––i[N→V]-~:(u)te[V→N][N][Abs][Unpd][Sg]
saaqsin	sa-aq[V→N]-yak[N→N]-––i[N→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
saaqsin	sa-aq[V→N]-yak[N→N]-––i[N→V]-~:(u)te[V→N][N][Abs][Unpd][Sg]
saaqsin	sa-aq[V→N]-si[N→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
saaqsin	sa-aq[V→N]-si[N→V]-~:(u)te[V→N][N][Abs][Unpd][Sg]
saaqsin	sa-qe[N→V][V][Intr][Intrg][2Sg]

tawani	tawani
tawani	tawani[N][Abs][Unpd][Sg]

------------------------
Awiiten nekenghitaten, whanga nekanka."

awiiten	aw-–ghagh*[N→N]-~:(ng₁)ite[N→V][V][Intr][Opt][PRS][2Sg]
awiiten	aw-~:(ng₁)u[N→V]-~i[V→V]-@₁~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
awiiten	aw-~:(ng₁)u[N→V]-~i[V→V]-~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
awiiten	aw-~:(ng₁)u[N→V]-~i[V→V]-~:(u)te[V→N][N][Abs][2SgPoss][SgPosd]
awiiten	aw-~:(ng₁)u[N→V]-~i[V→V]-te[V→V][V][Intr][Opt][PRS][2Sg]
awiiten	aw-~:(ng₁)ite[N→V]-@₁~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
awiiten	aw-~:(ng₁)ite[N→V]-te[V→V]-@₁~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
awiiten	aw-~:(ng₁)ite**[N→V]-@₁~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
awiiten	aw-~:(ng₁)ite**[N→V]-te[V→V]-@₁~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
awiiten	aw-~:(ng₁)igh[N→V]-–ghte[V→V]-@₁~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
awiiten	aw-~:(ng₁)igh[N→V]-@₁~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
awiiten	aw-~:(ng₁)igh[N→V]-te[V→V]-@₁~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
awiiten	aw-~:(ng₁)igh[N→V]-~:(ng₁)u[V→V]-@₁~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
awiiten	aw-~:(ng₁)igh[N→V]-~:(ng₁)u[V→V]-~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
awiiten	aw-~:(ng₁)igh[N→V]-~:(ng₁)u[V→V]-~:(u)te[V→N][N][Abs][2SgPoss][SgPosd]
awiiten	aw-~:(ng₁)igh[N→V]-~:(ng₁)u[V→V]-te[V→V][V][Intr][Opt][PRS][2Sg]
awiiten	aw-~:(ng₁)igh[N→V]-~:(ng₁)ite[V→V][V][Intr][Opt][PRS][2Sg]
awiiten	aw-~:(ng₁)igh[N→V]-~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
awiiten	aw-~:(ng₁)igh[N→V]-~:(u)te[V→N][N][Abs][2SgPoss][SgPosd]
awiiten	aw-––i[N→V]-@₁~:(u)te[V→V]-@₁~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
awiiten	aw-––i[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
awiiten	aw-––i[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V]-@₁~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
awiiten	aw-––i[N→V]-te[V→V]-@₁~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
awiiten	aw-––i[N→V]-~:(u)te[V→V]-@₁~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
awiiten	aw-––i[N→V]-~:(u)te[V→N]-te[N→V]-@₁~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
awiiten	aw-––i[N→V]-~:(u)te[V→N]-te[N→V]-te[V→V]-@₁~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
awiiten	aw-––i[N→V]-–ghte[V→V]-@₁~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
awiiten	aw-––i[N→V][V][Intr][Ind][2Sg]
awiiten	aw-––i[N→V][V][Trns][Intrg][3Sg][2Sg]
awiiten	aw-––i[N→V][V][Trns][Intrg][3Pl][2Sg]
awiiten	aw-––i[N→V][V][Trns][Intrg][3Du][2Sg]
awiiten	aw-––i[N→V][V][Trns][Ind][2Sg][3Pl]
awiiten	aw-––igh[N→V]-–ghte[V→V]-@₁~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
awiiten	aw-––ii[N→V]-@₁~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
awiiten	aw-––ii[N→V]-~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
awiiten	aw-––ii[N→V]-~:(u)te[V→N][N][Abs][2SgPoss][SgPosd]
awiiten	aw-––ii[N→V]-te[V→V][V][Intr][Opt][PRS][2Sg]
awiiten	aw-––igh[N→V]-@₁~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
awiiten	aw-––igh[N→V]-te[V→V]-@₁~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
awiiten	aw-––igh[N→V]-~:(ng₁)u[V→V]-@₁~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
awiiten	aw-––igh[N→V]-~:(ng₁)u[V→V]-~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
awiiten	aw-––igh[N→V]-~:(ng₁)u[V→V]-~:(u)te[V→N][N][Abs][2SgPoss][SgPosd]
awiiten	aw-––igh[N→V]-~:(ng₁)u[V→V]-te[V→V][V][Intr][Opt][PRS][2Sg]
awiiten	aw-––igh[N→V]-~:(ng₁)ite[V→V][V][Intr][Opt][PRS][2Sg]
awiiten	aw-––igh[N→V]-~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
awiiten	aw-––igh[N→V]-~:(u)te[V→N][N][Abs][2SgPoss][SgPosd]
awiiten	awi-te[N→V]-@₁~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
awiiten	awi-––i[N→V]-@₁~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
awiiten	awi-––i[N→V]-~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
awiiten	awi-––i[N→V]-~:(u)te[V→N][N][Abs][2SgPoss][SgPosd]
awiiten	awi-––i[N→V]-te[V→V][V][Intr][Opt][PRS][2Sg]
awiiten	awi-–ghte[N→V]-@₁~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
awiiten	awi-–ghte[N→V]-te[V→V]-@₁~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
awiiten	awiim-––i[N→V]-@₁~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
awiiten	awiim-––i[N→V]-~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
awiiten	awiim-––i[N→V]-~:(u)te[V→N][N][Abs][2SgPoss][SgPosd]
awiiten	awiim-––i[N→V]-te[V→V][V][Intr][Opt][PRS][2Sg]
awiiten	awite-@₁~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
awiiten	awii[N][Abs][2SgPoss][PlPosd]
awiiten	awii-te[N→V][V][Intr][Opt][PRS][2Sg]
awiiten	awii[N][Abs][2SgPoss][PlPosd]
awiiten	awi-ate[N→V][V][Intr][Opt][PRS][2Sg]
awiiten	aw-igh[N→V]-~:(ng₁)u[V→V]-~:(u)te[V→N][N][Abs][2SgPoss][SgPosd]
awiiten	aw-igh[N→V]-~:(u)te[V→N][N][Abs][2SgPoss][SgPosd]
awiiten	aw-agh[N→V]-~:(ng₁)ite[V→V][V][Intr][Opt][PRS][2Sg]
awiiten	agugh-~:(ng₁)ite[N→V][V][Intr][Opt][PRS][2Sg]

whanga	wha[N][Abs][3SgPoss][SgPosd]
whanga	whanga

------------------------


------------------------
Anipam pimakanga,

anipam	anipa[N][Rel][Unpd][Sg]

pimakanga	pi-@₁~:(i/u)ma[V→V]-~–(g₁)kaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
pimakanga	pi-@₁~:(i/u)ma[V→V]-~sf–(g₃)kaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
pimakanga	pi-@₁~:(i/u)ma[V→V]-@₂~fkaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
pimakanga	pi-@₁~:(i/u)ma[V→V]-@*@₂~sf–(g₂)k(a)e[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
pimakanga	pi-@₁~:(i/u)ma[V→V]-@*@₂~sf–(g₂)k(a)e[V→N][N][Abs][3SgPoss][SgPosd]
pimakanga	pi-@₁~:(i/u)ma[V→V][V][Trns][Cond][3Sg][1Sg]
pimakanga	pi-@₁~:(i/u)ma[V→V][V][Trns][Ptcp][3Sg][3Sg]

------------------------
"Whanga nekanka.

whanga	wha[N][Abs][3SgPoss][SgPosd]
whanga	whanga

------------------------
Iqlengiquten nekenghitaten.

iqlengiquten	iqlengagh-––iqe[V→V]-@₁~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
iqlengiquten	iqlengagh-––iqe[V→V]-te[V→V]-@₁~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
iqlengiquten	iqlengagh-––iqe[V→V]-~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
iqlengiquten	iqlengagh-––iqe[V→V]-~:(u)te[V→N][N][Abs][2SgPoss][SgPosd]
iqlengiquten	iqlengagh-––iqe[V→V][V][Intr][Ind][2Sg]
iqlengiquten	iqlengiqe-@₁~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
iqlengiquten	iqlengiqe-te[V→V]-@₁~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
iqlengiquten	iqlengiqe-~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
iqlengiquten	iqlengiqe-~:(u)te[V→N][N][Abs][2SgPoss][SgPosd]
iqlengiquten	iqlengiqe[V][Intr][Ind][2Sg]

------------------------
Whanga nekanka, awiiten iqiiten taagken."

whanga	wha[N][Abs][3SgPoss][SgPosd]
whanga	whanga

awiiten	aw-–ghagh*[N→N]-~:(ng₁)ite[N→V][V][Intr][Opt][PRS][2Sg]
awiiten	aw-~:(ng₁)u[N→V]-~i[V→V]-@₁~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
awiiten	aw-~:(ng₁)u[N→V]-~i[V→V]-~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
awiiten	aw-~:(ng₁)u[N→V]-~i[V→V]-~:(u)te[V→N][N][Abs][2SgPoss][SgPosd]
awiiten	aw-~:(ng₁)u[N→V]-~i[V→V]-te[V→V][V][Intr][Opt][PRS][2Sg]
awiiten	aw-~:(ng₁)ite[N→V]-@₁~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
awiiten	aw-~:(ng₁)ite[N→V]-te[V→V]-@₁~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
awiiten	aw-~:(ng₁)ite**[N→V]-@₁~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
awiiten	aw-~:(ng₁)ite**[N→V]-te[V→V]-@₁~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
awiiten	aw-~:(ng₁)igh[N→V]-–ghte[V→V]-@₁~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
awiiten	aw-~:(ng₁)igh[N→V]-@₁~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
awiiten	aw-~:(ng₁)igh[N→V]-te[V→V]-@₁~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
awiiten	aw-~:(ng₁)igh[N→V]-~:(ng₁)u[V→V]-@₁~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
awiiten	aw-~:(ng₁)igh[N→V]-~:(ng₁)u[V→V]-~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
awiiten	aw-~:(ng₁)igh[N→V]-~:(ng₁)u[V→V]-~:(u)te[V→N][N][Abs][2SgPoss][SgPosd]
awiiten	aw-~:(ng₁)igh[N→V]-~:(ng₁)u[V→V]-te[V→V][V][Intr][Opt][PRS][2Sg]
awiiten	aw-~:(ng₁)igh[N→V]-~:(ng₁)ite[V→V][V][Intr][Opt][PRS][2Sg]
awiiten	aw-~:(ng₁)igh[N→V]-~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
awiiten	aw-~:(ng₁)igh[N→V]-~:(u)te[V→N][N][Abs][2SgPoss][SgPosd]
awiiten	aw-––i[N→V]-@₁~:(u)te[V→V]-@₁~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
awiiten	aw-––i[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
awiiten	aw-––i[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V]-@₁~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
awiiten	aw-––i[N→V]-te[V→V]-@₁~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
awiiten	aw-––i[N→V]-~:(u)te[V→V]-@₁~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
awiiten	aw-––i[N→V]-~:(u)te[V→N]-te[N→V]-@₁~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
awiiten	aw-––i[N→V]-~:(u)te[V→N]-te[N→V]-te[V→V]-@₁~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
awiiten	aw-––i[N→V]-–ghte[V→V]-@₁~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
awiiten	aw-––i[N→V][V][Intr][Ind][2Sg]
awiiten	aw-––i[N→V][V][Trns][Intrg][3Sg][2Sg]
awiiten	aw-––i[N→V][V][Trns][Intrg][3Pl][2Sg]
awiiten	aw-––i[N→V][V][Trns][Intrg][3Du][2Sg]
awiiten	aw-––i[N→V][V][Trns][Ind][2Sg][3Pl]
awiiten	aw-––igh[N→V]-–ghte[V→V]-@₁~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
awiiten	aw-––ii[N→V]-@₁~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
awiiten	aw-––ii[N→V]-~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
awiiten	aw-––ii[N→V]-~:(u)te[V→N][N][Abs][2SgPoss][SgPosd]
awiiten	aw-––ii[N→V]-te[V→V][V][Intr][Opt][PRS][2Sg]
awiiten	aw-––igh[N→V]-@₁~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
awiiten	aw-––igh[N→V]-te[V→V]-@₁~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
awiiten	aw-––igh[N→V]-~:(ng₁)u[V→V]-@₁~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
awiiten	aw-––igh[N→V]-~:(ng₁)u[V→V]-~:(u)te[V→V][V][Intr][Opt][PRS][2Sg]
awiiten	aw-––igh[N→V]-~:(ng₁)u[V→V]-~:(u)te[V→N][N][Abs][2SgPoss][SgPosd]
